#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
102 Dalmatians - Puppies to the Rescue (USA, Europe);102 Dalmatians: Puppies to the Rescue;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
102 Dalmatians - Puppies to the Rescue;102 Dalmatians: Puppies to the Rescue;Sega Dreamcast;;2000;;;;;;;;;;;;
40 Winks;40 Winks;Sony Playstation;;1999;;;;;;;;;;;;
8 Eyes (USA);8 Eyes;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Boy and His Blob, A - Trouble on Blobolonia (USA);A Boy and His Blob: Trouble on Blobolonia;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Ace Lightning (Europe);Ace Lightning;Nintendo Game Boy Advance;;2002;;;;;;;;;;;;
Action 52 (USA) (Unl) (Rev A);Action 52;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Action 52 (USA) (Unl);Action 52;Sega Genesis;;1993;;;;;;;;;;;;
Adventures in the Magic Kingdom (USA);Adventures in the Magic Kingdom;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Akuji - The Heartless;Akuji: The Heartless;Sony Playstation;;1998;;;;;;;;;;;;
Aladdin (Europe);Aladdin;Nintendo Entertainment System;;1993;;;;;;;;;;;;
Aladdin (USA);Aladdin;Nintendo Game Boy;;1994;;;;;;;;;;;;
Aladdin (USA) (En,Fr,De,Es);Aladdin;Nintendo Game Boy Advance;;2004;;;;;;;;;;;;
Aladdin (USA);Aladdin;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Aladdin (USA, Europe);Aladdin;Sega Game Gear;;1994;;;;;;;;;;;;
Aladdin (USA);Aladdin;Sega Genesis;;1993;;;;;;;;;;;;
Aladdin (UE) [!];Aladdin;Sega Master System;;1994;;;;;;;;;;;;
Alex Kidd in Miracle World (UE) [o1];Alex Kidd in Miracle World;Sega Master System;;1986;;;;;;;;;;;;
Alex Kidd in Shinobi World (UE) [!];Alex Kidd in Shinobi World;Sega Master System;;1990;;;;;;;;;;;;
Alex Kidd in the Enchanted Castle (USA);Alex Kidd in the Enchanted Castle;Sega Genesis;;1989;;;;;;;;;;;;
Alien Resurrection;Alien Resurrection;Sony Playstation;;2000;;;;;;;;;;;;
Aliens vs. Predator - Requiem (Europe);Aliens vs. Predator: Requiem;Sony PSP;;2007;;;;;;;;;;;;
Alundra;Alundra;Sony Playstation;;1997;;;;;;;;;;;;
Alundra 2 - A New Legend Begins;Alundra 2: A New Legend Begins;Sony Playstation;;1999;;;;;;;;;;;;
Animorphs (USA);Animorphs;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Animorphs - Shattered Reality;Animorphs: Shattered Reality;Sony Playstation;;2000;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad;Arc the Lad Collection: Arc the Lad;Sony Playstation;;2002;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad II;Arc the Lad Collection: Arc the Lad II;Sony Playstation;;2002;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad III - Disc 1;Arc the Lad Collection: Arc the Lad III - Disc 1;Sony Playstation;;2002;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad III - Disc 2;Arc the Lad Collection: Arc the Lad III - Disc 2;Sony Playstation;;2002;;;;;;;;;;;;
Arcus Odyssey (USA);Arcus Odyssey;Sega Genesis;;1991;;;;;;;;;;;;
Asterix & Obelix Take On Caesar;Asterix & Obelix Take On Caesar;Sony Playstation;;1999;;;;;;;;;;;;
Asterix - Search for Dogmatix (Europe) (En,Fr,De,Es,It,Nl);Asterix: Search for Dogmatix;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Auto Destruct;Auto Destruct;Sony Playstation;;1997;;;;;;;;;;;;
Avatar - The Last Airbender (USA);Avatar: The Last Airbender;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;
Avatar - The Last Airbender;Avatar: The Last Airbender;Sony PSP;;2006;;;;;;;;;;;;
Avatar The Last Airbender;Avatar: The Legend of Aang;Nintendo Gamecube;;2006;;;;;;;;;;;;
Ax Battler - A Legend of Golden Axe (USA, Europe) (v2.4);Ax Battler: A Legend of Golden Axe;Sega Game Gear;;1991;;;;;;;;;;;;
Back to Stone (USA) (En,Fr);Back to Stone;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;
Back to the Future Part II & III (USA);Back to the Future Part II & III;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Banjo-Kazooie (USA);Banjo-Kazooie;Nintendo 64;;1998;;;;;;;;;;;;
Barbie - Magic Genie Adventure (USA);Barbie: Magic Genie Adventure;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Barbie - Pet Rescue (USA);Barbie: Pet Rescue;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
Barney's Hide & Seek Game (USA);Barney's Hide & Seek Game;Sega Genesis;;1993;;;;;;;;;;;;
Barnyard (USA);Barnyard;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;
Batman & Robin;Batman & Robin;Sony Playstation;;1998;;;;;;;;;;;;
Batman Begins (USA, Europe) (En,Fr,De,Es,It,Nl);Batman Begins;Nintendo Game Boy Advance;;2005;;;;;;;;;;;;
Batman Begins;Batman Begins;Nintendo Gamecube;;2005;;;;;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond: Return of the Joker;Nintendo 64;;2000;;;;;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond: Return of the Joker;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Batman Dark Tomorrow;Batman Dark Tomorrow;Nintendo Gamecube;;2003;;;;;;;;;;;;
Batman Returns (USA);Batman Returns;Mega CD;;1993;;;;;;;;;;;;
Batman Returns (USA);Batman Returns;Nintendo Entertainment System;;1993;;;;;;;;;;;;
Batman Returns (UE) [!];Batman Returns;Sega Master System;;1992;;;;;;;;;;;;
Beavis and Butt-Head (USA, Europe);Beavis and Butt-Head;Nintendo Game Boy;;1998;;;;;;;;;;;;
Beavis and Butt-head (USA, Europe);Beavis and Butt-head;Sega Game Gear;;1994;;;;;;;;;;;;
Beavis and Butt-Head (USA);Beavis and Butt-Head;Sega Genesis;;1994;;;;;;;;;;;;
Beetlejuice (USA);Beetlejuice;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Ben 10 Ultimate Alien Cosmic Destruction;Ben 10 Ultimate Alien Cosmic Destruction;Sony PSP;;2010;;;;;;;;;;;;
Ben 10 - Alien Force (USA);Ben 10: Alien Force;Sony PSP;;2008;;;;;;;;;;;;
Ben 10 - Protector of Earth;Ben 10: Protector of Earth;Sony PSP;;2007;;;;;;;;;;;;
Beowulf;Beowulf;Sony PSP;;2007;;;;;;;;;;;;
Beyond the Beyond;Beyond the Beyond;Sony Playstation;;1996;;;;;;;;;;;;
Big Nose the Caveman (USA) (Unl);Big Nose the Caveman;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Bionicle Heroes (USA) (En,Fr,De,Es,It,Da);Bionicle Heroes;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;
Bionicle - The Game;Bionicle: The Game;Nintendo Gamecube;;2003;;;;;;;;;;;;
Blade (USA, Europe);Blade;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Blade;Blade;Sony Playstation;;2000;;;;;;;;;;;;
Blaster Master Boy (USA);Blaster Master Boy;Nintendo Game Boy;;1991;;;;;;;;;;;;
Blazing Dragons;Blazing Dragons;Sony Playstation;;1996;;;;;;;;;;;;
Blood Omen - Legacy of Kain;Blood Omen: Legacy of Kain;Sony Playstation;;1996;;;;;;;;;;;;
Blue Stinger;Blue Stinger;Sega Dreamcast;;1999;;;;;;;;;;;;
Bomberman Generation;Bomberman Generation;Nintendo Gamecube;;2002;;;;;;;;;;;;
Boogerman - A Pick and Flick Adventure (USA);Boogerman: A Pick and Flick Adventure;Sega Genesis;;1994;;;;;;;;;;;;
Brahma Force;Brahma Force;Sony Playstation;;1996;;;;;;;;;;;;
Brain Lord (USA);Brain Lord;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Brandish (USA);Brandish;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Broken Sword II - The Smoking Mirror;Broken Sword II: The Smoking Mirror;Sony Playstation;;1997;;;;;;;;;;;;
Broken Sword - The Shadow of the Templars;Broken Sword: The Shadow of the Templars;Sony Playstation;;1996;;;;;;;;;;;;
Brother Bear (USA);Brother Bear;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;
Bubsy 3D - Furbitten Planet;Bubsy 3D: Planeta Perturbado;Sony Playstation;;1996;;;;;;;;;;;;
Buck Rogers - Countdown to Doomsday (USA, Europe);Buck Rogers: Countdown to Doomsday;Sega Genesis;;1991;;;;;;;;;;;;
bucky;Bucky O'Hare;Arcade;;1992;;;;;;;;;;;;
Bugs Bunny - Lost in Time;Bugs Bunny: Lost in Time;Sony Playstation;;1999;;;;;;;;;;;;
Buzz Lightyear of Star Command (USA, Europe);Buzz Lightyear of Star Command;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Buzz Lightyear of Star Command;Buzz Lightyear of Star Command;Sega Dreamcast;;2000;;;;;;;;;;;;
Carmen Sandiego - The Secret of the Stolen Drums;Carmen Sandiego: The Secret of the Stolen Drums;Nintendo Gamecube;;2004;;;;;;;;;;;;
Carrier;Carrier;Sega Dreamcast;;2000;;;;;;;;;;;;
Casper (USA);Casper;Nintendo Game Boy;;1996;;;;;;;;;;;;
Casper (USA);Casper;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Casper;Casper;Sony Playstation;;1996;;;;;;;;;;;;
Casper - Friends Around the World;Casper: Friends Around the World;Sony Playstation;;2000;;;;;;;;;;;;
Castle of Deceit (USA) (Unl);Castle of Deceit;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Castle of Dragon (USA);Castle of Dragon;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Castlevania (USA) (Rev B);Castlevania;Nintendo 64;;1998;;;;;;;;;;;;
Castlevania Chronicles (USA);Castlevania Chronicles;Sony Playstation;;2001;;;;;;;;;;;;
Castlevania II - Belmont's Revenge (USA, Europe);Castlevania II: Belmont's Revenge;Nintendo Game Boy;;1991;;;;;;;;;;;;
Castlevania II - Simon's Quest (USA);Castlevania II: Simon's Quest;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Castlevania III - Dracula's Curse (USA);Castlevania III: Dracula's Curse;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Castlevania Chronicles (USA);Castlevania The Dracula X Chronicles;Sony PSP;;2007;;;;;;;;;;;;
Castlevania - Aria of Sorrow (USA);Castlevania: Aria of Sorrow;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;
Castlevania - Bloodlines (USA);Castlevania: Bloodlines;Sega Genesis;;1994;;;;;;;;;;;;
Castlevania - The New Generation (Euro);Castlevania: The New Generation;Sega Genesis;;1994;;;;;;;;;;;;
