#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
10th Frame (Europe);10th Frame (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
180 (Europe);180 (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
1942 (Europe);1942 (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
1943 - The Battle of Midway (Europe);1943 - The Battle of Midway (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
2088 (Europe);2088 (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
2112 AD (Europe);2112 AD (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
3D Boxing (Europe);3D Boxing (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
3D Grand Prix (Europe);3D Grand Prix (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
3D Monster Chase (Europe);3D Monster Chase (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
3D Snooker (Europe);3D Snooker (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
3D Starfighter (Europe);3D Starfighter (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
3D Starstrike (Europe);3D Starstrike (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
3D Stunt Rider (Europe);3D Stunt Rider (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
3D Voice Chess (Europe);3D Voice Chess (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
3DC (Europe);3DC (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
4x4 Off-Road Racing (Europe);4x4 Off-Road Racing (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
7 Card Stud (Europe);7 Card Stud (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
Ace (Europe);Ace (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
Ace of Aces (Europe);Ace of Aces (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
Acro Jet (Europe);Acro Jet (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
Action Fighter (Europe);Action Fighter (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
Activator (Europe);Activator (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
Addams Family, The (Europe);Addams Family, The (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
Adidas Championship Tie-Break (Europe);Adidas Championship Tie-Break (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
Admiral Graf Spee (Europe);Admiral Graf Spee (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator (Europe);Amstrad CPC;;0;;;;;;;0;;;;;
