#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1941;1941;Arcade Multiplayer;;;;;;;;;;;;;;
1942;1942;Arcade Multiplayer;;;;;;;;;;;;;;
1943;1943;Arcade Multiplayer;;;;;;;;;;;;;;
1943kai;1943kai;Arcade Multiplayer;;;;;;;;;;;;;;
1944;1944;Arcade Multiplayer;;;;;;;;;;;;;;
1945kiii;1945kiii;Arcade Multiplayer;;;;;;;;;;;;;;
19xx;19xx;Arcade Multiplayer;;;;;;;;;;;;;;
1on1gov;1on1gov;Arcade Multiplayer;;;;;;;;;;;;;;
2020bb;2020bb;Arcade Multiplayer;;;;;;;;;;;;;;
20pacgal;20pacgal;Arcade Multiplayer;;;;;;;;;;;;;;
25pacman;25pacman;Arcade Multiplayer;;;;;;;;;;;;;;
280zzzap;280zzzap;Arcade Multiplayer;;;;;;;;;;;;;;
30test;30test;Arcade Multiplayer;;;;;;;;;;;;;;
39in1;39in1;Arcade Multiplayer;;;;;;;;;;;;;;
3bagflvt;3bagflvt;Arcade Multiplayer;;;;;;;;;;;;;;
3countb;3countb;Arcade Multiplayer;;;;;;;;;;;;;;
3in1semi;3in1semi;Arcade Multiplayer;;;;;;;;;;;;;;
3kokushi;3kokushi;Arcade Multiplayer;;;;;;;;;;;;;;
3on3dunk;3on3dunk;Arcade Multiplayer;;;;;;;;;;;;;;
3stooges;3stooges;Arcade Multiplayer;;;;;;;;;;;;;;
3wonders;3wonders;Arcade Multiplayer;;;;;;;;;;;;;;
3x3puzzl;3x3puzzl;Arcade Multiplayer;;;;;;;;;;;;;;
40love;40love;Arcade Multiplayer;;;;;;;;;;;;;;
4dwarrio;4dwarrio;Arcade Multiplayer;;;;;;;;;;;;;;
4enraya;4enraya;Arcade Multiplayer;;;;;;;;;;;;;;
4in1;4in1;Arcade Multiplayer;;;;;;;;;;;;;;
4in1boot;4in1boot;Arcade Multiplayer;;;;;;;;;;;;;;
4psimasy;4psimasy;Arcade Multiplayer;;;;;;;;;;;;;;
5clown;5clown;Arcade Multiplayer;;;;;;;;;;;;;;
64street;64street;Arcade Multiplayer;;;;;;;;;;;;;;
720;720;Arcade Multiplayer;;;;;;;;;;;;;;
7jigen;7jigen;Arcade Multiplayer;;;;;;;;;;;;;;
7mezzo;7mezzo;Arcade Multiplayer;;;;;;;;;;;;;;
7ordi;7ordi;Arcade Multiplayer;;;;;;;;;;;;;;
88games;88games;Arcade Multiplayer;;;;;;;;;;;;;;
8ball;8ball;Arcade Multiplayer;;;;;;;;;;;;;;
8ballact;8ballact;Arcade Multiplayer;;;;;;;;;;;;;;
9ballsht;9ballsht;Arcade Multiplayer;;;;;;;;;;;;;;
Exvania;Exvania;Arcade Multiplayer;;;;;;;;;;;;;;
Kong;Kong;Arcade Multiplayer;;;;;;;;;;;;;;
Mamonoro;Mamonoro;Arcade Multiplayer;;;;;;;;;;;;;;
aafb;aafb;Arcade Multiplayer;;;;;;;;;;;;;;
abaseb;abaseb;Arcade Multiplayer;;;;;;;;;;;;;;
abcop;abcop;Arcade Multiplayer;;;;;;;;;;;;;;
abnudge;abnudge;Arcade Multiplayer;;;;;;;;;;;;;;
abunai;abunai;Arcade Multiplayer;;;;;;;;;;;;;;
aburner2;aburner2;Arcade Multiplayer;;;;;;;;;;;;;;
ace;ace;Arcade Multiplayer;;;;;;;;;;;;;;
aceattac;aceattac;Arcade Multiplayer;;;;;;;;;;;;;;
acedrvrw;acedrvrw;Arcade Multiplayer;;;;;;;;;;;;;;
acrobatm;acrobatm;Arcade Multiplayer;;;;;;;;;;;;;;
act2000;act2000;Arcade Multiplayer;;;;;;;;;;;;;;
actfancr;actfancr;Arcade Multiplayer;;;;;;;;;;;;;;
actionhw;actionhw;Arcade Multiplayer;;;;;;;;;;;;;;
ad2083;ad2083;Arcade Multiplayer;;;;;;;;;;;;;;
adillor;adillor;Arcade Multiplayer;;;;;;;;;;;;;;
aerofgt;aerofgt;Arcade Multiplayer;;;;;;;;;;;;;;
aerofgts;aerofgts;Arcade Multiplayer;;;;;;;;;;;;;;
afighter;afighter;Arcade Multiplayer;;;;;;;;;;;;;;
agallet;agallet;Arcade Multiplayer;;;;;;;;;;;;;;
agress;agress;Arcade Multiplayer;;;;;;;;;;;;;;
airass;airass;Arcade Multiplayer;;;;;;;;;;;;;;
airattck;airattck;Arcade Multiplayer;;;;;;;;;;;;;;
airbustr;airbustr;Arcade Multiplayer;;;;;;;;;;;;;;
airco22b;airco22b;Arcade Multiplayer;;;;;;;;;;;;;;
aircomb;aircomb;Arcade Multiplayer;;;;;;;;;;;;;;
airduel;airduel;Arcade Multiplayer;;;;;;;;;;;;;;
airrace;airrace;Arcade Multiplayer;;;;;;;;;;;;;;
airwolf;airwolf;Arcade Multiplayer;;;;;;;;;;;;;;
ajax;ajax;Arcade Multiplayer;;;;;;;;;;;;;;
akiss;akiss;Arcade Multiplayer;;;;;;;;;;;;;;
aladmdb;aladmdb;Arcade Multiplayer;;;;;;;;;;;;;;
alcon;alcon;Arcade Multiplayer;;;;;;;;;;;;;;
alexkidd;alexkidd;Arcade Multiplayer;;;;;;;;;;;;;;
alibaba;alibaba;Arcade Multiplayer;;;;;;;;;;;;;;
alien3;alien3;Arcade Multiplayer;;;;;;;;;;;;;;
alienar;alienar;Arcade Multiplayer;;;;;;;;;;;;;;
aliencha;aliencha;Arcade Multiplayer;;;;;;;;;;;;;;
aliencr;aliencr;Arcade Multiplayer;;;;;;;;;;;;;;
alienfnt;alienfnt;Arcade Multiplayer;;;;;;;;;;;;;;
aliens;aliens;Arcade Multiplayer;;;;;;;;;;;;;;
aliensec;aliensec;Arcade Multiplayer;;;;;;;;;;;;;;
aliensyn;aliensyn;Arcade Multiplayer;;;;;;;;;;;;;;
aligator;aligator;Arcade Multiplayer;;;;;;;;;;;;;;
alinvade;alinvade;Arcade Multiplayer;;;;;;;;;;;;;;
alleymas;alleymas;Arcade Multiplayer;;;;;;;;;;;;;;
alpha1v;alpha1v;Arcade Multiplayer;;;;;;;;;;;;;;
alphaho;alphaho;Arcade Multiplayer;;;;;;;;;;;;;;
alpham2;alpham2;Arcade Multiplayer;;;;;;;;;;;;;;
alpine;alpine;Arcade Multiplayer;;;;;;;;;;;;;;
alpinerd;alpinerd;Arcade Multiplayer;;;;;;;;;;;;;;
alpinr2b;alpinr2b;Arcade Multiplayer;;;;;;;;;;;;;;
altair;altair;Arcade Multiplayer;;;;;;;;;;;;;;
