#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
005;005;Arcade;;;;;;;;;;;;;;
10yard;10yard;Arcade;;;;;;;;;;;;;;
18wheelr;18wheelr;Arcade;;;;;;;;;;;;;;
1941;1941;Arcade;;;;;;;;;;;;;;
1942;1942;Arcade;;;;;;;;;;;;;;
1943;1943;Arcade;;;;;;;;;;;;;;
1943kai;1943kai;Arcade;;;;;;;;;;;;;;
1944;1944;Arcade;;;;;;;;;;;;;;
1945kiii;1945kiii;Arcade;;;;;;;;;;;;;;
19xx;19xx;Arcade;;;;;;;;;;;;;;
1on1gov;1on1gov;Arcade;;;;;;;;;;;;;;
2020bb;2020bb;Arcade;;;;;;;;;;;;;;
20pacgal;20pacgal;Arcade;;;;;;;;;;;;;;
25pacman;25pacman;Arcade;;;;;;;;;;;;;;
280zzzap;280zzzap;Arcade;;;;;;;;;;;;;;
30test;30test;Arcade;;;;;;;;;;;;;;
39in1;39in1;Arcade;;;;;;;;;;;;;;
3bagflvt;3bagflvt;Arcade;;;;;;;;;;;;;;
3countb;3countb;Arcade;;;;;;;;;;;;;;
3in1semi;3in1semi;Arcade;;;;;;;;;;;;;;
3kokushi;3kokushi;Arcade;;;;;;;;;;;;;;
3on3dunk;3on3dunk;Arcade;;;;;;;;;;;;;;
3stooges;3stooges;Arcade;;;;;;;;;;;;;;
3wonders;3wonders;Arcade;;;;;;;;;;;;;;
3x3puzzl;3x3puzzl;Arcade;;;;;;;;;;;;;;
40love;40love;Arcade;;;;;;;;;;;;;;
4dwarrio;4dwarrio;Arcade;;;;;;;;;;;;;;
4enraya;4enraya;Arcade;;;;;;;;;;;;;;
4in1;4in1;Arcade;;;;;;;;;;;;;;
4in1boot;4in1boot;Arcade;;;;;;;;;;;;;;
4psimasy;4psimasy;Arcade;;;;;;;;;;;;;;
5clown;5clown;Arcade;;;;;;;;;;;;;;
64street;64street;Arcade;;;;;;;;;;;;;;
720;720;Arcade;;;;;;;;;;;;;;
7jigen;7jigen;Arcade;;;;;;;;;;;;;;
7mezzo;7mezzo;Arcade;;;;;;;;;;;;;;
7ordi;7ordi;Arcade;;;;;;;;;;;;;;
88games;88games;Arcade;;;;;;;;;;;;;;
8ball;8ball;Arcade;;;;;;;;;;;;;;
8ballact;8ballact;Arcade;;;;;;;;;;;;;;
9ballsht;9ballsht;Arcade;;;;;;;;;;;;;;
Exvania;Exvania;Arcade;;;;;;;;;;;;;;
Kong;Kong;Arcade;;;;;;;;;;;;;;
Mamonoro;Mamonoro;Arcade;;;;;;;;;;;;;;
aafb;aafb;Arcade;;;;;;;;;;;;;;
abaseb;abaseb;Arcade;;;;;;;;;;;;;;
abcop;abcop;Arcade;;;;;;;;;;;;;;
abnudge;abnudge;Arcade;;;;;;;;;;;;;;
abunai;abunai;Arcade;;;;;;;;;;;;;;
aburner2;aburner2;Arcade;;;;;;;;;;;;;;
ace;ace;Arcade;;;;;;;;;;;;;;
aceattac;aceattac;Arcade;;;;;;;;;;;;;;
acedrvrw;acedrvrw;Arcade;;;;;;;;;;;;;;
acrobatm;acrobatm;Arcade;;;;;;;;;;;;;;
act2000;act2000;Arcade;;;;;;;;;;;;;;
actfancr;actfancr;Arcade;;;;;;;;;;;;;;
actionhw;actionhw;Arcade;;;;;;;;;;;;;;
ad2083;ad2083;Arcade;;;;;;;;;;;;;;
adillor;adillor;Arcade;;;;;;;;;;;;;;
aerofgt;aerofgt;Arcade;;;;;;;;;;;;;;
aerofgts;aerofgts;Arcade;;;;;;;;;;;;;;
afighter;afighter;Arcade;;;;;;;;;;;;;;
agallet;agallet;Arcade;;;;;;;;;;;;;;
agress;agress;Arcade;;;;;;;;;;;;;;
airass;airass;Arcade;;;;;;;;;;;;;;
airattck;airattck;Arcade;;;;;;;;;;;;;;
airbustr;airbustr;Arcade;;;;;;;;;;;;;;
airco22b;airco22b;Arcade;;;;;;;;;;;;;;
aircomb;aircomb;Arcade;;;;;;;;;;;;;;
airduel;airduel;Arcade;;;;;;;;;;;;;;
airrace;airrace;Arcade;;;;;;;;;;;;;;
airwolf;airwolf;Arcade;;;;;;;;;;;;;;
ajax;ajax;Arcade;;;;;;;;;;;;;;
akiss;akiss;Arcade;;;;;;;;;;;;;;
aladmdb;aladmdb;Arcade;;;;;;;;;;;;;;
alcon;alcon;Arcade;;;;;;;;;;;;;;
alexkidd;alexkidd;Arcade;;;;;;;;;;;;;;
alibaba;alibaba;Arcade;;;;;;;;;;;;;;
alien3;alien3;Arcade;;;;;;;;;;;;;;
alienar;alienar;Arcade;;;;;;;;;;;;;;
aliencha;aliencha;Arcade;;;;;;;;;;;;;;
aliencr;aliencr;Arcade;;;;;;;;;;;;;;
alienfnt;alienfnt;Arcade;;;;;;;;;;;;;;
aliens;aliens;Arcade;;;;;;;;;;;;;;
aliensec;aliensec;Arcade;;;;;;;;;;;;;;
aliensyn;aliensyn;Arcade;;;;;;;;;;;;;;
aligator;aligator;Arcade;;;;;;;;;;;;;;
alinvade;alinvade;Arcade;;;;;;;;;;;;;;
alleymas;alleymas;Arcade;;;;;;;;;;;;;;
alpha1v;alpha1v;Arcade;;;;;;;;;;;;;;
alphaho;alphaho;Arcade;;;;;;;;;;;;;;
alpham2;alpham2;Arcade;;;;;;;;;;;;;;
alpine;alpine;Arcade;;;;;;;;;;;;;;
alpinerd;alpinerd;Arcade;;;;;;;;;;;;;;
alpinr2b;alpinr2b;Arcade;;;;;;;;;;;;;;
altair;altair;Arcade;;;;;;;;;;;;;;
altbeast;altbeast;Arcade;;;;;;;;;;;;;;
amazon;amazon;Arcade;;;;;;;;;;;;;;
ambush;ambush;Arcade;;;;;;;;;;;;;;
amerdart;amerdart;Arcade;;;;;;;;;;;;;;
amidar;amidar;Arcade;;;;;;;;;;;;;;
ampoker2;ampoker2;Arcade;;;;;;;;;;;;;;
amspdwy;amspdwy;Arcade;;;;;;;;;;;;;;
amuse;amuse;Arcade;;;;;;;;;;;;;;
androdun;androdun;Arcade;;;;;;;;;;;;;;
angelkds;angelkds;Arcade;;;;;;;;;;;;;;
anibonus;anibonus;Arcade;;;;;;;;;;;;;;
animalc;animalc;Arcade;;;;;;;;;;;;;;
animaljr;animaljr;Arcade;;;;;;;;;;;;;;
anteater;anteater;Arcade;;;;;;;;;;;;;;
aodk;aodk;Arcade;;;;;;;;;;;;;;
aof;aof;Arcade;;;;;;;;;;;;;;
aof2;aof2;Arcade;;;;;;;;;;;;;;
aof3;aof3;Arcade;;;;;;;;;;;;;;
aoh;aoh;Arcade;;;;;;;;;;;;;;
apache3;apache3;Arcade;;;;;;;;;;;;;;
apb;apb;Arcade;;;;;;;;;;;;;;
apparel;apparel;Arcade;;;;;;;;;;;;;;
apple10;apple10;Arcade;;;;;;;;;;;;;;
appoooh;appoooh;Arcade;;;;;;;;;;;;;;
aquajack;aquajack;Arcade;;;;;;;;;;;;;;
aquajet;aquajet;Arcade;;;;;;;;;;;;;;
aquarium;aquarium;Arcade;;;;;;;;;;;;;;
aquarush;aquarush;Arcade;;;;;;;;;;;;;;
ar_airh;ar_airh;Arcade;;;;;;;;;;;;;;
ar_argh;ar_argh;Arcade;;;;;;;;;;;;;;
ar_bowl;ar_bowl;Arcade;;;;;;;;;;;;;;
ar_dart;ar_dart;Arcade;;;;;;;;;;;;;;
ar_dlta;ar_dlta;Arcade;;;;;;;;;;;;;;
ar_fast;ar_fast;Arcade;;;;;;;;;;;;;;
ar_ldrb;ar_ldrb;Arcade;;;;;;;;;;;;;;
ar_ninj;ar_ninj;Arcade;;;;;;;;;;;;;;
ar_pm;ar_pm;Arcade;;;;;;;;;;;;;;
ar_rdwr;ar_rdwr;Arcade;;;;;;;;;;;;;;
ar_sdwr;ar_sdwr;Arcade;;;;;;;;;;;;;;
ar_socc;ar_socc;Arcade;;;;;;;;;;;;;;
ar_spot;ar_spot;Arcade;;;;;;;;;;;;;;
ar_sprg;ar_sprg;Arcade;;;;;;;;;;;;;;
ar_xeon;ar_xeon;Arcade;;;;;;;;;;;;;;
arabfgt;arabfgt;Arcade;;;;;;;;;;;;;;
arabian;arabian;Arcade;;;;;;;;;;;;;;
arabianm;arabianm;Arcade;;;;;;;;;;;;;;
arbalest;arbalest;Arcade;;;;;;;;;;;;;;
arcadecl;arcadecl;Arcade;;;;;;;;;;;;;;
arcadian;arcadian;Arcade;;;;;;;;;;;;;;
archrivl;archrivl;Arcade;;;;;;;;;;;;;;
arcwins;arcwins;Arcade;;;;;;;;;;;;;;
area51;area51;Arcade;;;;;;;;;;;;;;
area51mx;area51mx;Arcade;;;;;;;;;;;;;;
arescue;arescue;Arcade;;;;;;;;;;;;;;
argus;argus;Arcade;;;;;;;;;;;;;;
argusg;argusg;Arcade;;;;;;;;;;;;;;
arkanoid;arkanoid;Arcade;;;;;;;;;;;;;;
arkarea;arkarea;Arcade;;;;;;;;;;;;;;
arkatour;arkatour;Arcade;;;;;;;;;;;;;;
arknoid2;arknoid2;Arcade;;;;;;;;;;;;;;
arkretrn;arkretrn;Arcade;;;;;;;;;;;;;;
arlingtn;arlingtn;Arcade;;;;;;;;;;;;;;
armchmp2;armchmp2;Arcade;;;;;;;;;;;;;;
armedf;armedf;Arcade;;;;;;;;;;;;;;
armora;armora;Arcade;;;;;;;;;;;;;;
armorcar;armorcar;Arcade;;;;;;;;;;;;;;
armwar;armwar;Arcade;;;;;;;;;;;;;;
armwrest;armwrest;Arcade;;;;;;;;;;;;;;
ashura;ashura;Arcade;;;;;;;;;;;;;;
asndynmt;asndynmt;Arcade;;;;;;;;;;;;;;
aso;aso;Arcade;;;;;;;;;;;;;;
assault;assault;Arcade;;;;;;;;;;;;;;
astdelux;astdelux;Arcade;;;;;;;;;;;;;;
asterix;asterix;Arcade;;;;;;;;;;;;;;
asteroid;asteroid;Arcade;;;;;;;;;;;;;;
astorm;astorm;Arcade;;;;;;;;;;;;;;
astrass;astrass;Arcade;;;;;;;;;;;;;;
astrob;astrob;Arcade;;;;;;;;;;;;;;
astrof;astrof;Arcade;;;;;;;;;;;;;;
astropal;astropal;Arcade;;;;;;;;;;;;;;
astrowar;astrowar;Arcade;;;;;;;;;;;;;;
astyanax;astyanax;Arcade;;;;;;;;;;;;;;
asuka;asuka;Arcade;;;;;;;;;;;;;;
asurabld;asurabld;Arcade;;;;;;;;;;;;;;
asurabus;asurabus;Arcade;;;;;;;;;;;;;;
asylum;asylum;Arcade;;;;;;;;;;;;;;
atarifb;atarifb;Arcade;;;;;;;;;;;;;;
ataxx;ataxx;Arcade;;;;;;;;;;;;;;
atehate;atehate;Arcade;;;;;;;;;;;;;;
atetris;atetris;Arcade;;;;;;;;;;;;;;
athena;athena;Arcade;;;;;;;;;;;;;;
atlantis;atlantis;Arcade;;;;;;;;;;;;;;
atomicp;atomicp;Arcade;;;;;;;;;;;;;;
attackfc;attackfc;Arcade;;;;;;;;;;;;;;
attckufo;attckufo;Arcade;;;;;;;;;;;;;;
atworld;atworld;Arcade;;;;;;;;;;;;;;
aurail;aurail;Arcade;;;;;;;;;;;;;;
ausfache;ausfache;Arcade;;;;;;;;;;;;;;
avalnche;avalnche;Arcade;;;;;;;;;;;;;;
avengers;avengers;Arcade;;;;;;;;;;;;;;
avengrgs;avengrgs;Arcade;;;;;;;;;;;;;;
avsp;avsp;Arcade;;;;;;;;;;;;;;
avspirit;avspirit;Arcade;;;;;;;;;;;;;;
