#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
A.P.B. - All Points Bulletin (USA, Europe);A.P.B.: All Points Bulletin;Atari Lynx;;1991;;;;;;;;;;;;
Awesome Golf (USA, Europe);Awesome Golf;Atari Lynx;;1991;;;;;;;;;;;;
Basketbrawl (USA, Europe);Basketbrawl;Atari Lynx;;1992;;;;;;;;;;;;
Batman Returns (USA, Europe);Batman Returns;Atari Lynx;;1992;;;;;;;;;;;;
Battle Wheels (USA, Europe);Battle Wheels;Atari Lynx;;1992;;;;;;;;;;;;
Battlezone 2000 (USA, Europe);Battlezone 2000;Atari Lynx;;1994;;;;;;;;;;;;
Bill & Ted's Excellent Adventure (USA, Europe);Bill & Ted's Excellent Adventure;Atari Lynx;;1989;;;;;;;;;;;;
Block Out (USA, Europe);Block Out;Atari Lynx;;1991;;;;;;;;;;;;
Blue Lightning (USA, Europe);Blue Lightning;Atari Lynx;;1989;;;;;;;;;;;;
Bubble Trouble (USA, Europe);Bubble Trouble;Atari Lynx;;1991;;;;;;;;;;;;
California Games (USA, Europe);California Games;Atari Lynx;;1989;;;;;;;;;;;;
Checkered Flag (USA, Europe);Checkered Flag;Atari Lynx;;1991;;;;;;;;;;;;
Chip's Challenge (USA, Europe);Chip's Challenge;Atari Lynx;;1989;;;;;;;;;;;;
Crystal Mines II (USA, Europe);Crystal Mines II;Atari Lynx;;1990;;;;;;;;;;;;
Desert Strike - Return to the Gulf (USA, Europe);Desert Strike: Return to the Gulf;Atari Lynx;;1993;;;;;;;;;;;;
Dinolympics (USA, Europe);Dinolympics;Atari Lynx;;1992;;;;;;;;;;;;
Dirty Larry - Renegade Cop (USA, Europe);Dirty Larry: Renegade Cop;Atari Lynx;;1992;;;;;;;;;;;;
Double Dragon (USA, Europe);Double Dragon;Atari Lynx;;1993;;;;;;;;;;;;
Dracula the Undead (USA, Europe);Dracula the Undead;Atari Lynx;;1991;;;;;;;;;;;;
Electrocop (USA, Europe);Electrocop;Atari Lynx;;1989;;;;;;;;;;;;
European Soccer Challenge (USA, Europe);European Soccer Challenge;Atari Lynx;;1993;;;;;;;;;;;;
Fat Bobby (USA, Europe);Fat Bobby;Atari Lynx;;1997;;;;;;;;;;;;
Gauntlet - The Third Encounter (USA, Europe);Gauntlet: The Third Encounter;Atari Lynx;;1990;;;;;;;;;;;;
Gordo 106 - The Mutated Lab Monkey (USA, Europe);Gordo 106: The Mutated Lab Monkey;Atari Lynx;;1991;;;;;;;;;;;;
Hard Drivin' (USA, Europe);Hard Drivin';Atari Lynx;;1991;;;;;;;;;;;;
Hockey (USA, Europe);Hockey;Atari Lynx;;1992;;;;;;;;;;;;
Hydra (USA, Europe);Hydra;Atari Lynx;;1992;;;;;;;;;;;;
Ishido - The Way of Stones (USA, Europe);Ishido: The Way of Stones;Atari Lynx;;1991;;;;;;;;;;;;
Jimmy Connors' Tennis (USA, Europe);Jimmy Connors' Tennis;Atari Lynx;;1993;;;;;;;;;;;;
Joust (USA, Europe);Joust;Atari Lynx;;1992;;;;;;;;;;;;
Klax (USA, Europe);Klax;Atari Lynx;;1990;;;;;;;;;;;;
Krazy Ace - Miniature Golf (USA, Europe);Krazy Ace: Miniature Golf;Atari Lynx;;1993;;;;;;;;;;;;
