#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1944 (Europe) (Unl);1944;Atari ST;;19xx;;;;;;;;;;;;
10th Frame (USA);10th Frame;Atari ST;;1987;;;;;;;;;;;;
1943 - The Battle of Midway (Europe);1943: The Battle of Midway;Atari ST;;1992;;;;;;;;;;;;
9 Lives (Europe);9 Lives;Atari ST;;1990;;;;;;;;;;;;
Addams Family (Europe);Addams Family;Atari ST;;1992;;;;;;;;;;;;
After Burner (Europe);After Burner;Atari ST;;1988;;;;;;;;;;;;
After The War (Europe) (Disk 1);After The War - Disk 1;Atari ST;;1989;;;;;;;;;;;;
After The War (Europe) (Disk 2);After The War - Disk 2;Atari ST;;1989;;;;;;;;;;;;
Air Supply (Europe);Air Supply;Atari ST;;1990;;;;;;;;;;;;
Airball (Europe);Airball;Atari ST;;1987;;;;;;;;;;;;
Alcatraz (Europe) (Disk 1);Alcatraz - Disk 1;Atari ST;;1992;;;;;;;;;;;;
Alcatraz (Europe) (Disk 2);Alcatraz - Disk 2;Atari ST;;1992;;;;;;;;;;;;
Alien Storm (Europe);Alien Storm;Atari ST;;1991;;;;;;;;;;;;
Alien Syndrome (Europe);Alien Syndrome;Atari ST;;1987;;;;;;;;;;;;
Altered Beast (Europe);Altered Beast;Atari ST;;1989;;;;;;;;;;;;
AMC - Astro Marine Corps (Europe);AMC: Astro Marine Corps;Atari ST;;1990;;;;;;;;;;;;
Another World (France) (Disk 1);Another World - Disk 1;Atari ST;;1991;;;;;;;;;;;;
Another World (France) (Disk 2);Another World - Disk 2;Atari ST;;1991;;;;;;;;;;;;
Arctic Moves (Europe) (Disk 1);Arctic Moves - Disk 1;Atari ST;;1991;;;;;;;;;;;;
Arctic Moves (Europe) (Disk 2);Arctic Moves - Disk 2;Atari ST;;1991;;;;;;;;;;;;
Arkanoid (Europe);Arkanoid;Atari ST;;1987;;;;;;;;;;;;
Arkanoid II - Revenge of Doh (Europe);Arkanoid II: Revenge of Doh;Atari ST;;1988;;;;;;;;;;;;
Armalyte (Europe);Armalyte;Atari ST;;1991;;;;;;;;;;;;
Army Moves (Europe);Army Moves;Atari ST;;1988;;;;;;;;;;;;
Axel's Magic Hammer (Europe);Axel's Magic Hammer;Atari ST;;1989;;;;;;;;;;;;
Baby Jo - Going Home (Europe);Baby Jo: Going Home;Atari ST;;1991;;;;;;;;;;;;
Back to the Future II (Europe);Back to the Future II;Atari ST;;1990;;;;;;;;;;;;
Bad Dudes vs. Dragon Ninja (USA);Bad Dudes vs. Dragon Ninja;Atari ST;;1988;;;;;;;;;;;;
Barbarian (Europe);Barbarian;Atari ST;;1987;;;;;;;;;;;;
Batman - The Caped Crusader (Europe);Batman: The Caped Crusader;Atari ST;;1988;;;;;;;;;;;;
Batman - The Movie (Europe);Batman: The Movie;Atari ST;;1989;;;;;;;;;;;;
Beast Busters (Europe) (Disk 1);Beast Busters - Disk 1;Atari ST;;1992;;;;;;;;;;;;
Beast Busters (Europe) (Disk 2);Beast Busters - Disk 2;Atari ST;;1992;;;;;;;;;;;;
Big Nose (Europe);Big Nose;Atari ST;;1993;;;;;;;;;;;;
Big Run (Europe);Big Run;Atari ST;;1991;;;;;;;;;;;;
Bionic Commando (Europe);Bionic Commando;Atari ST;;1987;;;;;;;;;;;;
Black Lamp (Europe);Black Lamp;Atari ST;;1988;;;;;;;;;;;;
Black Tiger (Europe);Black Tiger;Atari ST;;1989;;;;;;;;;;;;
Blood Money (Europe);Blood Money;Atari ST;;1989;;;;;;;;;;;;
Bomb Jack (Europe);Bomb Jack;Atari ST;;1988;;;;;;;;;;;;
Bubble Bobble (Europe);Bubble Bobble;Atari ST;;1987;;;;;;;;;;;;
Buggy Boy (Europe);Buggy Boy;Atari ST;;1988;;;;;;;;;;;;
Cabal (Europe);Cabal;Atari ST;;1988;;;;;;;;;;;;
Captain Blood (Europe);Captain Blood;Atari ST;;1988;;;;;;;;;;;;
