#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Akumajou Densetsu (Japan) (Translated En);Akumajou Densetsu;Nintendo Entertainment System;;1989;Konami;Platform;;;;;0;;;;;
Akumajou Dracula (Japan) (v1.2) [b];Akumajou Dracula;Nintendo Famicom Disk System;;1986;Konami;Platform;;;;;0;;;;;
Dracula II - Noroi no Fuuin (Japan);Akumajou Dracula II: Noroi no Fuuin;Nintendo Famicom Disk System;;1987;Konami;Action;;;;;0;;;;;
Akumajou Special - Boku Dracula-kun (Japan) (Translated En);Akumajou Special: Boku Dracula-kun;Nintendo Entertainment System;;1990;Konami;Platform;;;;;0;;;;;
pc_cvnia;Castlevania;Arcade;;1987;Konami - Nintendo of America license;Platform - Fighter Scrolling;;;;;0;;;;;
Castlevania (USA) (Rev B);Castlevania;Nintendo 64;;1998;Konami;Platform;;;;;0;;;;;
Castlevania (USA) (Rev A);Castlevania;Nintendo Entertainment System;;1987;Konami;Platform;;;;;0;;;;;
Castlevania Chronicles (USA);Castlevania Chronicles;Sony PlayStation;;2001;Konami;Action;;;;;0;;;;;
Castlevania Double Pack (USA);Castlevania Double Pack;Nintendo Game Boy Advance;;2006;Konami;Platform;;;;;0;;;;;
Castlevania II - Belmont's Revenge (USA, Europe);Castlevania II: Belmont's Revenge;Nintendo Game Boy;;1991;Konami;Platform;;;;;0;;;;;
Castlevania II - Simon's Quest (USA);Castlevania II: Simon's Quest;Nintendo Entertainment System;;1988;Konami;Platform;;;;;0;;;;;
Castlevania III - Dracula's Curse (USA);Castlevania III: Dracula's Curse;Nintendo Entertainment System;;1990;Konami;Platform;;;;;0;;;;;
Castlevania Legends (USA, Europe);Castlevania Legends;Nintendo Game Boy;;1998;Konami;Platform;;;;;0;;;;;
Castlevania - Aria of Sorrow (USA);Castlevania: Aria of Sorrow;Nintendo Game Boy Advance;;2003;Konami;Platform;;;;;0;;;;;
Castlevania - Bloodlines (USA);Castlevania: Bloodlines;Sega Genesis;;1994;Konami;Platform;;;;;0;;;;;
Castlevania - Circle of the Moon (USA);Castlevania: Circle of the Moon;Nintendo Game Boy Advance;;2001;Konami;Platform;;;;;0;;;;;
Castlevania - Dracula X (USA);Castlevania: Dracula X;Super Nintendo Entertainment System;;1995;Konami;Platform;;;;;0;;;;;
Castlevania - Harmony of Dissonance (USA);Castlevania: Harmony of Dissonance;Nintendo Game Boy Advance;;2002;Konami;Platform;;;;;0;;;;;
Castlevania - Legacy of Darkness (USA);Castlevania: Legacy of Darkness;Nintendo 64;;1999;Konami;Platform;;;;;0;;;;;
Castlevania - Lords of Shadow - Mirror of Fate HD;Castlevania: Lords of Shadow - Mirror of Fate HD;PC Games;;2013;;;0;;;;;;;;;
Castlevania - Symphony of the Night (USA) (2);Castlevania: Symphony of the Night;Sony PlayStation;;1997;Konami;Adventure;;;;;0;;;;;
Castlevania - The Adventure ReBirth (USA) - copia;Castlevania: The Adventure ReBirth;Nintendo WiiWare;;2009;Konami;Platform;;;;;0;;;;;
Castlevania Chronicles (USA);Castlevania: The Dracula X Chronicles;Sony PSP;;2001;Konami;Action;;;;;0;;;;;
Castlevania - The New Generation (Euro);Castlevania: The New Generation;Sega Genesis;;1994;Konami;;;;;;0;;;;;
Super Castlevania IV (USA);Super Castlevania IV;Super Nintendo Entertainment System;;1991;Konami;Platform;;;;;0;;;;;
Castlevania Adventure, The (USA);The Castlevania Adventure;Nintendo Game Boy;;1989;Konami;Platform;;;;;0;;;;;
cstlevna;Vs. Castlevania;Arcade;;1987;Konami;Platform;;;;;0;;;;;
