#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1000Miglia_v1.1b;1000Miglia_v1.1b;Commodore Amiga;;;;;;;;;;;;;;
1000ccTurbo_v1.0;1000ccTurbo_v1.0;Commodore Amiga;;;;;;;;;;;;;;
1943_v1.2;1943_v1.2;Commodore Amiga;;;;;;;;;;;;;;
1stDivisionManager_v1.0_1800;1stDivisionManager_v1.0_1800;Commodore Amiga;;;;;;;;;;;;;;
20000LeaguesUnderTheSea_v0.4;20000LeaguesUnderTheSea_v0.4;Commodore Amiga;;;;;;;;;;;;;;
3001OConnorsFight_v1.0;3001OConnorsFight_v1.0;Commodore Amiga;;;;;;;;;;;;;;
3DGalax_v1.0;3DGalax_v1.0;Commodore Amiga;;;;;;;;;;;;;;
3DPool_v1.2_0621;3DPool_v1.2_0621;Commodore Amiga;;;;;;;;;;;;;;
4DSportsBoxing_v1.1_0421;4DSportsBoxing_v1.1_0421;Commodore Amiga;;;;;;;;;;;;;;
4DSportsDriving_v1.0_1461;4DSportsDriving_v1.0_1461;Commodore Amiga;;;;;;;;;;;;;;
4th&Inches_v1.0_1230;4th&Inches_v1.0_1230;Commodore Amiga;;;;;;;;;;;;;;
4x4OffRoadRacing_v1.00_1480;4x4OffRoadRacing_v1.00_1480;Commodore Amiga;;;;;;;;;;;;;;
5thGear_v1.0_1001;5thGear_v1.0_1001;Commodore Amiga;;;;;;;;;;;;;;
688AttackSub_v1.1_0093;688AttackSub_v1.1_0093;Commodore Amiga;;;;;;;;;;;;;;
7Colors_v1.1_0956;7Colors_v1.1_0956;Commodore Amiga;;;;;;;;;;;;;;
9Lives_v1.0;9Lives_v1.0;Commodore Amiga;;;;;;;;;;;;;;
A10TankKiller_v2.0_2Disk_1396;A10TankKiller_v2.0_2Disk_1396;Commodore Amiga;;;;;;;;;;;;;;
A10TankKiller_v2.0_3Disk;A10TankKiller_v2.0_3Disk;Commodore Amiga;;;;;;;;;;;;;;
AGE_v1.2;AGE_v1.2;Commodore Amiga;;;;;;;;;;;;;;
APB_v1.1_Image_1240;APB_v1.1_Image_1240;Commodore Amiga;;;;;;;;;;;;;;
ATrain&ConstructionSet_v1.0_1010&1469;ATrain&ConstructionSet_v1.0_1010&1469;Commodore Amiga;;;;;;;;;;;;;;
Aaargh_v1.0a_0511;Aaargh_v1.0a_0511;Commodore Amiga;;;;;;;;;;;;;;
AbandonedPlaces2_v2.0;AbandonedPlaces2_v2.0;Commodore Amiga;;;;;;;;;;;;;;
Abracadabra_v1.1;Abracadabra_v1.1;Commodore Amiga;;;;;;;;;;;;;;
Academy_v1.1;Academy_v1.1;Commodore Amiga;;;;;;;;;;;;;;
ActionFighter_v1.0;ActionFighter_v1.0;Commodore Amiga;;;;;;;;;;;;;;
AddamsFamily_v1.3_0419;AddamsFamily_v1.3_0419;Commodore Amiga;;;;;;;;;;;;;;
Adrenalynn_v1.1a;Adrenalynn_v1.1a;Commodore Amiga;;;;;;;;;;;;;;
AdvancedDestroyerSimulator_v1.0_2151;AdvancedDestroyerSimulator_v1.0_2151;Commodore Amiga;;;;;;;;;;;;;;
AdvancedSkiSimulator_v1.1_0094;AdvancedSkiSimulator_v1.1_0094;Commodore Amiga;;;;;;;;;;;;;;
AdvantageTennis_v1.0;AdvantageTennis_v1.0;Commodore Amiga;;;;;;;;;;;;;;
AdventureConstructionSet_v1.1_0904;AdventureConstructionSet_v1.1_0904;Commodore Amiga;;;;;;;;;;;;;;
AdventuresOfQuik&Silva_v1.1;AdventuresOfQuik&Silva_v1.1;Commodore Amiga;;;;;;;;;;;;;;
AdventuresOfRobinHood_v1.1;AdventuresOfRobinHood_v1.1;Commodore Amiga;;;;;;;;;;;;;;
AdventuresOfWillyBeamish_v1.0_1814;AdventuresOfWillyBeamish_v1.0_1814;Commodore Amiga;;;;;;;;;;;;;;
AfterBurner_v1.2_Sega_0947;AfterBurner_v1.2_Sega_0947;Commodore Amiga;;;;;;;;;;;;;;
AfterTheWar_v1.1_1084;AfterTheWar_v1.1_1084;Commodore Amiga;;;;;;;;;;;;;;
Agony_v1.3_0960;Agony_v1.3_0960;Commodore Amiga;;;;;;;;;;;;;;
AigleDOr_v1.1_Fr_2600;AigleDOr_v1.1_Fr_2600;Commodore Amiga;;;;;;;;;;;;;;
AirSupport_v1.1_1320;AirSupport_v1.1_1320;Commodore Amiga;;;;;;;;;;;;;;
Airball_v1.0;Airball_v1.0;Commodore Amiga;;;;;;;;;;;;;;
AirborneRanger_v1.0;AirborneRanger_v1.0;Commodore Amiga;;;;;;;;;;;;;;
Akira_v1.0;Akira_v1.0;Commodore Amiga;;;;;;;;;;;;;;
Aladdin_v1.4_AGA_0420;Aladdin_v1.4_AGA_0420;Commodore Amiga;;;;;;;;;;;;;;
Alcatraz_v1.0_2073;Alcatraz_v1.0_2073;Commodore Amiga;;;;;;;;;;;;;;
AlfredChicken_v1.0_0422;AlfredChicken_v1.0_0422;Commodore Amiga;;;;;;;;;;;;;;
Alianator_v1.0_1905;Alianator_v1.0_1905;Commodore Amiga;;;;;;;;;;;;;;
Alien3_v2.1_0261;Alien3_v2.1_0261;Commodore Amiga;;;;;;;;;;;;;;
AlienBash2_v1.2;AlienBash2_v1.2;Commodore Amiga;;;;;;;;;;;;;;
AlienBash_v1.0;AlienBash_v1.0;Commodore Amiga;;;;;;;;;;;;;;
AlienBreed2_v1.3_AGA_0044;AlienBreed2_v1.3_AGA_0044;Commodore Amiga;;;;;;;;;;;;;;
AlienBreed3D2_v1.1_AGA_0280;AlienBreed3D2_v1.1_AGA_0280;Commodore Amiga;;;;;;;;;;;;;;
AlienBreed3D_v1.0_AGA_Fixed_0624;AlienBreed3D_v1.0_AGA_Fixed_0624;Commodore Amiga;;;;;;;;;;;;;;
AlienBreedSpecialEdition_v1.0_0615;AlienBreedSpecialEdition_v1.0_0615;Commodore Amiga;;;;;;;;;;;;;;
AlienBreedTowerAssault_v1.2_CD32;AlienBreedTowerAssault_v1.2_CD32;Commodore Amiga;;;;;;;;;;;;;;
AlienBreed_v1.3_0998;AlienBreed_v1.3_0998;Commodore Amiga;;;;;;;;;;;;;;
AlienDrugLords_v1.0_1004;AlienDrugLords_v1.0_1004;Commodore Amiga;;;;;;;;;;;;;;
AlienFishFinger_v1.0;AlienFishFinger_v1.0;Commodore Amiga;;;;;;;;;;;;;;
AlienLegion_v1.0;AlienLegion_v1.0;Commodore Amiga;;;;;;;;;;;;;;
AlienStorm_v1.3_0096;AlienStorm_v1.3_0096;Commodore Amiga;;;;;;;;;;;;;;
AlienSyndrome_v1.0;AlienSyndrome_v1.0;Commodore Amiga;;;;;;;;;;;;;;
AlienWorld_v1.0_1398;AlienWorld_v1.0_1398;Commodore Amiga;;;;;;;;;;;;;;
Aliex_v1.1;Aliex_v1.1;Commodore Amiga;;;;;;;;;;;;;;
AllNewWorldOfLemmings_v1.0_AGA_0625;AllNewWorldOfLemmings_v1.0_AGA_0625;Commodore Amiga;;;;;;;;;;;;;;
AllTerrainRacing_v1.1;AllTerrainRacing_v1.1;Commodore Amiga;;;;;;;;;;;;;;
AllanBordersCricket_v1.0;AllanBordersCricket_v1.0;Commodore Amiga;;;;;;;;;;;;;;
AlloAllo_v1.0;AlloAllo_v1.0;Commodore Amiga;;;;;;;;;;;;;;
Alpha1_v1.0_1921;Alpha1_v1.0_1921;Commodore Amiga;;;;;;;;;;;;;;
AlphaWaves_v1.0_0626;AlphaWaves_v1.0_0626;Commodore Amiga;;;;;;;;;;;;;;
AlteredBeast_v2.0_0819;AlteredBeast_v2.0_0819;Commodore Amiga;;;;;;;;;;;;;;
AlteredDestiny_v1.0_0237;AlteredDestiny_v1.0_0237;Commodore Amiga;;;;;;;;;;;;;;
