#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
abobosbigadventure_PC;Abobo's Big Adventure;OpenBor;Double Dragon collection;2012;;;;;;;0;;;;;
Battletoads & Double Dragon - The Return of the Dark Forces;Battletoads & Double Dragon: The Return of the Dark Forces;OpenBor;Double Dragon collection;2010;;;;;;;0;;;;;
Battletoads & Double Dragon (USA);Battletoads & Double Dragon: The Ultimate Team;Super Nintendo Entertainment System;Double Dragon collection;1993;;;;;;;0;;;;;
Battletoads Double Dragon - The Revenge;Battletoads Double Dragon: The Revenge;OpenBor;Double Dragon collection;2019;;;;;;;0;;;;;
Battletoads Double Dragon - The T.Bird Mission;Battletoads Double Dragon: The T.Bird Mission;OpenBor;Double Dragon collection;2017;;;;;;;0;;;;;
Double Dragon (USA, Europe);Double Dragon;Sega Game Gear;Double Dragon collection;1992;;;;;;;0;;;;;
Double Dragon (USA, Europe);Double Dragon;Nintendo Game Boy;Double Dragon collection;1990;;;;;;;0;;;;;
Double Dragon (USA, Europe);Double Dragon;Atari Lynx;Double Dragon collection;1993;;;;;;;0;;;;;
DoubleDragon_v1.0_0320;Double Dragon;Commodore Amiga;Double Dragon collection;1988;;;;;;;0;;;;;
ddragon;Double Dragon;Final Burn Alpha;Double Dragon collection;1987;;;;;;;0;;;;;
doubledr;Double Dragon;Final Burn Alpha;Double Dragon collection;1995;;;;;;;0;;;;;
ddragon2;Double Dragon 2;Final Burn Alpha;Double Dragon collection;1988;;;;;;;0;;;;;
DoubleDragon2_v1.3_0768;Double Dragon 2;Commodore Amiga;Double Dragon collection;1989;;;;;;;0;;;;;
Double Dragon 3 (USA, Europe);Double Dragon 3;Nintendo Game Boy;Double Dragon collection;1992;;;;;;;0;;;;;
DoubleDragon3_v1.2_0321;Double Dragon 3;Commodore Amiga;Double Dragon collection;1990;;;;;;;0;;;;;
Double Dragon 3 - Rosetta Stone remake;Double Dragon 3: Rosetta Stone Remake;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
ddragon3;Double Dragon 3: The Rosetta Stone;Final Burn Alpha;Double Dragon collection;1990;;;;;;;0;;;;;
Double Dragon 4;Double Dragon 4;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Advance (USA);Double Dragon Advance;Nintendo Game Boy Advance;Double Dragon collection;2003;;;;;;;0;;;;;
Double Dragon Advance;Double Dragon Advance;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Evil Forces Expand;Double Dragon Evil Forces Expand;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Extreme;Double Dragon Extreme;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Extreme Anime Mix;Double Dragon Extreme Anime Mix;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Gaiden;Double Dragon Gaiden;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Genesis;Double Dragon Genesis;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Gold;Double Dragon Gold;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon II (USA, Europe);Double Dragon II;Nintendo Game Boy;Double Dragon collection;1990;;;;;;;0;;;;;
Double Dragon III - The Dragon Stone;Double Dragon III: The Dragon Stone;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon III - The Sacred Stones (USA);Double Dragon III: The Sacred Stones;Nintendo Entertainment System;Double Dragon collection;1991;;;;;;;0;;;;;
Double Dragon IV;Double Dragon IV;PC Games;Double Dragon collection;2017;;;;;;;0;;;;;
Double Dragon Moto;Double Dragon Moto;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
DoubleDragon;Double Dragon NEON;PC Games;Double Dragon collection;2014;;;;;;;0;;;;;
Double Dragon - Plus;Double Dragon Plus;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Reloaded Alternate v3.2.0;Double Dragon Reloaded Alternate v3.2.0;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Remix;Double Dragon Remix;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Renegade;Double Dragon Renegade;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Revolution;Double Dragon Revolution;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon Revolution 2;Double Dragon Revolution 2;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon SNK Final Edition;Double Dragon SNK Final Edition;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon V - The Shadow Falls (USA);Double Dragon V: The Shadow Falls;Super Nintendo Entertainment System;Double Dragon collection;1994;;;;;;;0;;;;;
Double Dragon Zero;Double Dragon Zero;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Double Dragon - Unleashed;Double Dragon: Unleashed;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Legend of the Double Dragon;Legend of the Double Dragon;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
rotd;Rage of the Dragons;Final Burn Alpha;Double Dragon collection;2002;;;;;;;0;;;;;
Return of the Double Dragon;Return of the Double Dragon;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
Super Double Dragon (USA);Super Double Dragon;Super Nintendo Entertainment System;Double Dragon collection;1992;;;;;;;0;;;;;
Ultimate Double Dragon;Ultimate Double Dragon;OpenBor;Double Dragon collection;????;;;;;;;0;;;;;
