#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Fatal Fury (U);Fatal Fury;Sega Genesis;Fatal Fury Collection;1993;SNK;Fighter;;;;;0;;;;;
Fatal Fury (USA);Fatal Fury;Super Nintendo Entertainment System;Fatal Fury Collection;1993;Takara;Fighter;;;;;0;;;;;
fatfury1;Fatal Fury: King of Fighters;Arcade;Fatal Fury Collection;1992;SNK;Fighter;;;;;0;;;;;
Fatal Fury 2 (USA);Fatal Fury 2;Super Nintendo Entertainment System;Fatal Fury Collection;1994;Takuyo;Fighter;;;;;0;;;;;
Fatal Fury 2 (USA, Korea);Fatal Fury 2;Sega Genesis;Fatal Fury Collection;1994;SNK;Fighter;;;;;0;;;;;
fatfury2;Fatal Fury 2;Arcade;Fatal Fury Collection;1992;SNK;Fighter;;;;;0;;;;;
fatfury3;Fatal Fury 3: Road to the Final Victory;Arcade;Fatal Fury Collection;1995;SNK;Fighter;;;;;0;;;;;
Fatal Fury F-Contact - Pocket Fighting Series (World) (En,Ja);Fatal Fury F-Contact;SNK Neo Geo Pocket Color;Fatal Fury Collection;1999;SNK;Fighter;;;;;0;;;;;
Fatal Fury Special (USA);Fatal Fury Special;Mega CD;Fatal Fury Collection;1995;JVC Digital Studios;Fighter;;;;;0;;;;;
Fatal Fury Special (USA);Fatal Fury Special;Super Nintendo Entertainment System;Fatal Fury Collection;1995;Takuyo;Fighter;;;;;0;;;;;
fatfursp;Fatal Fury Special;Arcade;Fatal Fury Collection;1993;SNK;Fighter;;;;;0;;;;;
Fatal Fury Special (USA, Europe);Fatal Fury Special ;Sega Game Gear;Fatal Fury Collection;1994;SNK;Fighter;;;;;0;;;;;
Fatal Fury - Wild Ambition (USA);Fatal Fury: Wild Ambition;Sony Playstation;Fatal Fury Collection;1999;SNK;Fighter;;;;;0;;;;;
garou;Garou: Mark of the Wolves;Arcade;Fatal Fury Collection;2001;Agetec Inc.;Fighter;;;;;0;;;;;
rbff1;Real Bout Fatal Fury;Arcade;Fatal Fury Collection;1995;SNK;Fighter;;;;;0;;;;;
rbff2;Real Bout Fatal Fury 2: The Newcomers;Arcade;Fatal Fury Collection;1998;SNK;Fighter;;;;;0;;;;;
rbffspec;Real Bout Fatal Fury Special;Arcade;Fatal Fury Collection;1996;SNK;Fighter;;;;;0;;;;;
