#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1941;1941;Final Burn Alpha;;;;;;;;;0;;;;;
1942;1942;Final Burn Alpha;;;;;;;;;0;;;;;
1943;1943;Final Burn Alpha;;;;;;;;;0;;;;;
1944;1944;Final Burn Alpha;;;;;;;;;0;;;;;
1945kiii;1945kiii;Final Burn Alpha;;;;;;;;;0;;;;;
19xx;19xx;Final Burn Alpha;;;;;;;;;0;;;;;
2020bb;2020bb;Final Burn Alpha;;;;;;;;;0;;;;;
3countb;3countb;Final Burn Alpha;;;;;;;;;0;;;;;
3in1semi;3in1semi;Final Burn Alpha;;;;;;;;;0;;;;;
3wonders;3wonders;Final Burn Alpha;;;;;;;;;0;;;;;
4dwarrio;4dwarrio;Final Burn Alpha;;;;;;;;;0;;;;;
88games;88games;Final Burn Alpha;;;;;;;;;0;;;;;
abcop;abcop;Final Burn Alpha;;;;;;;;;0;;;;;
aburner;aburner;Final Burn Alpha;;;;;;;;;0;;;;;
aburner2;aburner2;Final Burn Alpha;;;;;;;;;0;;;;;
aceattac;aceattac;Final Burn Alpha;;;;;;;;;0;;;;;
acrobatm;acrobatm;Final Burn Alpha;;;;;;;;;0;;;;;
actfancr;actfancr;Final Burn Alpha;;;;;;;;;0;;;;;
ad2083;ad2083;Final Burn Alpha;;;;;;;;;0;;;;;
aerofgt;aerofgt;Final Burn Alpha;;;;;;;;;0;;;;;
afighter;afighter;Final Burn Alpha;;;;;;;;;0;;;;;
agallet;agallet;Final Burn Alpha;;;;;;;;;0;;;;;
agress;agress;Final Burn Alpha;;;;;;;;;0;;;;;
airattck;airattck;Final Burn Alpha;;;;;;;;;0;;;;;
airbustr;airbustr;Final Burn Alpha;;;;;;;;;0;;;;;
airduel;airduel;Final Burn Alpha;;;;;;;;;0;;;;;
airwolf;airwolf;Final Burn Alpha;;;;;;;;;0;;;;;
ajax;ajax;Final Burn Alpha;;;;;;;;;0;;;;;
alcon;alcon;Final Burn Alpha;;;;;;;;;0;;;;;
alexkidd;alexkidd;Final Burn Alpha;;;;;;;;;0;;;;;
alibaba;alibaba;Final Burn Alpha;;;;;;;;;0;;;;;
aliencha;aliencha;Final Burn Alpha;;;;;;;;;0;;;;;
aliens;aliens;Final Burn Alpha;;;;;;;;;0;;;;;
aliensyn;aliensyn;Final Burn Alpha;;;;;;;;;0;;;;;
alpham2;alpham2;Final Burn Alpha;;;;;;;;;0;;;;;
altbeast;altbeast;Final Burn Alpha;;;;;;;;;0;;;;;
amazon;amazon;Final Burn Alpha;;;;;;;;;0;;;;;
ambush;ambush;Final Burn Alpha;;;;;;;;;0;;;;;
amidar;amidar;Final Burn Alpha;;;;;;;;;0;;;;;
androdun;androdun;Final Burn Alpha;;;;;;;;;0;;;;;
angelkds;angelkds;Final Burn Alpha;;;;;;;;;0;;;;;
anteater;anteater;Final Burn Alpha;;;;;;;;;0;;;;;
aodk;aodk;Final Burn Alpha;;;;;;;;;0;;;;;
aof;aof;Final Burn Alpha;;;;;;;;;0;;;;;
aof2;aof2;Final Burn Alpha;;;;;;;;;0;;;;;
aof3;aof3;Final Burn Alpha;;;;;;;;;0;;;;;
aquajack;aquajack;Final Burn Alpha;;;;;;;;;0;;;;;
aquarium;aquarium;Final Burn Alpha;;;;;;;;;0;;;;;
arabian;arabian;Final Burn Alpha;;;;;;;;;0;;;;;
arbalest;arbalest;Final Burn Alpha;;;;;;;;;0;;;;;
area88;area88;Final Burn Alpha;;;;;;;;;0;;;;;
arkanoid;arkanoid;Final Burn Alpha;;;;;;;;;0;;;;;
arknoid2;arknoid2;Final Burn Alpha;;;;;;;;;0;;;;;
armorcar;armorcar;Final Burn Alpha;;;;;;;;;0;;;;;
armwar;armwar;Final Burn Alpha;;;;;;;;;0;;;;;
ashnojoe;ashnojoe;Final Burn Alpha;;;;;;;;;0;;;;;
ashura;ashura;Final Burn Alpha;;;;;;;;;0;;;;;
asterix;asterix;Final Burn Alpha;;;;;;;;;0;;;;;
astorm;astorm;Final Burn Alpha;;;;;;;;;0;;;;;
astyanax;astyanax;Final Burn Alpha;;;;;;;;;0;;;;;
asuka;asuka;Final Burn Alpha;;;;;;;;;0;;;;;
asurabld;asurabld;Final Burn Alpha;;;;;;;;;0;;;;;
asurabus;asurabus;Final Burn Alpha;;;;;;;;;0;;;;;
atetris;atetris;Final Burn Alpha;;;;;;;;;0;;;;;
atlantis;atlantis;Final Burn Alpha;;;;;;;;;0;;;;;
atomicp;atomicp;Final Burn Alpha;;;;;;;;;0;;;;;
aurail;aurail;Final Burn Alpha;;;;;;;;;0;;;;;
avengers;avengers;Final Burn Alpha;;;;;;;;;0;;;;;
avsp;avsp;Final Burn Alpha;;;;;;;;;0;;;;;
aztarac;aztarac;Final Burn Alpha;;;;;;;;;0;;;;;
azurian;azurian;Final Burn Alpha;;;;;;;;;0;;;;;
backfire;backfire;Final Burn Alpha;;;;;;;;;0;;;;;
backfirt;backfirt;Final Burn Alpha;;;;;;;;;0;;;;;
