#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
ffight;Final Fight;Arcade;Final Fight Collection;1989;;;;;;;;0;;;;
Final Fight;Final Fight;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight 2 (USA);Final Fight 2;Super Nintendo Entertainment System;Final Fight Collection;1993;;;;;;;;0;;;;
Final Fight 3 (USA);Final Fight 3;Super Nintendo Entertainment System;Final Fight Collection;1996;;;;;;;;0;;;;
Final Fight and Cadillacs;Final Fight and Cadillacs;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight Apocalypse - 2nd Edition;Final Fight Apocalypse 2st Edition;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight Apocalypse 1;Final Fight Apocalypse First Edition;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight Boss;Final Fight Boss;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight CD (Japan);Final Fight CD;Mega CD;Final Fight Collection;1993;;;;;;;;0;;;;
Final Fight DC;Final Fight DC;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight Gold Champion Edition;Final Fight Gold Champion Edition;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight Gold Plus LNS;Final Fight Gold Plus LNS;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight Guy (USA);Final Fight Guy;Super Nintendo Entertainment System;Final Fight Collection;1994;;;;;;;;0;;;;
Final_Fight_Heroes;Final Fight Heroes;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight - Last Round;Final Fight: Last Round;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight LNS Ultimate;Final Fight LNS Ultimate;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight meets Comics Zone;Final Fight Meets Comics Zone;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight One (USA);Final Fight One;Nintendo Game Boy Advance;Final Fight Collection;2001;;;;;;;;0;;;;
Final Fight PC- SNES Edition;Final Fight PC SNES Edition;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight Revenge;Final Fight Revenge;Sega Saturn;Final Fight Collection;2000;;;;;;;;0;;;;
Final Fight Revival of Rage;Final Fight Revival of Rage;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight Special;Final Fight Special;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight Streetwise;Final Fight Streetwise;Sony Playstation 2;Final Fight Collection;2006;;;;;;;;0;;;;
Final Fight Vs The King Of Fighters;Final Fight Vs The King Of Fighters;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Final Fight X;Final Fight X OpenBor;OpenBor;Final Fight Collection;????;;;;;;;;0;;;;
Mighty Final Fight (USA);Mighty Final Fight;Nintendo Entertainment System;Final Fight Collection;1993;;;;;;;;0;;;;
