#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
007 Casino Royale (Original) (1.1);007 Casino Royale;Future Pinball;;2013;Original;;;;;;0;;;;;;;;;
2001 (Gottlieb) (1971) (2.00);2001;Future Pinball;;1971;Gottlieb;;;;;;0;;;;;;;;;
24 (Stern) (2009) (Collectors Edition) (1.01);24 (Collector's Edition);Future Pinball;;2009;Stern;;;;;;0;;;;;;;;;
ACDC (Stern) (Pro) (2012) (1.0);AC/DC (Pro);Future Pinball;;2012;Stern;;;;;;0;;;;;;;;;
ACDC - Devil Girl (Stern) (2012) (Ultimate) (1.0);ACDC - Devil Girl (Ultimate);Future Pinball;;2012;Stern;;;;;;0;;;;;;;;;
Abra Ca Dabra (Gottlieb) (1975) (Ultimate) (1.01);Abra Ca Dabra (Ultimate);Future Pinball;;1975;Gottlieb;;;;;;0;;;;;;;;;
Adam Strange (Original) (2015) (1.0);Adam Strange;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Addams Family, The (Bally) (1992) (Ultimate) (1.02);Addams Family, The (Ultimate);Future Pinball;;1992;Bally;;;;;;0;;;;;;;;;
Aerosmith (Original) (2015) (2.0);Aerosmith;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Air Aces (Bally) (1975) (1.0);Air Aces;Future Pinball;;1975;Bally;;;;;;0;;;;;;;;;
Airport (Gottlieb) (1969) (2.0);Airport;Future Pinball;;1969;Gottlieb;;;;;;0;;;;;;;;;
Akira (Original) (v0.9);Akira;Future Pinball;;2011;Original;;;;;;0;;;;;;;;;
Alien Dude (Original) (1.0);Alien Dude;Future Pinball;;2013;Original;;;;;;0;;;;;;;;;
Alien Racing (Original) (1.0);Alien Racing;Future Pinball;;2013;Original;;;;;;0;;;;;;;;;
Alien Science (Original) (1.0);Alien Science;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
Aliens Infestation (Original) (1.1);Aliens Infestation;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
Aliens Legacy (Original) (2011) (Ultimate Edition) (1.02);Aliens Legacy (Ultimate Edition);Future Pinball;;2011;Original;;;;;;0;;;;;;;;;
