#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1942;1942;MSX;;;;;;;;;;;;;;
A1-Spirit;A1-Spirit;MSX;;;;;;;;;;;;;;
Aleste;Aleste;MSX;;;;;;;;;;;;;;
Alien2;Alien2;MSX;;;;;;;;;;;;;;
Alpha Roid;Alpha Roid;MSX;;;;;;;;;;;;;;
American_truck;American_truck;MSX;;;;;;;;;;;;;;
Anaza-Kaleidoscope Special;Anaza-Kaleidoscope Special;MSX;;;;;;;;;;;;;;
Andorogynus;Andorogynus;MSX;;;;;;;;;;;;;;
Antartic_Adventure;Antartic_Adventure;MSX;;;;;;;;;;;;;;
Arkanoid;Arkanoid;MSX;;;;;;;;;;;;;;
AshGuine;AshGuine;MSX;;;;;;;;;;;;;;
AthleticLand;AthleticLand;MSX;;;;;;;;;;;;;;
BOMBJACK;BOMBJACK;MSX;;;;;;;;;;;;;;
Bank Panic;Bank Panic;MSX;;;;;;;;;;;;;;
Block Hole;Block Hole;MSX;;;;;;;;;;;;;;
Break In;Break In;MSX;;;;;;;;;;;;;;
BubbleBobble;BubbleBobble;MSX;;;;;;;;;;;;;;
C-So;C-So;MSX;;;;;;;;;;;;;;
Car Fighter;Car Fighter;MSX;;;;;;;;;;;;;;
The Castle;The Castle;MSX;;;;;;;;;;;;;;
CastleExcellent;CastleExcellent;MSX;;;;;;;;;;;;;;
Chack n Pop;Chack n Pop;MSX;;;;;;;;;;;;;;
Choplifter;Choplifter;MSX;;;;;;;;;;;;;;
Choro Q;Choro Q;MSX;;;;;;;;;;;;;;
Circus_Charlie;Circus_Charlie;MSX;;;;;;;;;;;;;;
City_Connection;City_Connection;MSX;;;;;;;;;;;;;;
Coaster_Race;Coaster_Race;MSX;;;;;;;;;;;;;;
Come On Picot;Come On Picot;MSX;;;;;;;;;;;;;;
ComicBakery;ComicBakery;MSX;;;;;;;;;;;;;;
Crazy_Train;Crazy_Train;MSX;;;;;;;;;;;;;;
Demon Crystal Saga II-Knither Special;Demon Crystal Saga II-Knither Special;MSX;;;;;;;;;;;;;;
Demon Crystal, The;Demon Crystal, The;MSX;;;;;;;;;;;;;;
Demonia;Demonia;MSX;;;;;;;;;;;;;;
Dig Dug;Dig Dug;MSX;;;;;;;;;;;;;;
Doki Doki Penguin Land;Doki Doki Penguin Land;MSX;;;;;;;;;;;;;;
Dragon Buster;Dragon Buster;MSX;;;;;;;;;;;;;;
Dunkshot;Dunkshot;MSX;;;;;;;;;;;;;;
EggerLandMistery;EggerLandMistery;MSX;;;;;;;;;;;;;;
Exa Innova;Exa Innova;MSX;;;;;;;;;;;;;;
Exerion II;Exerion II;MSX;;;;;;;;;;;;;;
Exoide-Z;Exoide-Z;MSX;;;;;;;;;;;;;;
Exoide-Z Area 5;Exoide-Z Area 5;MSX;;;;;;;;;;;;;;
F1Spirit;F1Spirit;MSX;;;;;;;;;;;;;;
FaTetris;FaTetris;MSX;;;;;;;;;;;;;;
FamicleParodic;FamicleParodic;MSX;;;;;;;;;;;;;;
Family_Boxing;Family_Boxing;MSX;;;;;;;;;;;;;;
Fantasy Zone;Fantasy Zone;MSX;;;;;;;;;;;;;;
Fantasy Zone II;Fantasy Zone II;MSX;;;;;;;;;;;;;;
Final Justice;Final Justice;MSX;;;;;;;;;;;;;;
Galaga;Galaga;MSX;;;;;;;;;;;;;;
Galaxian;Galaxian;MSX;;;;;;;;;;;;;;
Gall Force-Defense of Chaos;Gall Force-Defense of Chaos;MSX;;;;;;;;;;;;;;
