#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Dr. Mario (Japan, USA) (Rev A);Dr. Mario;Nintendo Entertainment System;Mario Collection;1990;Nintendo;Puzzle;;;;;0;;;;;
Dr. Mario (World) (Rev A);Dr. Mario;Nintendo Game Boy;Mario Collection;1990;Nintendo;Puzzle;;;;;0;;;;;
pc_drmro;Dr. Mario;Arcade;Mario Collection;1990;Nintendo;Puzzle - Drop;;;;;0;;;;;
Dr. Mario 64 (USA);Dr. Mario 64;Nintendo 64;Mario Collection;2001;Nintendo;Puzzle;;;;;0;;;;;
Mario & Luigi - Superstar Saga (Europe) (En,Fr,De,Es,It);Mario and Luigi: Superstar Saga;Nintendo Game Boy Advance;Mario Collection;2003;Nintendo;Role-Playing;;;;;0;;;;;
Mario Bros. (USA);Mario Bros.;Atari 5200;Mario Collection;1983;Atari;Platform;;;;;0;;;;;
Mario Bros. (World);Mario Bros.;Nintendo Entertainment System;Mario Collection;1986;Nintendo;Platform;;;;;0;;;;;
mario;Mario Bros.;Arcade;Mario Collection;1983;Nintendo of America;Platform - Run Jump;;;;;0;;;;;
Mario Brothers (1988) (Atari);Mario Brothers;Atari 7800;Mario Collection;1988;Nintendo;Platform;;;;;0;;;;;
Mario Golf (USA);Mario Golf;Nintendo 64;Mario Collection;1999;Nintendo;Golf - Sports;;;;;0;;;;;
Mario Golf (USA);Mario Golf;Nintendo Game Boy Color;Mario Collection;1999;Nintendo;Sports;;;;;0;;;;;
Mario Golf - Advance Tour (Spain);Mario Golf: Advance Tour;Nintendo Game Boy Advance;Mario Collection;2004;Nintendo;Golf - Sports;;;;;0;;;;;
Mario Is Missing! (USA);Mario Is Missing!;Nintendo Entertainment System;Mario Collection;1993;Software Toolworks;Educational;;;;;0;;;;;
Mario Is Missing! (USA);Mario Is Missing!;Super Nintendo Entertainment System;Mario Collection;1993;Software Toolworks;Action;;;;;0;;;;;
Mario Kart 64 (USA);Mario Kart 64;Nintendo 64;Mario Collection;1997;Nintendo;Driving;;;;;0;;;;;
Mario Kart DS (USA);Mario Kart DS;Nintendo DS;Mario Collection;2005;Nintendo;;;;;;0;;;;;
Mario Kart - Double Dash!! (USA);Mario Kart: Double Dash!!;Nintendo Gamecube;Mario Collection;2003;Nintendo;;;;;;0;;;;;
Mario Kart - Super Circuit (Europe);Mario Kart: Super Circuit;Nintendo Game Boy Advance;Mario Collection;2006;Nintendo;Driving;;;;;0;;;;;
Mario Paint (Japan, USA);Mario Paint;Super Nintendo Entertainment System;Mario Collection;1992;Nintendo;Miscellaneous;;;;;0;;;;;
Mario Party (USA);Mario Party;Nintendo 64;Mario Collection;1999;Nintendo;Party;;;;;0;;;;;
Mario Party 2 (USA);Mario Party 2;Nintendo 64;Mario Collection;2000;Nintendo;Party;;;;;0;;;;;
Mario Party 3 (USA);Mario Party 3;Nintendo 64;Mario Collection;2001;Nintendo;Pinball;;;;;0;;;;;
Mario Party Advance (Europe) (En,Fr,De,Es,It);Mario Party Advance;Nintendo Game Boy Advance;Mario Collection;2005;Nintendo;Party;;;;;0;;;;;
Mario Party DS (USA);Mario Party DS;Nintendo DS;Mario Collection;2007;Nintendo;;;;;;0;;;;;
Mario Pinball Land (USA, Australia);Mario Pinball Land;Nintendo Game Boy Advance;Mario Collection;2004;Nintendo;Pinball;;;;;0;;;;;
Mario Tennis (USA);Mario Tennis;Nintendo 64;Mario Collection;2000;Nintendo;Sports - Tennis;;;;;0;;;;;
Mario Tennis (USA);Mario Tennis;Nintendo Game Boy Color;Mario Collection;2001;Nintendo;Sports;;;;;0;;;;;
Mario Tennis - Power Tour (USA, Australia) (En,Fr,De,Es,It);Mario Tennis: Power Tour;Nintendo Game Boy Advance;Mario Collection;2005;Nintendo;Sports - Tennis;;;;;0;;;;;
Mario vs. Donkey Kong (Europe) (En,Fr,De,Es,It);Mario vs. Donkey Kong;Nintendo Game Boy Advance;Mario Collection;2004;Nintendo;Platform;;;;;0;;;;;
Mario's Early Years! - Fun with Letters (USA);Mario's Early Years!: Fun with Letters;Super Nintendo Entertainment System;Mario Collection;1994;Software Toolworks;Miscellaneous;;;;;0;;;;;
Mario's Early Years! - Fun with Numbers (USA);Mario's Early Years!: Fun with Numbers;Super Nintendo Entertainment System;Mario Collection;1994;Software Toolworks;Miscellaneous;;;;;0;;;;;
Mario's Early Years! - Preschool Fun (USA);Mario's Early Years!: Preschool Fun;Super Nintendo Entertainment System;Mario Collection;1994;Mindscape;Miscellaneous;;;;;0;;;;;
pc_moglf;Mario's Open Golf;Arcade;Mario Collection;1991;Nintendo;Sports - Golf;;;;;0;;;;;
Mario's Picross (USA, Europe);Mario's Picross;Nintendo Game Boy;Mario Collection;1995;Nintendo;Puzzle;;;;;0;;;;;
Mario's Time Machine! (USA);Mario's Time Machine;Nintendo Entertainment System;Mario Collection;1994;Software Toolworks;Educational;;;;;0;;;;;
Mario's Time Machine (USA);Mario's Time Machine;Super Nintendo Entertainment System;Mario Collection;1993;Mindscape;Miscellaneous;;;;;0;;;;;
New Super Mario Bros. (USA);New Super Mario Bros.;Nintendo DS;Mario Collection;2006;Nintendo;;;;;;0;;;;;
Paper Mario (USA);Paper Mario;Nintendo 64;Mario Collection;2001;Nintendo;Role-Playing;;;;;0;;;;;
Super Mario 64 (USA);Super Mario 64;Nintendo 64;Mario Collection;1996;Nintendo;Platform;;;;;0;;;;;
Super Mario 64 DS (USA);Super Mario 64 DS;Nintendo DS;Mario Collection;2004;Nintendo;;;;;;0;;;;;
Super Mario Advance (USA, Europe);Super Mario Advance;Nintendo Game Boy Advance;Mario Collection;2001;Nintendo;Platform;;;;;0;;;;;
Super Mario Advance 2 - Super Mario World (Europe) (En,Fr,De,Es);Super Mario Advance 2: Super Mario World;Nintendo Game Boy Advance;Mario Collection;2002;Nintendo;Platform;;;;;0;;;;;
Super Mario Advance 3 - Yoshi's Island (Europe) (En,Fr,De,Es,It);Super Mario Advance 3: Yoshi's Island;Nintendo Game Boy Advance;Mario Collection;2002;Nintendo;Platform;;;;;0;;;;;
Super Mario Advance 4 - Super Mario Bros. 3 (Europe) (En,Fr,De,Es,It);Super Mario Advance 4: Super Mario Bros. 3;Nintendo Game Boy Advance;Mario Collection;2003;Nintendo;Platform;;;;;0;;;;;
Super Mario All-Stars (USA);Super Mario All-Stars;Super Nintendo Entertainment System;Mario Collection;1993;Nintendo;Platform;;;;;0;;;;;
Super Mario All-Stars + Super Mario World (USA);Super Mario All-Stars + Super Mario World;Super Nintendo Entertainment System;Mario Collection;1994;Nintendo;Platform;;;;;0;;;;;
pc_smb;Super Mario Bros.;Arcade;Mario Collection;1985;Nintendo;Platform - Run Jump Scrolling;;;;;0;;;;;
Super Mario Bros. (World);Super Mario Bros.;Nintendo Entertainment System;Mario Collection;1985;Nintendo;Platform;;;;;0;;;;;
pc_smb2;Super Mario Bros. 2;Arcade;Mario Collection;1988;Nintendo;Platform - Run Jump Scrolling;;;;;0;;;;;
Super Mario Bros. 2 (USA) (Rev A);Super Mario Bros. 2;Nintendo Entertainment System;Mario Collection;1988;Nintendo;Platform;;;;;0;;;;;
pc_smb3;Super Mario Bros. 3;Arcade;Mario Collection;1988;Nintendo;Platform - Run Jump Scrolling;;;;;0;;;;;
Super Mario Bros. 3 (USA) (Rev A);Super Mario Bros. 3;Nintendo Entertainment System;Mario Collection;1990;Nintendo;Platform;;;;;0;;;;;
Super Mario Bros. Deluxe (USA, Europe) (Rev B);Super Mario Bros. Deluxe;Nintendo Game Boy Color;Mario Collection;1999;Nintendo;Platform;;;;;0;;;;;
Super Mario Kart (USA);Super Mario Kart;Super Nintendo Entertainment System;Mario Collection;1992;Nintendo;Driving;;;;;0;;;;;
Super Mario Land (World) (Rev A);Super Mario Land;Nintendo Game Boy;Mario Collection;1989;Nintendo;Platform;;;;;0;;;;;
Super Mario Land 2 - 6 Golden Coins (USA, Europe) (Rev B);Super Mario Land 2: 6 Golden Coins;Nintendo Game Boy;Mario Collection;1992;Nintendo;Platform;;;;;0;;;;;
Super Mario RPG - Legend of the Seven Stars (USA);Super Mario RPG: Legend of the Seven Stars;Super Nintendo Entertainment System;Mario Collection;1996;SquareSoft;Role-Playing;;;;;0;;;;;
super mario sunshine;Super Mario Sunshine;Nintendo Gamecube;Mario Collection;2002;Nintendo;;;;;;0;;;;;
Super Mario World (USA);Super Mario World;Super Nintendo Entertainment System;Mario Collection;1991;Nintendo;Platform;;;;;0;;;;;
Super Mario World 2 - Yoshi's Island (USA);Super Mario World 2: Yoshi's Island;Super Nintendo Entertainment System;Mario Collection;1995;Nintendo;Platform;;;;;0;;;;;
Tetris & Dr. Mario (USA);Tetris & Dr. Mario;Super Nintendo Entertainment System;Mario Collection;1994;Nintendo;Puzzle;;;;;0;;;;;
drmario;Vs. Dr. Mario;Arcade;Mario Collection;1990;Nintendo;Puzzle - Drop;;;;;0;;;;;
skatekds;Vs. Skate Kids.;Arcade;Mario Collectionsuprmrio;1988;hack (Two-Bit Score);Platform - Run Jump Scrolling;;;;;0;;;;;
