#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Mega Man (USA);Mega Man;Nintendo Entertainment System;Mega Man Collection;1987;Capcom;Platform;;;;;0;;;;;
Mega Man (USA, Europe);Mega Man;Sega Game Gear;Mega Man Collection;1995;U.S. Gold;Platform;;;;;0;;;;;
Mega Man - Maverick Hunter X (USA);Mega Man: Maverick Hunter X;Sony PSP;Mega Man Collection;2006;Capcom;Platform;;;;;0;;;;;
Mega Man - Network Transmission (USA);Mega Man: Network Transmission;Nintendo Gamecube;Mega Man Collection;2003;Arika;Action;;;;;0;;;;;
Mega Man - Powered Up (USA);Mega Man: Powered Up;Sony PSP;Mega Man Collection;2006;Capcom;Platform;;;;;0;;;;;
Megaman & Bass (USA);Mega Man & Bass;Nintendo Game Boy Advance;Mega Man Collection;2003;Capcom;Platform;;;;;0;;;;;
Mega Man 10 (U);Mega Man 10;Nintendo WiiWare;Mega Man Collection;2010;Capcom, Inti Creates;Platformer;;;;;0;;;;;
Mega Man 2 (USA);Mega Man 2;Nintendo Entertainment System;Mega Man Collection;1989;Capcom;Platform;;;;;0;;;;;
megaman2;Mega Man 2: The Power Fighters;Arcade;Mega Man Collection;1996;Capcom;Fighter;;;;;0;;;;;
Mega Man 3 (USA);Mega Man 3;Nintendo Entertainment System;Mega Man Collection;1990;Capcom;Platform;;;;;0;;;;;
Mega Man 4 (USA) (Rev A);Mega Man 4;Nintendo Entertainment System;Mega Man Collection;1992;Capcom;Platform;;;;;0;;;;;
Mega Man 5 (USA);Mega Man 5;Nintendo Entertainment System;Mega Man Collection;1992;Capcom;Platform;;;;;0;;;;;
Mega Man 6 (USA);Mega Man 6;Nintendo Entertainment System;Mega Man Collection;1994;Capcom;Platform;;;;;0;;;;;
Mega Man 64 (USA);Mega Man 64;Nintendo 64;Mega Man Collection;2001;Capcom;Adventure;;;;;0;;;;;
Mega Man 7 (USA);Mega Man 7;Super Nintendo Entertainment System;Mega Man Collection;1995;Capcom;Platform;;;;;0;;;;;
Mega Man 8 (USA);Mega Man 8;Sony Playstation;Mega Man Collection;1997;Capcom;Platform;;;;;0;;;;;
Mega Man 9 (U);Mega Man 9;Nintendo WiiWare;Mega Man Collection;2008;Capcom, Inti Creates;Platformer;;;;;0;;;;;
Megaman Battle Chip Challenge (USA);Mega Man Battle Chip Challenge;Nintendo Game Boy Advance;Mega Man Collection;2004;Capcom;Card Battle;;;;;0;;;;;
Megaman Battle Network (USA);Mega Man Battle Network;Nintendo Game Boy Advance;Mega Man Collection;2001;Capcom;Role-Playing;;;;;0;;;;;
Megaman Battle Network 2 (USA);Mega Man Battle Network 2;Nintendo Game Boy Advance;Mega Man Collection;2002;Capcom;Role-Playing;;;;;0;;;;;
Megaman Battle Network 3 Blue (USA);Mega Man Battle Network 3: Blue Version;Nintendo Game Boy Advance;Mega Man Collection;2003;Capcom;Role-Playing;;;;;0;;;;;
Megaman Battle Network 3 White (USA);Mega Man Battle Network 3: White Version;Nintendo Game Boy Advance;Mega Man Collection;2003;Capcom;Role-Playing;;;;;0;;;;;
Megaman Battle Network 4 Blue Moon (USA);Mega Man Battle Network 4: Blue Moon;Nintendo Game Boy Advance;Mega Man Collection;2004;Capcom;Role-Playing;;;;;0;;;;;
Megaman Battle Network 4 Red Sun (USA);Mega Man Battle Network 4: Red Sun;Nintendo Game Boy Advance;Mega Man Collection;2004;Capcom;Role-Playing;;;;;0;;;;;
Mega Man Battle Network 5 - Double Team DS (Europe) (En,Fr,De,Es,It).nds;Mega Man Battle Network 5: Double Team DS;Nintendo DS;Mega Man Collection;2005;Capcom;Role-Playing;;;;;0;;;;;
Megaman Battle Network 5 Team Colonel (USA);Mega Man Battle Network 5: Team Colonel;Nintendo Game Boy Advance;Mega Man Collection;2005;Capcom;Role-Playing;;;;;0;;;;;
Megaman Battle Network 5 Team Protoman (USA);Mega Man Battle Network 5: Team Proto Man;Nintendo Game Boy Advance;Mega Man Collection;2005;Capcom;Role-Playing;;;;;0;;;;;
Megaman Battle Network 6 Cybeast Falzar (USA);Mega Man Battle Network 6: Cybeast Falzar;Nintendo Game Boy Advance;Mega Man Collection;2006;Capcom;Role-Playing;;;;;0;;;;;
Megaman Battle Network 6 Cybeast Gregar (USA);Mega Man Battle Network 6: Cybeast Gregar;Nintendo Game Boy Advance;Mega Man Collection;2006;Capcom;Role-Playing;;;;;0;;;;;
Megaman II (USA);Mega Man II;Nintendo Game Boy;Mega Man Collection;1992;Capcom;Platform;;;;;0;;;;;
Megaman III (USA);Mega Man III;Nintendo Game Boy;Mega Man Collection;1992;Capcom;Platform;;;;;0;;;;;
Megaman IV (USA);Mega Man IV;Nintendo Game Boy;Mega Man Collection;1993;Capcom;Platform;;;;;0;;;;;
Mega Man Legends (USA);Mega Man Legends;Sony Playstation;Mega Man Collection;1998;Capcom;Adventure;;;;;0;;;;;
Mega Man Legends 2 (USA);Mega Man Legends 2;Sony Playstation;Mega Man Collection;2000;Capcom;Adventure;;;;;0;;;;;
Mega Man Rock Force;Mega Man Rock Force;PC Games extra;Mega Man Collection;2014;GoldWater DLS;Platform;;;;;0;;;;;
Mega Man Soccer (USA);Mega Man Soccer;Super Nintendo Entertainment System;Mega Man Collection;1994;Capcom;Sports - Soccer;;;;;0;;;;;
Mega Man Star Force - Dragon (USA);Mega Man Star Force: Dragon;Nintendo DS;Mega Man Collection;2007;Capcom;Platform;;;;;0;;;;;
Mega Man Star Force - Leo (USA);Mega Man Star Force: Leo;Nintendo DS;Mega Man Collection;2006;Capcom;Platform;;;;;0;;;;;
Mega Man Star Force - Pegasus (USA);Mega Man Star Force: Pegasus;Nintendo DS;Mega Man Collection;2007;Capcom;Platform;;;;;0;;;;;
Mega Man Star Force 2 - Zerker x Ninja (USA);Mega Man Star Force 2: Zerker x Ninja;Nintendo DS;Mega Man Collection;2008;Capcom;Platform;;;;;0;;;;;
Mega Man Star Force 2 - Zerker x Saurian (USA);Mega Man Star Force 2: Zerker x Saurian;Nintendo DS;Mega Man Collection;2008;Capcom;Platform;;;;;0;;;;;
Mega Man Star Force 3 - Black Ace (USA);Mega Man Star Force 3: Black Ace;Nintendo DS;Mega Man Collection;2008;Capcom;Platform;;;;;0;;;;;
Mega Man Star Force 3 - Red Joker (USA);Mega Man Star Force 3: Red Joker;Nintendo DS;Mega Man Collection;2009;Capcom;Platform;;;;;0;;;;;
Mega Man SFR;Mega Man Super Fighting Robot;PC Games extra;Mega Man Collection;2012;Capcom;Platform;;;;;0;;;;;
Mega Man Unlimited;Mega Man Unlimited;PC Games extra;Mega Man Collection;2013;Philippe Poulin;Platform;;;;;0;;;;;
Megaman V (USA);Mega Man V;Nintendo Game Boy;Mega Man Collection;1994;Capcom;Platform;;;;;0;;;;;
Mega Man X (USA);Mega Man X;Super Nintendo Entertainment System;Mega Man Collection;1994;Capcom;Platform;;;;;0;;;;;
Mega Man X - Command Mission (USA);Mega Man X: Command Mission;Nintendo Gamecube;Mega Man Collection;2004;Capcom;Role-Playing;;;;;0;;;;;
Mega Man X2 (USA);Mega Man X2;Super Nintendo Entertainment System;Mega Man Collection;1995;Capcom;Platform;;;;;0;;;;;
Mega Man X3 (USA);Mega Man X3;Super Nintendo Entertainment System;Mega Man Collection;1996;Capcom;Platform;;;;;0;;;;;
Mega Man X4 (USA);Mega Man X4;Sony Playstation;Mega Man Collection;1997;Capcom;Platform;;;;;0;;;;;
Mega Man X5 (USA);Mega Man X5;Sony Playstation;Mega Man Collection;2001;Capcom;Platform;;;;;0;;;;;
Mega Man X6 (USA);Mega Man X6;Sony Playstation;Mega Man Collection;2001;Capcom;Platform;;;;;0;;;;;
Mega Man X7 (USA);Mega Man X7;Sony Playstation 2;Mega Man Collection;2003;Valuewave Co.,Ltd.;Platform;;;;;0;;;;;
Mega Man X8 (USA);Mega Man X8;Sony Playstation 2;Mega Man Collection;2004;Valuewave Co.,Ltd.;Platform;;;;;0;;;;;
Megaman Xtreme (USA);Mega Man Xtreme;Nintendo Game Boy Color;Mega Man Collection;2001;Capcom;Platform;;;;;0;;;;;
Megaman Xtreme 2 (USA, Europe);Mega Man Xtreme 2;Nintendo Game Boy Color;Mega Man Collection;2001;Capcom;Platform;;;;;0;;;;;
