#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1943 Kai (Japan);1943 Kai;NEC PC Engine;;1991;;;;;;;;;;;;
21 Emon - Mezase Hotel Ou!! (Japan);21 Emon: Mezase Hotel Ou!!;NEC PC Engine;;1994;;;;;;;;;;;;
Aero Blasters (Japan);Aero Blasters;NEC PC Engine;;1990;;;;;;;;;;;;
After Burner II (Japan);After Burner II;NEC PC Engine;;1990;;;;;;;;;;;;
PC Denjin - Punkic Cyborgs (Japan);Air Zonk;NEC PC Engine;;1992;;;;;;;;;;;;
Alien Crush (Japan);Alien Crush;NEC PC Engine;;1989;;;;;;;;;;;;
Juuouki (Japan);Altered Beast;NEC PC Engine;;1989;;;;;;;;;;;;
Aoi Blink (Japan) (Translated En);Aoi Blink;NEC PC Engine;;1990;;;;;;;;;;;;
Appare Gateball (Japan);Appare Gateball;NEC PC Engine;;1988;;;;;;;;;;;;
Artist Tool (Japan);Artist Tool;NEC PC Engine;;1989;;;;;;;;;;;;
Atomic Robo-Kid Special (Japan);Atomic Robo-Kid Special;NEC PC Engine;;1990;;;;;;;;;;;;
AV Poker World Gambler (Japan);AV Poker;NEC PC Engine;;1992;;;;;;;;;;;;
AV Poker (Japan);AV Poker: World Gambler;NEC PC Engine;;1992;;;;;;;;;;;;
Ballistix (Japan);Ballistix;NEC PC Engine;;1992;;;;;;;;;;;;
Bari Bari Densetsu (Japan);Bari Bari Densetsu;NEC PC Engine;;1989;;;;;;;;;;;;
Barunba (Japan);Barunba;NEC PC Engine;;1990;;;;;;;;;;;;
Batman (Japan);Batman;NEC PC Engine;;1990;;;;;;;;;;;;
Battle Lode Runner (Japan);Battle Lode Runner;NEC PC Engine;;1993;;;;;;;;;;;;
Benkei Gaiden (Japan);Benkei Gaiden;NEC PC Engine;;1989;;;;;;;;;;;;
Bikkuriman World (Japan) (Translated En);Bikkuriman World;NEC PC Engine;;1987;;;;;;;;;;;;
Gunhed (Japan);Blazing Lazers;NEC PC Engine;;1989;;;;;;;;;;;;
Narazumono Sentai Butai - Bloody Wolf (Japan);Bloody Wolf;NEC PC Engine;;1989;;;;;;;;;;;;
Body Conquest II (Japan);Body Conquest II;NEC PC Engine;;1993;;;;;;;;;;;;
Bomberman (Japan);Bomberman;NEC PC Engine;;1990;;;;;;;;;;;;
Bomberman '93 (Japan);Bomberman '93;NEC PC Engine;;1993;;;;;;;;;;;;
Bomberman '94 (Japan);Bomberman '94;NEC PC Engine;;1993;;;;;;;;;;;;
Bomberman - Users Battle (Japan);Bomberman: Users Battle;NEC PC Engine;;1990;;;;;;;;;;;;
PC Genjin 3 - Pithecanthropus Computerurus (Japan);Bonk III: Bonk's Big Adventure;NEC PC Engine;;1993;;;;;;;;;;;;
PC Genjin - Pithecanthropus Computerurus (Japan);Bonk's Adventure;NEC PC Engine;;1989;;;;;;;;;;;;
PC Genjin 2 - Pithecanthropus Computerurus (Japan);Bonk's Revenge;NEC PC Engine;;1991;;;;;;;;;;;;
Bouken Danshaku Don - The Lost Sunheart (Japan);Bouken Danshaku Don: The Lost Sunheart;NEC PC Engine;;1992;;;;;;;;;;;;
Soukoban World (Japan);Boxyboy;NEC PC Engine;;1990;;;;;;;;;;;;
Chouzetsu Rinjin - Bravoman (Japan);Bravoman;NEC PC Engine;;1990;;;;;;;;;;;;
Break In (Japan);Break in;NEC PC Engine;;1989;;;;;;;;;;;;
Bubblegum Crash! - Knight Sabers 2034 (Japan);Bubblegum Crash!: Knight Sabers 2034;NEC PC Engine;;1991;;;;;;;;;;;;
Bull Fight - Ring no Haja (Japan);Bull Fight: Ring no Haja;NEC PC Engine;;1989;;;;;;;;;;;;
Burning Angels (Japan);Burning Angels;NEC PC Engine;;1990;;;;;;;;;;;;
Cadash (Japan);Cadash;NEC PC Engine;;1991;;;;;;;;;;;;
Champion Wrestler (Japan);Champion Wrestler;NEC PC Engine;;1990;;;;;;;;;;;;
Taito Chase H.Q. (Japan);Chase H.Q.;NEC PC Engine;;1992;;;;;;;;;;;;
Be Ball (Japan);Chew Man Fu;NEC PC Engine;;1990;;;;;;;;;;;;
Chibi Maruko Chan - Quiz de Piihyara (Japan);Chibi Maruko Chan: Quiz de Piihyara;NEC PC Engine;;1992;;;;;;;;;;;;
Chikudenya Toubei - Kubikiri Yakata Yori (Japan);Chikudenya Toubei: Kubikiri Yakata Yori;NEC PC Engine;;1990;;;;;;;;;;;;
Kung Fu, The (Japan);China Warrior;NEC PC Engine;;1987;;;;;;;;;;;;
Circus Lido (Japan);Circus Lido;NEC PC Engine;;1991;;;;;;;;;;;;
City Hunter (Japan);City Hunter;NEC PC Engine;;1990;;;;;;;;;;;;
Columns (Japan);Columns;NEC PC Engine;;1991;;;;;;;;;;;;
