#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
bosco;Bosconian;Namco Classics;;1981;Namco;Shoot-'Em-Up;;;;;0;;;;;
digdug;Dig Dug;Namco Classics;;1982;Namco;Action;;;;;0;;;;;
galaga;Galaga;Namco Classics;;1981;Namco;Shoot-'Em-Up;;;;;0;;;;;
supxevs;Vs. Super Xevious;Namco Classics;;1984;Namco;Shoot-'Em-Up;;;;;0;;;;;
xevious;Xevious;Namco Classics;;1982;Namco;Shoot-'Em-Up;;;;;0;;;;;
bkrtmaq;Bakuretsu Quiz Ma-Q Dai Bouken;Namco Classics;;1992;Namco;;;;;;0;;;;;
cgangpzl;Cosmo Gang the Puzzle;Namco Classics;;1992;Namco;;;;;;0;;;;;
emeraldaja;Emeraldia;Namco Classics;;1993;Namco;;;;;;0;;;;;
exvania;Exvania;Namco Classics;;1992;Namco;;;;;;0;;;;;
fghtatck;Fighter e Attacker ;Namco Classics;;1992;Namco;;;;;;0;;;;;
swcourt;Super World Court;Namco Classics;;1992;Namco;;;;;;0;;;;;
tinklpit;Tinkle Pit;Namco Classics;;1993;Namco;;;;;;0;;;;;
acedrvrw;acedrvrw;Namco Classics;;;;;;;;;0;;;;;
airco22b;airco22b;Namco Classics;;;;;;;;;0;;;;;
alpinerd;alpine;Namco Classics;;;;;;;;;0;;;;;
alpinr2b;alpine2;Namco Classics;;;;;;;;;0;;;;;
aquajet;aquajet;Namco Classics;;;;;;;;;0;;;;;
cybrcomm;cybrcomm;Namco Classics;;;;;;;;;0;;;;;
propcycl;propcycl;Namco Classics;;;;;;;;;0;;;;;
raveracw;raveracw;Namco Classics;;;;;;;;;0;;;;;
ridgerac;ridgera;Namco Classics;;;;;;;;;0;;;;;
ridgera2;ridgera2;Namco Classics;;;;;;;;;0;;;;;
timecris;timecris;Namco Classics;;;;;;;;;0;;;;;
tokyowar;tokyowar;Namco Classics;;;;;;;;;0;;;;;
victlapw;victlapw;Namco Classics;;;;;;;;;0;;;;;
bakutotu;Bakutotsu Kijuutei;Namco Classics;;1988;Namco;;;;;;0;;;;;
berabohm;Berabow Man ;Namco Classics;;1988;Namco;;;;;;0;;;;;
blastoff;Blast Off;Namco Classics;;1989;Namco;;;;;;0;;;;;
blazer;Blazer;Namco Classics;;1987;Namco;;;;;;0;;;;;
boxyboy;Boxy Boy;Namco Classics;;1988;Namco;;;;;;0;;;;;
dangseed;Dangerous Seed;Namco Classics;;1989;Namco;;;;;;0;;;;;
dspirit;Dragon Spirit;Namco Classics;;1987;Namco;;;;;;0;;;;;
faceoff;Face Off;Namco Classics;;1988;Namco;;;;;;0;;;;;
galaga88;Galaga '88;Namco Classics;;1987;Namco;;;;;;0;;;;;
mmaze;Marchen Maze;Namco Classics;;1988;Namco;;;;;;0;;;;;
pacmania;Pac-Mania;Namco Classics;;1987;Namco;;;;;;0;;;;;
pistoldm;Pistol Daimyo no Bouken;Namco Classics;;1990;Namco;;;;;;0;;;;;
pclubys;Puzzle Club;Namco Classics;;1990;Namco;;;;;;0;;;;;
quester;Quester;Namco Classics;;1987;Namco;;;;;;0;;;;;
rompers;Rompers;Namco Classics;;1989;Namco;;;;;;0;;;;;
shadowld;Shadowland;Namco Classics;;1990;Namco;;;;;;0;;;;;
