#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
gaiden;Ninja Gaiden;Arcade;Ninja Gaiden Collections;1988;;;;;;;;0;;;;
Ninja Gaiden (USA, Europe);Ninja Gaiden;Atari Lynx;Ninja Gaiden Collections;1988;;;;;;;;0;;;;
Ninja Gaiden (USA);Ninja Gaiden;Nintendo Entertainment System;Ninja Gaiden Collections;1988;;;;;;;;0;;;;
Ninja Gaiden (USA, Europe);Ninja Gaiden;Sega Game Gear;Ninja Gaiden Collections;1991;;;;;;;;0;;;;
Ninja Gaiden (E) [T+Spa100_Pkt];Ninja Gaiden;Sega Master System;Ninja Gaiden Collections;1992;;;;;;;;0;;;;
Ninja Gaiden - Dragon Sword (USA);Ninja Gaiden: Dragon Sword;Nintendo DS;Ninja Gaiden Collections;2008;;;;;;;;0;;;;
Ninja Gaiden 3;Ninja Gaiden 3: Razor's Edge;Ninja Gaiden Collections;Ninja Gaiden Collections;2021;;;;;;;;0;;;;
Ninja Gaiden III - The Ancient Ship of Doom (USA, Europe);Ninja Gaiden III: The Ancient Ship of Doom;Atari Lynx;Ninja Gaiden Collections;1991;;;;;;;;0;;;;
Ninja Gaiden Episode II - The Dark Sword Of Chaos (USA);Ninja Gaiden Episode II: The Dark Sword Of Chaos;Commodore Amiga;Ninja Gaiden Collections;1990;;;;;;;;0;;;;
Ninja Gaiden Episode II - The Dark Sword of Chaos (USA);Ninja Gaiden Episode II: The Dark Sword of Chaos;Nintendo Entertainment System;Ninja Gaiden Collections;1990;;;;;;;;0;;;;
Ninja Gaiden Episode III - The Ancient Ship of Doom (USA);Ninja Gaiden Episode III: The Ancient Ship of Doom;Nintendo Entertainment System;Ninja Gaiden Collections;1991;;;;;;;;0;;;;
Ninja Gaiden Shadow (USA);Ninja Gaiden Shadow;Nintendo Game Boy;Ninja Gaiden Collections;1991;;;;;;;;0;;;;
Ninja Gaiden Sigma;Ninja Gaiden Sigma;Ninja Gaiden Collections;Ninja Gaiden Collections;2021;;;;;;;;0;;;;
Ninja Gaiden Sigma 2;Ninja Gaiden Sigma 2;Ninja Gaiden Collections;Ninja Gaiden Collections;2021;;;;;;;;0;;;;
Ninja Gaiden Trilogy (USA);Ninja Gaiden Trilogy;Super Nintendo Entertainment System;Ninja Gaiden Collections;1995;;;;;;;;0;;;;
ShadowWarriors_v1.1_0830;Shadow Warriors;Commodore Amiga;Ninja Gaiden Collections;1990;;;;;;;;0;;;;
Shadow Warriors (Europe);Shadow Warriors;Sinclair ZX Spectrum;Ninja Gaiden Collections;1990;;;;;;;;0;;;;
Yaiba - Ninja Gaiden Z;Yaiba: Ninja Gaiden Z;Ninja Gaiden Collections;Ninja Gaiden Collections;2014;;;;;;;;0;;;;
