#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
10-in-1 - Arcade Collection (Europe) (eShop) Decrypted;10-in-1 - Arcade Collection (Europe) (eShop) Decrypted;Nintendo 3DS;;;;;;;;;;;;;;;;;;
2 Fast 4 Gnomz (Europe) (eShop) Decrypted;2 Fast 4 Gnomz (Europe) (eShop) Decrypted;Nintendo 3DS;;;;;;;;;;;;;;;;;;
3D Classics - Kid Icarus (USA) (eShop) Decrypted;3D Classics - Kid Icarus (USA) (eShop) Decrypted;Nintendo 3DS;;;;;1;;;;;;;3D Classics: Kid Icarus;;;;;;
3D Classics - Kirby's Adventure (Europe) (eShop) Decrypted;3D Classics - Kirby's Adventure (Europe) (eShop) Decrypted;Nintendo 3DS;;;;;1;;;;;;;3D Classics: Kirby's Adventure;;;;;;
3D Classics - TwinBee (USA) (eShop) Decrypted;3D Classics - TwinBee (USA) (eShop) Decrypted;Nintendo 3DS;;;;;1;;;;;;;3D Classics: TwinBee;;;;;;
3D Fantasy Zone II W;3D Fantasy Zone II W;Nintendo 3DS;;;;;;;;;;;;;;;;;;
3D Fantasy Zone - Opa-Opa Bros;3D Fantasy Zone - Opa-Opa Bros;Nintendo 3DS;;;;;;;;;;;;;;;;;;
3D OutRun (Europe) (eShop) Decrypted;3D OutRun (Europe) (eShop) Decrypted;Nintendo 3DS;;;;;1;;;;;;;3D Out Run;;;;;;
3D Sonic the Hedgehog (USA) (eShop) Decrypted;3D Sonic the Hedgehog (USA) (eShop) Decrypted;Nintendo 3DS;;;;;1;;;;;;;3D Sonic the Hedgehog;;;;;;
3D Super Hang-On (USA) (eShop) Decrypted;3D Super Hang-On (USA) (eShop) Decrypted;Nintendo 3DS;;;;;1;;;;;;;3D Super Hang-On;;;;;;
3D Thunder Blade (Europe) (eShop) Decrypted;3D Thunder Blade (Europe) (eShop) Decrypted;Nintendo 3DS;;;;;1;;;;;;;3D Thunder Blade;;;;;;
80's Overdrive (EUR);80'S OVERDRIVE;Nintendo 3DS;;;;;;;;;;;;;;;;;;
