#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1080 Snowboarding (Japan, USA) (En,Ja);1080 Snowboarding (Japan, USA) (En,Ja);Nintendo 64 (Racers);;1998;Nintendo;Snowboarding/Sports;;;;;0;;;;;
AeroGauge (USA);AeroGauge (USA);Nintendo 64 (Racers);;1998;ASCII Entertainment;Driving;;;;;0;;;;;
Automobili Lamborghini (USA);Automobili Lamborghini (USA);Nintendo 64 (Racers);;1997;Titus Software;Driving;;;;;0;;;;;
Beetle Adventure Racing! (USA) (En,Fr,De);Beetle Adventure Racing! (USA) (En,Fr,De);Nintendo 64 (Racers);;1999;EA Sports;Driving;;;;;0;;;;;
Blast Corps (USA) (Rev A);Blast Corps (USA) (Rev A);Nintendo 64 (Racers);;1997;Nintendo;Action;;;;;0;;;;;
California Speed (USA);California Speed (USA);Nintendo 64 (Racers);;1999;Midway;Driving;;;;;0;;;;;
Carmageddon 64 (USA);Carmageddon 64 (USA);Nintendo 64 (Racers);;1999;Titus Software;Driving;;;;;0;;;;;
Cruis'n Exotica (USA);Cruis'n Exotica (USA);Nintendo 64 (Racers);;2000;Midway;Driving;;;;;0;;;;;
Cruis'n USA (USA) (Rev B);Cruis'n USA (USA) (Rev B);Nintendo 64 (Racers);;1996;Nintendo;Driving;;;;;0;;;;;
Cruis'n World (USA);Cruis'n World (USA);Nintendo 64 (Racers);;1998;Nintendo;Driving;;;;;0;;;;;
Destruction Derby 64 (USA);Destruction Derby 64 (USA);Nintendo 64 (Racers);;1999;THQ;Driving;;;;;0;;;;;
Diddy Kong Racing (USA) (En,Fr) (Rev A);Diddy Kong Racing (USA) (En,Fr) (Rev A);Nintendo 64 (Racers);;1997;Nintendo;Driving;;;;;0;;;;;
Excitebike 64 (USA);Excitebike 64 (USA);Nintendo 64 (Racers);;2000;Nintendo;Motorcycle;;;;;0;;;;;
Extreme-G (USA);Extreme-G (USA);Nintendo 64 (Racers);;1997;Acclaim;Driving;;;;;0;;;;;
Extreme-G XG2 (USA);Extreme-G XG2 (USA);Nintendo 64 (Racers);;1998;Acclaim;Driving;;;;;0;;;;;
F-1 World Grand Prix (USA);F-1 World Grand Prix (USA);Nintendo 64 (Racers);;1998;Video System;Driving;;;;;0;;;;;
F-1 World Grand Prix II (Europe) (En,Fr,De,Es);F-1 World Grand Prix II (Europe) (En,Fr,De,Es);Nintendo 64 (Racers);;1999;Nintendo;Driving;;;;;0;;;;;
F-Zero X (USA);F-Zero X (USA);Nintendo 64 (Racers);;1998;Nintendo;Driving;;;;;0;;;;;
F1 Pole Position 64 (USA) (En,Fr,De);F1 Pole Position 64 (USA) (En,Fr,De);Nintendo 64 (Racers);;1997;Ubisoft;Driving;;;;;0;;;;;
F1 Racing Championship (Europe) (En,Fr,De,Es,It);F1 Racing Championship (Europe) (En,Fr,De,Es,It);Nintendo 64 (Racers);;2000;Ubisoft;Driving;;;;;0;;;;;
GT64 - Championship Edition (USA);GT64 - Championship Edition (USA);Nintendo 64 (Racers);;1998;Ocean;Driving;;;;;0;;;;;
Hydro Thunder (USA);Hydro Thunder (USA);Nintendo 64 (Racers);;2000;Midway;Water;;;;;0;;;;;
Indy Racing 2000 (USA);Indy Racing 2000 (USA);Nintendo 64 (Racers);;2000;Infogrames;Driving;;;;;0;;;;;
