#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - GoldenEye (USA);007: GoldenEye;Nintendo 64;;1997;;;;;;;;;;;;
007 - The World Is Not Enough (USA);007: The World Is Not Enough;Nintendo 64;;2000;;;;;;;;;;;;
1080 Snowboarding (Japan, USA) (En,Ja);1080 Snowboarding;Nintendo 64;;1998;;;;;;;;;;;;
Bug's Life, A (USA);A Bug's Life;Nintendo 64;;1999;;;;;;;;;;;;
AeroFighters Assault (USA);AeroFighters Assault;Nintendo 64;;1997;;;;;;;;;;;;
AeroGauge (USA);AeroGauge;Nintendo 64;;1998;;;;;;;;;;;;
Aidyn Chronicles - The First Mage (USA);Aidyn Chronicles: The First Mage;Nintendo 64;;2001;;;;;;;;;;;;
Air Boarder 64 (Europe);Air Boarder 64;Nintendo 64;;1998;;;;;;;;;;;;
All Star Tennis '99 (USA);All Star Tennis '99;Nintendo 64;;1999;;;;;;;;;;;;
All-Star Baseball '99 (USA);All-Star Baseball '99;Nintendo 64;;1998;;;;;;;;;;;;
All-Star Baseball 2000 (USA);All-Star Baseball 2000;Nintendo 64;;1999;;;;;;;;;;;;
All-Star Baseball 2001 (USA);All-Star Baseball 2001;Nintendo 64;;2000;;;;;;;;;;;;
Armorines - Project S.W.A.R.M. (USA);Armorines: Project S.W.A.R.M.;Nintendo 64;;1999;;;;;;;;;;;;
Army Men - Air Combat (USA);Army Men: Air Combat;Nintendo 64;;2000;;;;;;;;;;;;
Army Men - Sarge's Heroes (USA);Army Men: Sarge's Heroes;Nintendo 64;;1999;;;;;;;;;;;;
Army Men - Sarge's Heroes 2 (USA);Army Men: Sarge's Heroes 2;Nintendo 64;;2000;;;;;;;;;;;;
Asteroids Hyper 64 (USA);Asteroids Hyper 64;Nintendo 64;;1999;;;;;;;;;;;;
Automobili Lamborghini (USA);Automobili Lamborghini;Nintendo 64;;1997;;;;;;;;;;;;
Banjo-Kazooie (USA);Banjo-Kazooie;Nintendo 64;;1998;;;;;;;;;;;;
Banjo-Tooie (USA);Banjo-Tooie;Nintendo 64;;2000;;;;;;;;;;;;
Bassmasters 2000 (USA);Bassmasters 2000;Nintendo 64;;1999;;;;;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond: Return of the Joker;Nintendo 64;;2000;;;;;;;;;;;;
BattleTanx (USA);BattleTanx;Nintendo 64;;1998;;;;;;;;;;;;
BattleTanx - Global Assault (USA);BattleTanx: Global Assault;Nintendo 64;;1999;;;;;;;;;;;;
Battlezone - Rise of the Black Dogs (USA);Battlezone: Rise of the Black Dogs;Nintendo 64;;2000;;;;;;;;;;;;
Beetle Adventure Racing! (USA) (En,Fr,De);Beetle Adventure Racing!;Nintendo 64;;1999;;;;;;;;;;;;
Big Mountain 2000 (USA);Big Mountain 2000;Nintendo 64;;2000;;;;;;;;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S.;Nintendo 64;;1998;;;;;;;;;;;;
Blast Corps (USA) (Rev A);Blast Corps;Nintendo 64;;1997;;;;;;;;;;;;
Blues Brothers 2000 (USA);Blues Brothers 2000;Nintendo 64;;2000;;;;;;;;;;;;
Body Harvest (USA);Body Harvest;Nintendo 64;;1998;;;;;;;;;;;;
Bomberman 64 (USA);Bomberman 64;Nintendo 64;;1997;;;;;;;;;;;;
Bomberman 64 - The Second Attack! (USA);Bomberman 64: The Second Attack!;Nintendo 64;;2000;;;;;;;;;;;;
Bomberman Hero (USA);Bomberman Hero;Nintendo 64;;1998;;;;;;;;;;;;
Bottom of the 9th (USA);Bottom of the 9th;Nintendo 64;;1999;;;;;;;;;;;;
