#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Blood Stone - 007 (USA);007: Blood Stone;Nintendo DS;;2010;;;;;;;;;;;;
007 - Quantum of Solace (Europe) (Es,It).nds;007: Quantum of Solace;Nintendo DS;;2008;;;;;;;;;;;;
101 in 1 Explosive Megamix (Europe) (En,Fr,De,Es,It,Nl).nds;101 in 1: Explosive Megamix;Nintendo DS;;2009;;;;;;;;;;;;
101 in 1 Sports Megamix (Europe) (En,Fr,De,Es,It,Nl).nds;101 in 1: Sports Megamix;Nintendo DS;;2010;;;;;;;;;;;;
2 Games on 1 Card - Monster Trucks Mayhem & ATV - Thunder Ridge Riders (Europe) (En,Fr,De,Es,It).nds;2 Game Pack!: ATV: Thunder Ridge Riders + Monster Trucks Mayhem;Nintendo DS;;2007;;;;;;;;;;;;
2 Games in 1 - Jewel Master - Cradle of Egypt + Mahjongg - Ancient Egypt;2 Games in 1: Jewel Master + Cradle Of Egypt  Mahjongg: Ancient Egypt;Nintendo DS;;2011;;;;;;;;;;;;
2 in 1 - Mahjong + Mahjong Around the World (Europe) (En,Fr,De,Es,It,Nl).nds;2 In 1: Mahjong  Mahjong Around The World;Nintendo DS;;2012;;;;;;;;;;;;
2006 FIFA World Cup - Germany 2006 (Europe) (En,Fr,De,Es,It).nds;2006 FIFA World Cup: Germany 2006;Nintendo DS;;2006;;;;;;;;;;;;
42 All-Time Classics (Europe) (En,Fr,De,Es,It) (Rev 1).nds;42 Juegos de Siempre;Nintendo DS;;2006;;;;;;;;;;;;
50 Classic Games (Europe) (En,Fr,De,Es,It,Nl).nds;50 Jeux Incontournables;Nintendo DS;;2008;;;;;;;;;;;;
7 Wonders II (Europe).nds;7 Wonders II;Nintendo DS;;2009;;;;;;;;;;;;
7 Wonders of the Ancient World (Europe) (En,Fr,De,Es,It).nds;7 Wonders Of The Ancient World;Nintendo DS;;2007;;;;;;;;;;;;
7 Wonders - Treasures of Seven (Europe).nds;7 Wonders: Treasures of Seven;Nintendo DS;;2011;;;;;;;;;;;;
8BallAllstars (Europe) (En,Fr,De,Es,It).nds;8ball Allstars;Nintendo DS;;2009;;;;;;;;;;;;
Christmas Carol, A (Europe) (En,Fr,Es,Nl).nds;A Christmas Carol;Nintendo DS;;2009;;;;;;;;;;;;
Ace Attorney Investigations - Miles Edgeworth (Europe).nds;Ace Attorney Investigations: Miles Edgeworth;Nintendo DS;;2010;;;;;;;;;;;;
Actionloop (Europe) (En,Fr,De,Es,It).nds;Actionloop;Nintendo DS;;2006;;;;;;;;;;;;
Actua Pool (Europe) (En,De,Es,It).nds;Actua Pool;Nintendo DS;;2009;;;;;;;;;;;;
Advance Wars - Dark Conflict (Europe) (En,Fr,De,Es,It).nds;Advance Wars: Dark Conflict;Nintendo DS;;2008;;;;;;;;;;;;
Advance Wars - Dual Strike (Europe) (En,Fr,De,Es,It).nds;Advance Wars: Dual Strike;Nintendo DS;;2005;;;;;;;;;;;;
Agatha Christie - The ABC Murders (Europe) (En,Fr,De,Es,It).nds;Agatha Christie: The ABC Murders;Nintendo DS;;2009;;;;;;;;;;;;
Age of Empires - Mythologies (Europe) (En,Fr,De,Es,It).nds;Age of Empires: Mythologies;Nintendo DS;;2008;;;;;;;;;;;;
Age of Empires - The Age of Kings (Europe) (En,Es,It).nds;Age Of Empires: The Age Of Kings;Nintendo DS;;2006;;;;;;;;;;;;
Alex Rider - Stormbreaker (Europe) (En,Fr,De,Es).nds;Alex Rider: Stormbreaker;Nintendo DS;;2006;;;;;;;;;;;;
Alice in Wonderland (Europe) (En,Fr,De,Es,It,Nl) (NDSi Enhanced).nds;Alice in Wonderland;Nintendo DS;;2010;;;;;;;;;;;;
Aliens in the Attic (USA);Aliens in the Attic;Nintendo DS;;2009;;;;;;;;;;;;
Aliens - Infestation (USA);Aliens: Infestation;Nintendo DS;;2011;;;;;;;;;;;;
Allied Ace Pilots (Europe) (En,Fr,De,Es,It).nds;Allied Ace Pilots;Nintendo DS;;2009;;;;;;;;;;;;
Alpha and Omega (Europe) (En,Fr,De,Es,It).nds;Alpha And Omega;Nintendo DS;;2010;;;;;;;;;;;;
Amazing Adventures - The Forgotten Ruins (Europe) (En,Fr,De,Es,It).nds;Amazing Adventures: The Forgotten Ruins;Nintendo DS;;2010;;;;;;;;;;;;
American Dragon - Jake Long - Attack of the Dark Dragon (USA);American Dragon: Jake Long;Nintendo DS;;2006;;;;;;;;;;;;
AMF Bowling Pinbusters! (Europe) (En,Fr,De,Es,It).nds;Amf Bowling Pinbusters!;Nintendo DS;;2007;;;;;;;;;;;;
Animaniacs - Lights, Camera, Action! (Europe) (En,Fr,De,Es,It) (Rev 1).nds;Animaniacs: Lights Camera Action;Nintendo DS;;2005;;;;;;;;;;;;
Ankh - Curse of the Scarab King (Europe) (En,Es,It,Nl,Pl,Ru).nds;Ankh: Curse of the Scarab King;Nintendo DS;;2008;;;;;;;;;;;;
Anno 1701 - Dawn of Discovery (Europe) (En,Fr,De,Es,It,Nl).nds;Anno 1701: Dawn of Discovery;Nintendo DS;;2007;;;;;;;;;;;;
Anno - Create a New World (Europe) (En,Fr,De,Es,It).nds;Anno: Create a New World;Nintendo DS;;2009;;;;;;;;;;;;
Another Code - Two Memories (Europe) (En,Fr,De,Es,It).nds;Another Code: Two Memories;Nintendo DS;;2005;;;;;;;;;;;;
Apollo Justice - Ace Attorney (Europe) (Es,It).nds;Apollo Justice: Ace Attorney;Nintendo DS;;2008;;;;;;;;;;;;
Aqua Panic! (Europe) (En,Fr,De,Es,It,Nl,Pt).nds;Aqua Panic!;Nintendo DS;;2009;;;;;;;;;;;;
Arctic Tale (Europe) (En,Fr,De,Es,It).nds;Arctic Tale;Nintendo DS;;2007;;;;;;;;;;;;
Arkanoid DS (Europe) (En,Fr,De,Es,It).nds;Arkanoid DS;Nintendo DS;;2007;;;;;;;;;;;;
Army Men - Soldiers of Misfortune (Europe) (En,Fr,De,Es,It).nds;Army Men: Soldiers of Misfortune;Nintendo DS;;2008;;;;;;;;;;;;
Around the World in 80 Days (Europe) (En,Fr,De).nds;Around the World in 80 Days;Nintendo DS;;2009;;;;;;;;;;;;
Art - Das Kunstmagazin Puzzle;Art: Das Kunstmagazin Puzzle;Nintendo DS;;2008;;;;;;;;;;;;
Arthur and the Minimoys (Europe) (En,Fr,De,Es,It,Nl).nds;Arthur and the Minimoys;Nintendo DS;;2007;;;;;;;;;;;;
Arthur and the Revenge of Maltazard (Europe) (En,Fr,De,Es,It,Nl).nds;Arthur and the Revenge of Maltazard;Nintendo DS;;2009;;;;;;;;;;;;
Asphalt - Urban GT (USA);Asphalt: Urban GT;Nintendo DS;;2005;;;;;;;;;;;;
Asphalt - Urban GT 2 (USA);Asphalt: Urban GT 2;Nintendo DS;;2007;;;;;;;;;;;;
Assassin's Creed II - Discovery (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da) (NDSi Enhanced).nds;Assassin's Creed II: Discovery;Nintendo DS;;2009;;;;;;;;;;;;
Assassin's Creed - Altair's Chronicles (Europe) (En,Fr,De,Es,It).nds;Assassin's Creed: Altair's Chronicles;Nintendo DS;;2008;;;;;;;;;;;;
