#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
8 Eyes (USA);8 Eyes (USA);Nintendo Entertainment System Multiplayer;;1990;Taxan;Adventure;2;;;;;;;;;
Alien Syndrome (USA) (Unl);Alien Syndrome (USA) (Unl);Nintendo Entertainment System Multiplayer;;1987;Tengen;Action / Shooter;2;;;;;;;;;
Balloon Fight (USA);Balloon Fight (USA);Nintendo Entertainment System Multiplayer;;1985;Nintendo;Action;2;;;;;;;;;
Battletoads & Double Dragon - The Ultimate Team (USA);Battletoads & Double Dragon - The Ultimate Team (USA);Nintendo Entertainment System Multiplayer;;;;;;;;;;;;;;
Battletoads (USA);Battletoads (USA);Nintendo Entertainment System Multiplayer;;1991;Tradewest;Fighting / Platform;2;;;;;;;;;
Blues Brothers, The (USA);Blues Brothers, The (USA);Nintendo Entertainment System Multiplayer;;1992;Titus Software;Platform;1;;;;;;;;;
Bubble Bobble (USA);Bubble Bobble (USA);Nintendo Entertainment System Multiplayer;;1990;Taito;Puzzle;2;;;;;;;;;
Bubble Bobble Part 2 (USA);Bubble Bobble Part 2 (USA);Nintendo Entertainment System Multiplayer;;1993;Taito;Action / Platform;1;;;;;;;;;
Cabal (USA);Cabal (USA);Nintendo Entertainment System Multiplayer;;1989;Milton Bradley Company;Shooter;2;;;;;;;;;
Chip 'n Dale Rescue Rangers (USA);Chip 'n Dale Rescue Rangers (USA);Nintendo Entertainment System Multiplayer;;1990;Capcom;Action / Adventure;2;;;;;;;;;
Chip 'n Dale Rescue Rangers 2 (USA);Chip 'n Dale Rescue Rangers 2 (USA);Nintendo Entertainment System Multiplayer;;1993;Capcom;Action / Adventure;2;;;;;;;;;
Clu Clu Land (World);Clu Clu Land (World);Nintendo Entertainment System Multiplayer;;1984;Nintendo;Puzzle;2;;;;;;;;;
Contra (USA);Contra (USA);Nintendo Entertainment System Multiplayer;;1988;Konami;Action / Platform / Shooter;2;;;;;;;;;
Contra Force (USA);Contra Force (USA);Nintendo Entertainment System Multiplayer;;1992;Konami;Action / Shooter;2;;;;;;;;;
