#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1942 (Japan, USA);1942;Nintendo Entertainment System;;1985;;;;;;;;;;;;
1943 - The Battle of Midway (USA);1943: The Battle of Midway;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Abadox (USA);Abadox;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Advanced Dungeons & Dragons - Dragon Strike (USA);Advanced Dungeons & Dragons: DragonStrike;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Air Fortress (USA);Air Fortress;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Airwolf (USA);Airwolf;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Akuu Senki Raijin (Japan) (Disk Writer) [b];Akuu Senki Raijin;Nintendo Famicom Disk System;;1991;;;;;;;;;;;;
Alpha Mission (USA);Alpha Mission;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Argus (Japan) (1);Argus;Nintendo Famicom Disk System;;1986;;;;;;;;;;;;
B-Wings (Japan);B-Wings;Nintendo Entertainment System;;1986;;;;;;;;;;;;
Baltron (Japan);Baltron;Nintendo Entertainment System;;1986;;;;;;;;;;;;
Bee 52 (USA) (Unl);Bee 52;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Big Challenge! Dogfight Spirit (Japan) [b];Big Challenge! Dogfight Spirit;Nintendo Famicom Disk System;;1989;;;;;;;;;;;;
Bishoujo Control (Japan) (Unl);Bishoujo Control;Nintendo Famicom Disk System;;1991;;;;;;;;;;;;
BladeBuster;BladeBuster;Nintendo Entertainment System;;2010;;;;;;;;;;;;
Burai Fighter (USA);Burai Fighter;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Caltron - 6 in 1 (USA) (Unl);Caltron: 6 in 1;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Captain Ed (Japan);Captain Ed;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Captain Planet and the Planeteers (USA);Captain Planet and the Planeteers;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Captain Skyhawk (USA) (Rev A);Captain Skyhawk;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Choplifter (Japan);Choplifter;Nintendo Entertainment System;;1986;;;;;;;;;;;;
Choujikuu Yousai - Macross (Japan);Choujikuu Yousai: Macross;Nintendo Entertainment System;;1985;;;;;;;;;;;;
Chuuka Taisen (Japan);Chuuka Taisen;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Cobra Command (USA);Cobra Command;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Comic Sakka Series Touma Senki No. 1 - Mashoujo Gakuen Iivuru (Japan) (Unl);Comic Sakka Series Touma Senki No. 1: Mashoujo Gakuen Iivuru;Nintendo Famicom Disk System;;1991;;;;;;;;;;;;
Crisis Force (Japan) [En by Stardust Crusaders v1.0];Crisis Force;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Defender II (USA);Defender II;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Destroyer (Unl);Destroyer;Nintendo Entertainment System;;1986;;;;;;;;;;;;
Dezaemon (Japan) [En by Aeon Genesis v1.1];Dezaemon;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Double Strike - Aerial Attack Force (USA) (Unl) (v1.1);Double Strike: Aerial Attack Force;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Dragon Spirit - The New Legend (USA);Dragon Spirit: The New Legend;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Dropzone (Europe);Dropzone;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Exed Exes (Japan);Exed Exes;Nintendo Entertainment System;;1985;;;;;;;;;;;;
Exerion (Japan);Exerion;Nintendo Entertainment System;;1985;;;;;;;;;;;;
Fantasy Zone (USA) (Unl);Fantasy Zone;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Fantasy Zone 2 - Opa-Opa no Namida (Japan);Fantasy Zone 2: Opa-Opa no Namida;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Fire Hawk (USA) (Unl);Fire Hawk;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Formation Z (Japan);Formation Z;Nintendo Entertainment System;;1985;;;;;;;;;;;;
Galactic Crusader (USA) (Unl) (Bunch Games);Galactic Crusader;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Galaga - Demons of Death (USA);Galaga: Demons of Death;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Galaxian (Japan);Galaxian;Nintendo Entertainment System;;1984;;;;;;;;;;;;
Galg (Japan);Galg;Nintendo Entertainment System;;1985;;;;;;;;;;;;
Gall Force - Eternal Story (Japan) [En by Gil Galad v1.0];Gall Force: Eternal Story;Nintendo Famicom Disk System;;1986;;;;;;;;;;;;
Ginga Denshou - Galaxy Odyssey (Japan);Ginga Denshou: Galaxy Odyssey;Nintendo Famicom Disk System;;1990;;;;;;;;;;;;
