#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
720 (USA);720;Nintendo Entertainment System;;1989;;;;;;;;;;;;
1942 (Japan, USA);1942;Nintendo Entertainment System;;1986;;;;;;;;;;;;
10-Yard Fight (USA, Europe);10-Yard Fight;Nintendo Entertainment System;;1985;;;;;;;;;;;;
1943 - The Battle of Midway (USA);1943: The Battle of Midway;Nintendo Entertainment System;;1987;;;;;;;;;;;;
2-in-1 Cosmo Cop + Cyber Monster (Sachen) [!];2-in-1 Cosmo Cop + Cyber Monster;Nintendo Entertainment System;;1993;;;;;;;;;;;;
3 in 1 Supergun (1993)(Micro Genius)(AS)[p];3 in 1 Supergun;Nintendo Entertainment System;;1993;;;;;;;;;;;;
8 Eyes (USA);8 Eyes;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Abadox (USA);Abadox;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Action 52 (USA) (Unl) (Rev A);Action 52;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Advanced Dungeons & Dragons - Dragon Strike (USA);Advanced Dungeons & Dragons: Dragon Strike;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Advanced Dungeons & Dragons - Heroes of the Lance (USA);Advanced Dungeons & Dragons: Heroes of the Lance;Nintendo Entertainment System;;1988;;;;;;;;;;;;
Advanced Dungeons & Dragons - Hillsfar (USA);Advanced Dungeons & Dragons: Hillsfar;Nintendo Entertainment System;;1992;;;;;;;;;;;;
Advanced Dungeons & Dragons - Pool of Radiance (USA);Advanced Dungeons & Dragons: Pool of Radiance;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Adventures in the Magic Kingdom (USA);Adventures in the Magic Kingdom;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Adventures of Lolo (USA);Adventures of Lolo;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Adventures of Lolo 2 (USA);Adventures of Lolo 2;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Adventures of Lolo 3 (USA);Adventures of Lolo 3;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Adventures of Tom Sawyer (USA);Adventures of Tom Sawyer;Nintendo Entertainment System;;1989;;;;;;;;;;;;
After Burner (USA) (Unl);After Burner;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Air Fortress (USA);Air Fortress;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Airwolf (USA);Airwolf;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Akumajou Densetsu (Japan) (Translated En);Akumajou Densetsu;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Akumajou Special - Boku Dracula-kun (Japan) (Translated En);Akumajou Special: Boku Dracula-kun;Nintendo Entertainment System;;1990;;;;;;;;;;;;
Al Unser Jr. Turbo Racing (USA);Al Unser Jr. Turbo Racing;Nintendo Entertainment System;;1989;;;;;;;;;;;;
Aladdin (Europe);Aladdin;Nintendo Entertainment System;;1993;;;;;;;;;;;;
