#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Ai Senshi Nicol (Japan) [b];Ai Senshi Nicol;Nintendo Famicom Disk System;;1987;;;;;;;;;;;;
Aki to Tsukasa no Fushigi no Kabe (Japan) (Unl);Aki to Tsukasa no Fushigi no Kabe;Nintendo Famicom Disk System;;1988;;;;;;;;;;;;
Akumajou Dracula (Japan) (v1.2) [b];Akumajou Dracula;Nintendo Famicom Disk System;;1986;;;;;;;;;;;;
Akuu Senki Raijin (Japan) (Disk Writer) [b];Akuu Senki Raijin;Nintendo Famicom Disk System;;1988;;;;;;;;;;;;
All Night Nippon Super Mario Brothers (Japan) (Promotion Cart);All Night Nippon Super Mario Brothers;Nintendo Famicom Disk System;;1986;;;;;;;;;;;;
Apple Town Monogatari - Little Computer People (Japan);Apple Town Monogatari: Little Computer People;Nintendo Famicom Disk System;;1987;;;;;;;;;;;;
Argus (Japan) (1);Argus;Nintendo Famicom Disk System;;1986;;;;;;;;;;;;
Armana no Kiseki (Japan);Armana no Kiseki;Nintendo Famicom Disk System;;1987;;;;;;;;;;;;
Aspic - Majaou no Noroi (Japan);Aspic: Majaou no Noroi;Nintendo Famicom Disk System;;1988;;;;;;;;;;;;
Big Challenge! Dogfight Spirit (Japan) [b];Big Challenge! Dogfight Spirit;Nintendo Famicom Disk System;;1989;;;;;;;;;;;;
Bio Miracle Bokutte Upa (Japan);Bio Miracle Bokutte Upa;Nintendo Famicom Disk System;;1988;;;;;;;;;;;;
Bishoujo Control (Japan) (Unl);Bishoujo Control;Nintendo Famicom Disk System;;1988;;;;;;;;;;;;
Bishoujo Mahjong Club (Japan) (Unl);Bishoujo Mahjong Club;Nintendo Famicom Disk System;;1988;;;;;;;;;;;;
Bishoujo Sexy Derby (Japan) (Unl);Bishoujo Sexy Derby;Nintendo Famicom Disk System;;1988;;;;;;;;;;;;
Bishoujo Sexy Slot (Japan) (Unl);Bishoujo Sexy Slot;Nintendo Famicom Disk System;;1988;;;;;;;;;;;;
Bishoujo SF Alien Battle (Japan) (Unl);Bishoujo SF Alien Battle;Nintendo Famicom Disk System;;1990;;;;;;;;;;;;
Bishoujo Shashinkan - Studio Cut (Japan) (Unl);Bishoujo Shashinkan: Studio Cut;Nintendo Famicom Disk System;;1988;;;;;;;;;;;;
