#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - Everything or Nothing (USA, Europe) (En,Fr,De);007: Everything or Nothing;Nintendo Game Boy Advance;;2004;;;;;;;;;;;;
007 - NightFire (USA, Europe) (En,Fr,De);007: NightFire;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;
2 Games in 1 - Uno + Skip-Bo (USA);2 Games in 1: Uno + Skip-Bo;Nintendo Game Boy Advance;;2005;;;;;;;;;;;;
2006 FIFA World Cup - Germany 2006 (USA, Europe) (En,Fr,De,Es,It);2006 FIFA World Cup: Germany 2006;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;
2K Sports - Major League Baseball 2K7 (USA);2K Sports: Major League Baseball 2K7;Nintendo Game Boy Advance;;2007;;;;;;;;;;;;
3 Games in 1 - Darts + Roll-a-Ball + Shuffle Bowl (USA);3 Games in 1: Darts + Roll-a-Ball + Shuffle Bowl;Nintendo Game Boy Advance;;2005;;;;;;;;;;;;
3 Games in 1 - Paintball Splat! + Dodgeball - Dodge This! + Big Alley Bowling (USA);3 Games in 1: Paintball Splat! + Dodgeball: Dodge This! + Big Alley Bowling;Nintendo Game Boy Advance;;2005;;;;;;;;;;;;
Ace Combat Advance (USA, Europe);Ace Combat Advance;Nintendo Game Boy Advance;;2005;;;;;;;;;;;;
Ace Lightning (Europe);Ace Lightning;Nintendo Game Boy Advance;;2002;;;;;;;;;;;;
Action Man - Robot Atak (Europe) (En,Fr,De,Es,It);Action Man: Robot Atak;Nintendo Game Boy Advance;;2004;;;;;;;;;;;;
Activision Anthology (USA);Activision Anthology;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;
Advance Guardian Heroes (USA);Advance Guardian Heroes;Nintendo Game Boy Advance;;2004;;;;;;;;;;;;
Advance Wars (USA);Advance Wars;Nintendo Game Boy Advance;;2001;;;;;;;;;;;;
Advance Wars 2 - Black Hole Rising (USA, Australia);Advance Wars 2: Black Hole Rising;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;
Aero the Acro-Bat - Rascal Rival Revenge (USA);Aero the Acro-Bat: Rascal Rival Revenge;Nintendo Game Boy Advance;;2002;;;;;;;;;;;;
Agassi Tennis Generation (USA);Agassi Tennis Generation;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;
AirForce Delta Storm (USA) (En,Ja,Fr,De);AirForce Delta Storm;Nintendo Game Boy Advance;;2002;;;;;;;;;;;;
Aladdin (USA) (En,Fr,De,Es);Aladdin;Nintendo Game Boy Advance;;2004;;;;;;;;;;;;
Alien Hominid (Europe) (En,Fr,De,Es,It);Alien Hominid;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;
Alienators - Evolution Continues (USA, Europe);Alienators: Evolution Continues;Nintendo Game Boy Advance;;2001;;;;;;;;;;;;
Altered Beast - Guardian of the Realms (USA);Altered Beast: Guardian of the Realms;Nintendo Game Boy Advance;;2002;;;;;;;;;;;;
American Dragon - Jake Long - Rise of the Huntsclan! (USA, Europe) (En,Fr,De,Es,It);American Dragon: Jake Long - Rise of the Huntsclan!;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;
An American Tail - Fievel's Gold Rush (USA) (En,Es);An American Tail: Fievel's Gold Rush;Nintendo Game Boy Advance;;2003;;;;;;;;;;;;
Antz - Extreme Racing (USA);Antz: Extreme Racing;Nintendo Game Boy Advance;;2002;;;;;;;;;;;;
