#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - The World Is Not Enough (USA, Europe);007: The World Is Not Enough;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
10-Pin Bowling (USA);10-Pin Bowling;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
102 Dalmatians - Puppies to the Rescue (USA, Europe);102 Dalmatians: Puppies to the Rescue;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
1942 (USA);1942;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
3-D Ultra Pinball - Thrillride (USA);3-D Ultra Pinball: Thrillride;Nintendo Game Boy Color;;1995;;;;;;;;;;;;
3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl);3D Pocket Pool;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
720 Degrees (USA, Europe);720 Degrees;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Bug's Life, A (USA);A Bug's Life;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Action Man - Search for Base X (USA, Europe);Action Man: Search for Base X;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
AirForce Delta (USA);AirForce Delta;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Aladdin (USA);Aladdin;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Alfred's Adventure (Europe) (En,Fr,De,Es,It);Alfred's Adventure;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Alice in Wonderland (USA);Alice in Wonderland;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Aliens - Thanatos Encounter (USA, Europe);Aliens: Thanatos Encounter;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
All Star Tennis 2000 (Europe);All Star Tennis 2000;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
All-Star Baseball 2000 (USA, Europe);All-Star Baseball 2000;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
All-Star Baseball 2001 (USA);All-Star Baseball 2001;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Alone in the Dark - The New Nightmare (USA) (En,Fr,Es);Alone in the Dark: The New Nightmare;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
Animorphs (USA);Animorphs;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Antz (USA) (En,Fr,Es);Antz;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Antz Racing (USA) (En,Fr,De,Es,It,Nl);Antz Racing;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
Antz World Sportz (Europe) (En,Fr,De,Es,It,Nl);Antz World Sportz;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
Arcade Hits - Joust & Defender (USA);Arcade Hits: Joust & Defender;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Arcade Hits - Moon Patrol & Spy Hunter (USA);Arcade Hits: Moon Patrol & Spy Hunter;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Armada - FX Racers (USA);Armada: FX Racers;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Armorines - Project S.W.A.R.M. (USA, Europe) (En,De);Armorines: Project S.W.A.R.M.;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Army Men (USA, Europe) (En,Fr,De);Army Men;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Army Men 2 (USA) (En,Fr,De);Army Men 2;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Army Men - Air Combat (USA) (En,Fr,De);Army Men: Air Combat;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Army Men - Sarge's Heroes 2 (USA, Europe) (En,Fr,De);Army Men: Sarge's Heroes 2;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Arthur's Absolutely Fun Day! (USA);Arthur's Absolutely Fun Day!;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Asterix & Obelix (Europe) (En,Fr,De,Es);Asterix & Obelix;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Asterix & Obelix vs Caesar (Europe) (En,Fr,De,Es,Nl);Asterix & Obelix Vs Caesar;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Asterix - Search for Dogmatix (Europe) (En,Fr,De,Es,It,Nl);Asterix: Search for Dogmatix;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Asteroids (USA, Europe);Asteroids;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Atlantis - The Lost Empire (USA, Europe);Atlantis: The Lost Empire;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
Austin Powers - Oh, Behave! (USA);Austin Powers: Oh, Behave!;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Austin Powers - Welcome to my Underground Lair! (USA);Austin Powers: Welcome to my Underground Lair!;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Azure Dreams (USA);Azure Dreams;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Babe and Friends (USA);Babe and Friends;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Baby Felix - Halloween (Europe) (En,Fr,De,Es,It,Nl);Baby Felix: Halloween;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
Backgammon (Europe) (En,Fr,De,Es);Backgammon;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Ballistic (USA);Ballistic;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Barbie - Fashion Pack Games (USA, Europe);Barbie: Fashion Pack Games;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Barbie - Magic Genie Adventure (USA);Barbie: Magic Genie Adventure;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Barbie - Ocean Discovery (USA);Barbie: Ocean Discovery;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Barbie - Pet Rescue (USA);Barbie: Pet Rescue;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
Bass Masters Classic (USA, Europe);Bass Masters Classic;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond: Return of the Joker;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Battleship (USA, Europe);Battleship;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
BattleTanx (USA);BattleTanx;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Bear in the Big Blue House (USA) (En,Fr,De,Es,It,Nl);Bear in the Big Blue House;Nintendo Game Boy Color;;2002;;;;;;;;;;;;
Beauty and the Beast - A Board Game Adventure (USA);Beauty and the Beast: A Board Game Adventure;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Billy Bob's Huntin' 'n' Fishin' (USA, Europe);Billy Bob's Huntin' 'n' Fishin';Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Bionic Commando - Elite Forces (USA);Bionic Commando: Elite Forces;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Black Bass - Lure Fishing (USA, Europe);Black Bass: Lure Fishing;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Blade (USA, Europe);Blade;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Blaster Master - Enemy Below (USA);Blaster Master: Enemy Below;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Blue's Clues - Blue's Alphabet Book (USA);Blue's Clues: Blue's Alphabet Book;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
Boarder Zone (USA);Boarder Zone;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Bob the Builder - Fix it Fun! (USA);Bob the Builder: Fix it Fun!;Nintendo Game Boy Color;;2001;;;;;;;;;;;;
Bomberman Max - Blue Champion (USA);Bomberman Max: Blue Champion;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Bomberman Max - Red Challenger (USA);Bomberman Max: Red Challenger;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Bomberman Quest (USA);Bomberman Quest;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Buffy the Vampire Slayer (USA, Europe);Buffy the Vampire Slayer;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Bugs Bunny in Crazy Castle 4 (USA);Bugs Bunny in Crazy Castle 4;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Bugs Bunny - Crazy Castle 3 (USA, Europe);Bugs Bunny: Crazy Castle 3;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Bust-A-Move 4 (USA, Europe);Bust-A-Move 4;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Bust-A-Move Millennium (USA, Europe);Bust-A-Move Millennium;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Buzz Lightyear of Star Command (USA, Europe);Buzz Lightyear of Star Command;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
Caesars Palace II (USA, Europe);Caesars Palace II;Nintendo Game Boy Color;;1999;;;;;;;;;;;;
Cannon Fodder (USA) (En,Fr,De,Es,It);Cannon Fodder;Nintendo Game Boy Color;;2000;;;;;;;;;;;;
