#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
4 in 1 Funpak (USA, Europe);4 in 1 Funpak;Nintendo Game Boy;;1992;;;;;;;;;;;;
4 in 1 Funpak Vol. II (USA, Europe);4 in 1 Funpak Vol. II;Nintendo Game Boy;;1993;;;;;;;;;;;;
Adventure Island (USA, Europe);Adventure Island;Nintendo Game Boy;;1992;;;;;;;;;;;;
Adventure Island II - Aliens in Paradise (USA, Europe);Adventure Island II: Aliens in Paradise;Nintendo Game Boy;;1992;;;;;;;;;;;;
Adventures of Lolo (Europe);Adventures of Lolo;Nintendo Game Boy;;1994;;;;;;;;;;;;
Aerostar (USA, Europe);Aerostar;Nintendo Game Boy;;1991;;;;;;;;;;;;
Agro Soar (Australia);Agro Soar;Nintendo Game Boy;;1993;;;;;;;;;;;;
Aladdin (USA);Aladdin;Nintendo Game Boy;;1994;;;;;;;;;;;;
Alfred Chicken (USA);Alfred Chicken;Nintendo Game Boy;;1994;;;;;;;;;;;;
Alien 3 (USA, Europe);Alien 3;Nintendo Game Boy;;1993;;;;;;;;;;;;
Alien Olympics 2044 AD (Europe);Alien Olympics 2044 AD;Nintendo Game Boy;;1992;;;;;;;;;;;;
Alien vs Predator - The Last of His Clan (USA);Alien vs Predator: The Last of His Clan;Nintendo Game Boy;;1993;;;;;;;;;;;;
All-Star Baseball '99 (USA);All-Star Baseball '99;Nintendo Game Boy;;1998;;;;;;;;;;;;
Alleyway (World);Alleyway;Nintendo Game Boy;;1989;;;;;;;;;;;;
Altered Space - A 3-D Alien Adventure (USA);Altered Space: A 3-D Alien Adventure;Nintendo Game Boy;;1991;;;;;;;;;;;;
Amazing Penguin (USA, Europe);Amazing Penguin;Nintendo Game Boy;;1990;;;;;;;;;;;;
Amazing Tater (USA);Amazing Tater;Nintendo Game Boy;;1992;;;;;;;;;;;;
Animaniacs (USA);Animaniacs;Nintendo Game Boy;;1995;;;;;;;;;;;;
Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe);Arcade Classic No. 1: Asteroids & Missile Command;Nintendo Game Boy;;1995;;;;;;;;;;;;
Arcade Classic No. 2 - Centipede & Millipede (USA, Europe);Arcade Classic No. 2: Centipede & Millipede;Nintendo Game Boy;;1995;;;;;;;;;;;;
Arcade Classic No. 3 - Galaga & Galaxian (USA);Arcade Classic No. 3: Galaga & Galaxian;Nintendo Game Boy;;1995;;;;;;;;;;;;
