#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 Todo O Nada;007: Everything or Nothing;Nintendo Gamecube;;2004;;;;;;;;;;;;
007 - From Russia with Love;007: From Russia with Love;Nintendo Gamecube;;2005;;;;;;;;;;;;
1080 Avalanche;1080 Avalanche;Nintendo Gamecube;;2003;;;;;;;;;;;;
4x4 Evo 2;4x4 Evo 2;Nintendo Gamecube;;2002;;;;;;;;;;;;
Aggressive Inline;Aggressive Inline;Nintendo Gamecube;;2002;;;;;;;;;;;;
Alien Hominid;Alien Hominid;Nintendo Gamecube;;2004;;;;;;;;;;;;
Amazing Island;Amazing Island;Nintendo Gamecube;;2004;;;;;;;;;;;;
Animaniacs - Great Edgar Hunt;Animaniacs: The Great Edgar Hunt;Nintendo Gamecube;;2005;;;;;;;;;;;;
Aquaman - Battle for Atlantis;Aquaman: Battle for Atlantis;Nintendo Gamecube;;2003;;;;;;;;;;;;
Army Men Sarges War;Army Men Sarge's War;Nintendo Gamecube;;2004;;;;;;;;;;;;
Army Men - Air Combat The Elite Missions;Army Men: Air Combat The Elite Missions;Nintendo Gamecube;;2003;;;;;;;;;;;;
Asterix & Obelix XXL;Asterix & Obelix XXL;Nintendo Gamecube;;2004;;;;;;;;;;;;
ATV Quad Power Racing 2;ATV Quad Power Racing 2;Nintendo Gamecube;;2003;;;;;;;;;;;;
Auto Modellista;Auto Modellista;Nintendo Gamecube;;2003;;;;;;;;;;;;
Avatar The Last Airbender;Avatar: The Legend of Aang;Nintendo Gamecube;;2006;;;;;;;;;;;;
Baldurs Gate Dark Alliance;Baldur's Gate Dark Alliance;Nintendo Gamecube;;2002;;;;;;;;;;;;
Nickelodeon Barnyard;Barnyard;Nintendo Gamecube;;2006;;;;;;;;;;;;
Baten Kaitos - Eternal Wings and the Lost Ocean - Disc 1;Baten Kaitos: Eternal Wings and the Lost Ocean - Disc 1;Nintendo Gamecube;;2003;;;;;;;;;;;;
Baten Kaitos - Eternal Wings and the Lost Ocean - Disc 2;Baten Kaitos: Eternal Wings and the Lost Ocean - Disc 2;Nintendo Gamecube;;2003;;;;;;;;;;;;
Batman Begins;Batman Begins;Nintendo Gamecube;;2005;;;;;;;;;;;;
Batman Dark Tomorrow;Batman Dark Tomorrow;Nintendo Gamecube;;2003;;;;;;;;;;;;
Batman Rise Of Sin Tzu;Batman Rise Of Sin Tzu;Nintendo Gamecube;;2003;;;;;;;;;;;;
Batman Vengeance;Batman Vengeance;Nintendo Gamecube;;2001;;;;;;;;;;;;
Battalion Wars;Battalion Wars;Nintendo Gamecube;;2005;;;;;;;;;;;;
Battle Stadium D.O.N;Battle Stadium D.O.N;Nintendo Gamecube;;2006;;;;;;;;;;;;
Beach Spikers - Virtua Beach Volleyball;Beach Spikers: Virtua Beach Volleyball;Nintendo Gamecube;;2002;;;;;;;;;;;;
Beyblade VForce - Super Tournament Battle;Beyblade VForce: Super Tournament Battle;Nintendo Gamecube;;2003;;;;;;;;;;;;
Beyond Good & Evil;Beyond Good & Evil;Nintendo Gamecube;;2003;;;;;;;;;;;;
Billy Hatcher and the Giant Egg;Billy Hatcher and the Giant Egg;Nintendo Gamecube;;2003;;;;;;;;;;;;
Bionicle Heroes;Bionicle Heroes;Nintendo Gamecube;;2006;;;;;;;;;;;;
Bionicle - The Game;Bionicle: The Game;Nintendo Gamecube;;2003;;;;;;;;;;;;
Blood Omen 2 The Legacy Of Kain Series;Blood Omen 2 The Legacy Of Kain Series;Nintendo Gamecube;;2002;;;;;;;;;;;;
BloodRayne;BloodRayne;Nintendo Gamecube;;2002;;;;;;;;;;;;
Bloody Roar - Primal Fury;Bloody Roar: Primal Fury;Nintendo Gamecube;;2002;;;;;;;;;;;;
Blowout;Blowout;Nintendo Gamecube;;2003;;;;;;;;;;;;
BMX XXX;BMX XXX;Nintendo Gamecube;;2002;;;;;;;;;;;;
Bomberman Generation;Bomberman Generation;Nintendo Gamecube;;2002;;;;;;;;;;;;
Bomberman Jetters;Bomberman Jetters;Nintendo Gamecube;;2002;;;;;;;;;;;;
Buffy The Vampire Slayer Chaos Bleeds;Buffy The Vampire Slayer Chaos Bleeds;Nintendo Gamecube;;2003;;;;;;;;;;;;
Burnout;Burnout;Nintendo Gamecube;;2002;;;;;;;;;;;;
Burnout 2 - Point of Impact;Burnout 2: Point of Impact;Nintendo Gamecube;;2003;;;;;;;;;;;;
Buscando A Nemo;Buscando A Nemo;Nintendo Gamecube;;2003;;;;;;;;;;;;
Bust A Move 3000;Bust A Move 3000;Nintendo Gamecube;;2003;;;;;;;;;;;;
Butt Ugly Martians Zoom Or Doom;Butt Ugly Martians Zoom Or Doom;Nintendo Gamecube;;2002;;;;;;;;;;;;
Capcom vs SNK 2 EO;Capcom vs SNK 2 EO;Nintendo Gamecube;;2003;;;;;;;;;;;;
Carmen Sandiego - The Secret of the Stolen Drums;Carmen Sandiego: The Secret of the Stolen Drums;Nintendo Gamecube;;2004;;;;;;;;;;;;
Casper Spirit Dimensions;Casper Spirit Dimensions;Nintendo Gamecube;;2001;;;;;;;;;;;;
Catwoman;Catwoman;Nintendo Gamecube;;2004;;;;;;;;;;;;
Cel Damage;Cel Damage;Nintendo Gamecube;;2002;;;;;;;;;;;;
Chaos Field;Chaos Field;Nintendo Gamecube;;2005;;;;;;;;;;;;
Charlie And The Chocolate Factory;Charlie And The Chocolate Factory;Nintendo Gamecube;;2005;;;;;;;;;;;;
Chibi-Robo!;Chibi-Robo!;Nintendo Gamecube;;2005;;;;;;;;;;;;
Cocoto Funfair;Cocoto Funfair;Nintendo Gamecube;;2005;;;;;;;;;;;;
Cocoto Kart Racer;Cocoto Kart Racer;Nintendo Gamecube;;2005;;;;;;;;;;;;
Cocoto Platform Jumper;Cocoto Platform Jumper;Nintendo Gamecube;;2006;;;;;;;;;;;;
Codename Kids Next Door Operation;Codename Kids Next Door Operation;Nintendo Gamecube;;2005;;;;;;;;;;;;
Conan - Disc 1;Conan - Disc 1;Nintendo Gamecube;;2004;;;;;;;;;;;;
Conan - Disc 2;Conan - Disc 2;Nintendo Gamecube;;2004;;;;;;;;;;;;
Conflict Desert Storm;Conflict Desert Storm;Nintendo Gamecube;;2002;;;;;;;;;;;;
Conflict Desert Storm II;Conflict Desert Storm II Back To Baghdad;Nintendo Gamecube;;2003;;;;;;;;;;;;
Crash Bandicoot - The Wrath of Cortex;Crash Bandicoot: The Wrath of Cortex;Nintendo Gamecube;;2001;;;;;;;;;;;;
Crash Nitro Kart;Crash Nitro Kart;Nintendo Gamecube;;2003;;;;;;;;;;;;
Crash Tag Team Racing;Crash Tag Team Racing;Nintendo Gamecube;;2005;;;;;;;;;;;;
Crazy Taxi;Crazy Taxi;Nintendo Gamecube;;2001;;;;;;;;;;;;
Cubivore;Cubivore: Survival of the Fittest;Nintendo Gamecube;;2002;;;;;;;;;;;;
Cubix Robots For Everyone Showdown;Cubix Robots For Everyone Showdown;Nintendo Gamecube;;2003;;;;;;;;;;;;
Curious George;Curious George;Nintendo Gamecube;;2006;;;;;;;;;;;;
Custom Robo;Custom Robo;Nintendo Gamecube;;2004;;;;;;;;;;;;
Dakar 2;Dakar 2: The World's Ultimate Rally;Nintendo Gamecube;;2003;;;;;;;;;;;;
Dark Summit;Dark Summit;Nintendo Gamecube;;2001;;;;;;;;;;;;
Darkened Skye;Darkened Skye;Nintendo Gamecube;;2002;;;;;;;;;;;;
Dave Mirra Freestyle BMX 2;Dave Mirra Freestyle BMX 2;Nintendo Gamecube;;2001;;;;;;;;;;;;
Dead to Rights;Dead to Rights;Nintendo Gamecube;;2002;;;;;;;;;;;;
Def Jam Fight For NY;Def Jam Fight For NY;Nintendo Gamecube;;2004;;;;;;;;;;;;
Def Jam Vendetta;Def Jam Vendetta;Nintendo Gamecube;;2003;;;;;;;;;;;;
Defender;Defender;Nintendo Gamecube;;2002;;;;;;;;;;;;
Die Hard Vendetta;Die Hard Vendetta;Nintendo Gamecube;;2002;;;;;;;;;;;;
Dinotopia The Sunstone Odyssey;Dinotopia The Sunstone Odyssey;Nintendo Gamecube;;2003;;;;;;;;;;;;
Disney Pixar The Incredibles;Disney Pixar The Incredibles;Nintendo Gamecube;;2004;;;;;;;;;;;;
Disney Pixar The Incredibles Rise Of The Underminer;Disney Pixar The Incredibles Rise Of The Underminer;Nintendo Gamecube;;2005;;;;;;;;;;;;
Disney Chicken Little;Disney's Chicken Little;Nintendo Gamecube;;2005;;;;;;;;;;;;
Disneys Donald Duck Goin Quackers;Disney's Donald Duck Goin Quackers;Nintendo Gamecube;;2001;;;;;;;;;;;;
Disneys Extreme Skate Adventure;Disney's Extreme Skate Adventure;Nintendo Gamecube;;2003;;;;;;;;;;;;
Disneys Hide Sneak;Disney's Hide & Sneak;Nintendo Gamecube;;2003;;;;;;;;;;;;
Disneys Magical Mirror Starring Mickey Mouse;Disney's Magical Mirror Starring Mickey Mouse;Nintendo Gamecube;;2002;;;;;;;;;;;;
Disneys Party;Disney's Party;Nintendo Gamecube;;2003;;;;;;;;;;;;
Disneys Piglets Big Game;Disney's Piglet's Big Game;Nintendo Gamecube;;2003;;;;;;;;;;;;
Disney Pixar Cars;Disney's Pixar Cars;Nintendo Gamecube;;2006;;;;;;;;;;;;
Disneys PK Out Of The Shadows;Disney's PK Out Of The Shadows;Nintendo Gamecube;;2002;;;;;;;;;;;;
Disney Sports Skateboarding;Disney's Sports Skateboarding;Nintendo Gamecube;;2002;;;;;;;;;;;;
Disney Sports Soccer;Disney's Sports Soccer;Nintendo Gamecube;;2002;;;;;;;;;;;;
Disneys Tarzan Untamed;Disney's Tarzan Untamed;Nintendo Gamecube;;2001;;;;;;;;;;;;
Disney's The Haunted Mansion;Disney's The Haunted Mansion;Nintendo Gamecube;;2003;;;;;;;;;;;;
Disney's Winnie The Pooh's Rumbly Tumbly Adventure;Disney's Winnie The Pooh's Rumbly Tumbly Adventure;Nintendo Gamecube;;2005;;;;;;;;;;;;
Donkey Kong Jungle Beat;Donkey Kong Jungle Beat;Nintendo Gamecube;;2005;;;;;;;;;;;;
Dora the Explorer - Journey to the Purple Planet;Dora the Explorer: Journey to the Purple Planet;Nintendo Gamecube;;2005;;;;;;;;;;;;
Dr. Muto;Dr. Muto;Nintendo Gamecube;;2002;;;;;;;;;;;;
Dragon Ball Z Sagas;Dragon Ball Z Sagas;Nintendo Gamecube;;2005;;;;;;;;;;;;
Dragon Ball Z - Budokai;Dragon Ball Z: Budokai;Nintendo Gamecube;;2003;;;;;;;;;;;;
Dragon Ball Z - Budokai 2;Dragon Ball Z: Budokai 2;Nintendo Gamecube;;2004;;;;;;;;;;;;
Dragons Lair 3D - Return To The Lair;Dragon's Lair 3D: Return To The Lair;Nintendo Gamecube;;2002;;;;;;;;;;;;
DreamWorks Aardman Flushed Away;DreamWorks Aardman Flushed Away;Nintendo Gamecube;;2006;;;;;;;;;;;;
DreamWorks Madagascar;DreamWorks Madagascar;Nintendo Gamecube;;2005;;;;;;;;;;;;
DreamWorks Shark Tale;DreamWorks Shark Tale;Nintendo Gamecube;;2004;;;;;;;;;;;;
Driven;Driven;Nintendo Gamecube;;2002;;;;;;;;;;;;
Drome Racers;Drome Racers;Nintendo Gamecube;;2002;;;;;;;;;;;;
Ed, Edd n Eddy - The Mis-Edventures;Ed, Edd n Eddy: The Mis-Edventures;Nintendo Gamecube;;2005;;;;;;;;;;;;
Egg Mania Eggstreme Madness;Egg Mania Eggstreme Madness;Nintendo Gamecube;;2002;;;;;;;;;;;;
El Hobbit;El Hobbit;Nintendo Gamecube;;2003;;;;;;;;;;;;
Enter the Matrix - Disc 1;Enter the Matrix - Disc 1;Nintendo Gamecube;;2003;;;;;;;;;;;;
Enter the Matrix - Disc 2;Enter the Matrix - Disc 2;Nintendo Gamecube;;2003;;;;;;;;;;;;
ESPN International Winter Sports 2002;ESPN International Winter Sports 2002;Nintendo Gamecube;;2002;;;;;;;;;;;;
Eternal Darkness;Eternal Darkness;Nintendo Gamecube;;2002;;;;;;;;;;;;
Evolution Skateboarding;Evolution Skateboarding;Nintendo Gamecube;;2002;;;;;;;;;;;;
Evolution Snowboarding;Evolution Snowboarding;Nintendo Gamecube;;2002;;;;;;;;;;;;
Evolution Worlds;Evolution Worlds;Nintendo Gamecube;;2002;;;;;;;;;;;;
F-Zero GX;F-Zero GX;Nintendo Gamecube;;2003;;;;;;;;;;;;
F1 Career Challenge;F1 Career Challenge;Nintendo Gamecube;;2003;;;;;;;;;;;;
Fantastic 4;Fantastic 4;Nintendo Gamecube;;2005;;;;;;;;;;;;
FIFA 06;FIFA 06;Nintendo Gamecube;;2005;;;;;;;;;;;;
FIFA Soccer 07;FIFA Soccer 07;Nintendo Gamecube;;2006;;;;;;;;;;;;
FIFA Street;FIFA Street;Nintendo Gamecube;;2005;;;;;;;;;;;;
FIFA Street 2;FIFA Street 2;Nintendo Gamecube;;2006;;;;;;;;;;;;
Fight Night Round 2;Fight Night Round 2;Nintendo Gamecube;;2005;;;;;;;;;;;;
Final Fantasy - Crystal Chronicles;Final Fantasy: Crystal Chronicles;Nintendo Gamecube;;2003;;;;;;;;;;;;
Fire Emblem - Path of Radiance;Fire Emblem: Path of Radiance;Nintendo Gamecube;;2005;;;;;;;;;;;;
FireBlade;FireBlade;Nintendo Gamecube;;2002;;;;;;;;;;;;
Freaky Flyers - Disc 1;Freaky Flyers - Disc 1;Nintendo Gamecube;;2003;;;;;;;;;;;;
Freaky Flyers - Disc 2;Freaky Flyers - Disc 2;Nintendo Gamecube;;2003;;;;;;;;;;;;
