#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
2010 FIFA World Cup South Africa (EU);2010 FIFA World Cup South Africa (EU);Nintendo Wii;;;;;;;;;;;;2010 FIFA World Cup South Africa;;;;;;
A Boy and His Blob (EU);A Boy and His Blob (EU);Nintendo Wii;;;;;1;;;;;;;A Boy and His Blob;;;;;;
ACB Total 2010 2011 (EU);ACB Total 2010 2011 (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
AFL - Australian Football League (EU);AFL - Australian Football League (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
AMF Bowling Pinbusters! (EU);AMF Bowling Pinbusters! (EU);Nintendo Wii;;;;;1;;;;;;;AMF Bowling Pinbusters!;;;;;;
AMF Bowling World Lanes (EU);AMF Bowling World Lanes (EU);Nintendo Wii;;;;;1;;;;;;;AMF Bowling World Lanes;;;;;;
ATV Fever (EU);ATV Fever (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
ATV Quad Kings (EU);ATV Quad Kings (EU);Nintendo Wii;;;;;1;;;;;;;ATV Quad Kings;;;;;;
Academy of Champions - Football (EU);Academy of Champions - Football (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Action Girlz Racing (EU);Action Girlz Racing (EU);Nintendo Wii;;;;;;;;;;;;Action Girlz Racing;;;;;;
The Adventures of Tintin - The Secret of the Unicorn (EU);The Adventures of Tintin - The Secret of the Unicorn (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Agent Hugo - Hula Holiday (EU);Agent Hugo - Hula Holiday (EU);Nintendo Wii;;;;;;;;;;;;Agent Hugo: Hula Holiday;;;;;;
Agent Hugo - Lemoon Twist (EU);Agent Hugo - Lemoon Twist (EU);Nintendo Wii;;;;;1;;;;;;;Agent Hugo: Lemoon Twist;;;;;;
Aladin - Magic Racer (EU);Aladin - Magic Racer (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Alice in Wonderland (EU);Alice in Wonderland (EU);Nintendo Wii;;;;;1;;;;;;;Alice in Wonderland;;;;;;
Alien Syndrome (EU);Alien Syndrome (EU);Nintendo Wii;;;;;2;;;;;;;Alien Syndrome;;;;;;
Aliens in the Attic (EU);Aliens in the Attic (EU);Nintendo Wii;;;;;;;;;;;;Aliens in the Attic;;;;;;
The Amazing Spider-Man (EU);The Amazing Spider-Man (EU);Nintendo Wii;;;;;1;;;;;;;The Amazing Spider-Man;;;;;;
Angry Birds - Star Wars (EU);Angry Birds - Star Wars (EU);Nintendo Wii;;;;;1;;;;;;;Angry Birds Star Wars;;;;;;
Angry Birds Trilogy (EU);Angry Birds Trilogy (EU);Nintendo Wii;;;;;;;;;;;;Angry Birds Trilogy;;;;;;
Another Code - R - A Journey into Lost Memories (EU);Another Code - R - A Journey into Lost Memories (EU);Nintendo Wii;;;;;1;;;;;;;Another Code: R - A Journey into Lost Memories;;;;;;
The Ant Bully (EU);The Ant Bully (EU);Nintendo Wii;;;;;1;;;;;;;The Ant Bully;;;;;;
Anubis 2 (EU);Anubis 2 (EU);Nintendo Wii;;;;;;;;;;;;Anubis II;;;;;;
Arcade Zone (EU);Arcade Zone (EU);Nintendo Wii;;;;;1;;;;;;;Arcade Zone;;;;;;
Arctic Tale (EU);Arctic Tale (EU);Nintendo Wii;;;;;2;;;;;;;Arctic Tale;;;;;;
Asterix at the Olympic Games (EU);Asterix at the Olympic Games (EU);Nintendo Wii;;;;;2;;;;;;;Asterix at the Olympic Games;;;;;;
Astro Boy - The Video Game (EU);Astro Boy - The Video Game (EU);Nintendo Wii;;;;;1;;;;;;;Astro Boy: The Video Game;;;;;;
Attack of the Movies 3D;Attack of the Movies 3D;Nintendo Wii;;;;;;;;;;;;Attack of the Movies 3D;;;;;;
Avatar - The Legend of Aang (EU);Avatar - The Legend of Aang (EU);Nintendo Wii;;;;;1;;;;;;;Avatar: The Legend of Aang;;;;;;
Avatar - The Legend of Aang - Into the Inferno (EU);Avatar - The Legend of Aang - Into the Inferno (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
