#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
2 Fast 4 Gnomz (USA);2 Fast 4 Gnomz (USA);Nintendo WiiWare;;;;;;;;;;;;;;
3 Degrees Celcius (Japan);3 Degrees Celcius (Japan);Nintendo WiiWare;;;;;;;;;;;;;;
5 Arcade Gems (USA);5 Arcade Gems (USA);Nintendo WiiWare;;;;;;;;;;;;;;
ANIMA - Ark of Sinners (USA);ANIMA - Ark of Sinners (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Adventure Island - The Beginning (USA);Adventure Island - The Beginning (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Alien Crush Returns (USA);Alien Crush Returns (USA);Nintendo WiiWare;;;;;;;;;;;;;;
And Yet It Moves (USA);And Yet It Moves (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Arcade Essentials (USA);Arcade Essentials (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Arcade Sports (USA);Arcade Sports (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Arkanoid Plus! (USA);Arkanoid Plus! (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Art Style - light trax (USA);Art Style - light trax (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Aya and the Cubes of Light (USA);Aya and the Cubes of Light (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Bang Attack (USA);Bang Attack (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Bejeweled 2 (USA);Bejeweled 2 (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Ben 10 Alien Force - The Rise of Hex (USA);Ben 10 Alien Force - The Rise of Hex (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Big Town Shoot Out (USA);Big Town Shoot Out (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Bit. Trip Beat (USA) (v256);Bit. Trip Beat (USA) (v256);Nintendo WiiWare;;;;;;;;;;;;;;
Bit. Trip Core (USA);Bit. Trip Core (USA);Nintendo WiiWare;;;;;;;;;;;;;;
Bit. Trip Flux (USA);Bit. Trip Flux (USA);Nintendo WiiWare;;;;;;;;;;;;;;
