#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
A Tale of Vengeance;A Tale of Vengeance;OpenBor;;;;;;;;;;;;;;
abobosbigadventure_PC;Abobo's Big Adventure;OpenBor;;;;;;;;;;;;;;
Airgallet Fihters Wing;Airgallet Fighters Wing;OpenBor;;;;;;;;;;;;;;
Alien vs Predator Aftermath;Alien vs. Predator Aftermath;OpenBor;;;;;;;;;;;;;;
Aliens Clash;Aliens Clash;OpenBor;;;;;;;;;;;;;;
Armored Warriors Cyberbots;Armored Warriors Cyberbots;OpenBor;;;;;;;;;;;;;;
Art of Fighting - Beats of Rage Remix III;Art of Fighting: Beats of Rage Remix III;OpenBor;;;;;;;;;;;;;;
AOF Trouble in Southtown v1.6;Art of Fighting: Trouble in Southtown;OpenBor;;;;;;;;;;;;;;
Asterix and Caesar's Challenge;Asterix and Caesar's Challenge;OpenBor;;;;;;;;;;;;;;
Avengers;Avengers;OpenBor;;;;;;;;;;;;;;
Avengers - United Battle Force;Avengers: United Battle Force;OpenBor;;;;;;;;;;;;;;
Bad Ass Babes;Bad Ass Babes;OpenBor;;;;;;;;;;;;;;
Bad School Girls;Bad School Girls;OpenBor;;;;;;;;;;;;;;
Balance of Power;Balance of Power;OpenBor;;;;;;;;;;;;;;
Bare Knuckle 6 - Turn The Tide;Bare Knuckle 6: Turn The Tide;OpenBor;;;;;;;;;;;;;;
Bare Knuckle III - Yesterday Once More;Bare Knuckle III: Yesterday Once More;OpenBor;;;;;;;;;;;;;;
Bare Knuckle The Next Generation;Bare Knuckle The Next Generation;OpenBor;;;;;;;;;;;;;;
Bare Knuckle V;Bare Knuckle V;OpenBor;;;;;;;;;;;;;;
Bare Knuckle Vacuum (v4.01);Bare Knuckle Vacuum;OpenBor;;;;;;;;;;;;;;
Batman Gotham Knights;Batman Gotham Knights;OpenBor;;;;;;;;;;;;;;
Battle Arena Toshinden Origin;Battle Arena Toshinden Origin;OpenBor;;;;;;;;;;;;;;
BattleManiacs Bare Knuckle;BattleManiacs Bare Knuckle;OpenBor;;;;;;;;;;;;;;
Battletoads;Battletoads;OpenBor;;;;;;;;;;;;;;
Battletoads & Double Dragon - The Return of the Dark Forces;Battletoads Double Dragon: The Return of the Dark Forces;OpenBor;;;;;;;;;;;;;;
Battletoads Double Dragon - The Revenge;Battletoads Double Dragon: The Revenge;OpenBor;;;;;;;;;;;;;;
Battletoads Double Dragon - The T.Bird Mission;Battletoads Double Dragon: The T. Bird Mission;OpenBor;;;;;;;;;;;;;;
Beast & Blanka in the Violent World;Beast & Blanka in the Violent World;OpenBor;;;;;;;;;;;;;;
Beat Em Up Ultimate Alliance;Beat Em Up Ultimate Alliance;OpenBor;;;;;;;;;;;;;;
Beats of Fighting;Beats of Fighting;OpenBor;;;;;;;;;;;;;;
Beats of Rage;Beats of Rage;OpenBor;;;;;;;;;;;;;;
Beats of Rage - Remix;Beats of Rage: Remix;OpenBor;;;;;;;;;;;;;;
Beats of Rage - Xtra;Beats of Rage: Xtra;OpenBor;;;;;;;;;;;;;;
Beats of Rage Alliance Super Sayan;Beats of Rage Alliance Super Sayan;OpenBor;;;;;;;;;;;;;;
Bishojo Dimensional Chaos;Bishojo Dimensional Chaos;OpenBor;;;;;;;;;;;;;;
Bleach;Bleach;OpenBor;;;;;;;;;;;;;;
Bruce Lee - Revenge of the Dragon;Bruce Lee: Revenge of the Dragon;OpenBor;;;;;;;;;;;;;;
Burn Kingdom;Burn Kingdom;OpenBor;;;;;;;;;;;;;;
Cadillac & Dinosaurs - Dinosaurs Warriors;Cadillac & Dinosaurs: Dinosaurs Warriors;OpenBor;;;;;;;;;;;;;;
