#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Addams Family, The (Bally);Addams Family, The (Bally);Pinball Arcade;;1992;Bally;Pinball;;;;;0;;;;;;;;;
Attack from Mars (Bally);Attack from Mars (Bally);Pinball Arcade;;1995;Bally;Pinball;;;;;0;;;;;;;;;
Big Shot (Gottlieb);Big Shot (Gottlieb);Pinball Arcade;;1993;Gottlieb;Pinball;;;;;0;;;;;;;;;
Black Hole (Gottlieb);Black Hole Gottlieb;Pinball Arcade;;1981;Gottlieb;Pinball;;;;;0;;;;;;;;;
Black Knight (Williams);Black Knight (Williams);Pinball Arcade;;1980;Williams;Pinball;;;;;0;;;;;;;;;
Black Knight 2000 (Williams);Black Knight 2000 (Williams);Pinball Arcade;;1989;Williams;Pinball;;;;;0;;;;;;;;;
Black Rose (Bally);Black Rose (Bally);Pinball Arcade;;1992;Bally;Pinball;;;;;0;;;;;;;;;
Bram Stoker's Dracula (Williams);Bram Stoker's Dracula (Williams);Pinball Arcade;;1993;Williams;Pinball;;;;;0;;;;;;;;;
Bride of Pin-Bot (Williams);Bride of Pin-Bot (Williams);Pinball Arcade;;1991;Williams;Pinball;;;;;0;;;;;;;;;
Cactus Canyon (Bally);Cactus Canyon (Bally);Pinball Arcade;;1998;Bally;Pinball;;;;;0;;;;;;;;;
Centaur (Bally);Centaur (Bally);Pinball Arcade;;1981;Bally;Pinball;;;;;0;;;;;;;;;
Central Park (Gottlieb);Central Park (Gottlieb);Pinball Arcade;;1966;Gottlieb;Pinball;;;;;0;;;;;;;;;
Champion Pub, The (Bally);Champion Pub, The (Bally);Pinball Arcade;;1998;Bally;Pinball;;;;;0;;;;;;;;;
Cirqus Voltaire (Bally);Cirqus Voltaire (Bally);Pinball Arcade;;1997;Bally;Pinball;;;;;0;;;;;;;;;
Class of 1812 (Gottlieb);Class of 1812 (Gottlieb);Pinball Arcade;;1991;Gottlieb;Pinball;;;;;0;;;;;;;;;
Creature from the Black Lagoon (Bally);Creature from the Black Lagoon (Bally);Pinball Arcade;;1992;Bally;Pinball;;;;;0;;;;;;;;;
Cue Ball Wizard (Gottlieb);Cue Ball Wizard (Gottlieb);Pinball Arcade;;1992;Gottlieb;Pinball;;;;;0;;;;;;;;;
Cyclone (Williams);Cyclone (Williams);Pinball Arcade;;1988;Gottlieb;Pinball;;;;;0;;;;;;;;;
Diner (Williams);Diner (Williams);Pinball Arcade;;1990;Williams;Pinball;;;;;0;;;;;;;;;
Dr. Dude & His Excellent Ray (Bally);Dr. Dude & His Excellent Ray (Bally);Pinball Arcade;;1990;Bally;Pinball;;;;;0;;;;;;;;;
Earthshaker (Williams);Earthshaker (Williams);Pinball Arcade;;1989;Williams;Pinball;;;;;0;;;;;;;;;
El Dorado - City Of Gold (Gottlieb);El Dorado - City Of Gold (Gottlieb);Pinball Arcade;;1984;Gottlieb;Pinball;;;;;0;;;;;;;;;
Elvira and the Party Monsters (Bally);Elvira and the Party Monsters (Bally);Pinball Arcade;;1989;Bally;Pinball;;;;;0;;;;;;;;;
F-14 Tomcat (Williams);F-14 Tomcat (Williams);Pinball Arcade;;1987;Williams;Pinball;;;;;0;;;;;;;;;
Firepower (Williams);Firepower (Williams);Pinball Arcade;;1980;Williams;Pinball;;;;;0;;;;;;;;;
Fish Tales (Williams);Fish Tales (Williams);Pinball Arcade;;1992;Williams;Pinball;;;;;0;;;;;;;;;
Flight 2000 (Stern);Flight 2000 (Stern);Pinball Arcade;;1980;Stern;Pinball;;;;;0;;;;;;;;;
FunHouse (Williams);FunHouse (Williams);Pinball Arcade;;1990;Williams;Pinball;;;;;0;;;;;;;;;
Genie (Gottlieb);Genie (Gottlieb);Pinball Arcade;;1979;Gottlieb;Pinball;;;;;0;;;;;;;;;
Getaway, The - High Speed II (Williams);Getaway, The - High Speed II (Williams);Pinball Arcade;;1992;Williams;Pinball;;;;;0;;;;;;;;;
Goin' Nuts (Gottlieb);Goin' Nuts (Gottlieb);Pinball Arcade;;1983;Gottlieb;Pinball;;;;;0;;;;;;;;;
Gorgar (Williams);Gorgar (Williams);Pinball Arcade;;1979;Williams;Pinball;;;;;0;;;;;;;;;
Harley-Davidson, 3rd Edition (Stern);Harley-Davidson, 3rd Edition (Stern);Pinball Arcade;;1999;Stern;Pinball;;;;;0;;;;;;;;;
Haunted House (Gottlieb);Haunted House (Gottlieb);Pinball Arcade;;1982;Gottlieb;Pinball;;;;;0;;;;;;;;;
High Roller Casino (Stern);High Roller Casino (Stern);Pinball Arcade;;2001;Stern;Pinball;;;;;0;;;;;;;;;
High Speed (Williams);High Speed (Williams);Pinball Arcade;;1986;Williams;Pinball;;;;;0;;;;;;;;;
Jack-Bot (Williams);Jack-Bot (Williams);Pinball Arcade;;1995;Williams;Pinball;;;;;0;;;;;;;;;
