#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
7 Servants Blade;7 Servants Blade;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Aces of the Luftwaffe;Aces of the Luftwaffe;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Aclla - Inti Raymi;Aclla - Inti Raymi;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Aclla - Taiyou No Miko To Sora No Shinpei;Aclla - Taiyou No Miko To Sora No Shinpei;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Aero Flux;Aero Flux;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Aeternum;Aeternum;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Ake-Bre;Ake-Bre;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Anceder;Anceder;SHMUPS PC; ; ; ; ;;;;;0;;;;;
AngerForce Reloaded;AngerForce Reloaded;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Another Apocalypse;Another Apocalypse;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Alternative Sphere;Alternative Sphere;SHMUPS PC; ; ; ; ;;;;;0;;;;;
ALLTYNEX Second;ALLTYNEX Second;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Angeraze 2 - Tenshi no Kiseki;Angeraze 2 - Tenshi no Kiseki;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Armed Seven;Armed Seven;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Astebreed;Astebreed;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Azeal;Azeal;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Aurorablast;Aurorablast;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Barrage Musical - A Fantasy of Tempest;Barrage Musical - A Fantasy of Tempest;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Baroque Shooting;Baroque Shooting;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Battle Crust;Battle Crust;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Battle Squadron;Battle Squadron;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Battle Traverse;Battle Traverse;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Beekyr;Beekyr;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Blaynix;Blaynix;SHMUPS PC; ; ; ; ;;;;;0;;;;;
BLOODVANE;BLOODVANE;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Blue Revolver;Blue Revolver;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Blue Sabers - Operation Orbital Hammer;Blue Sabers - Operation Orbital Hammer;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Blue Wish Resurrection;Blue Wish Resurrection;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Broken Thunder;Broken Thunder;SHMUPS PC; ; ; ; ;;;;;0;;;;;
BULLET SOUL INFINITE BURST;BULLET SOUL INFINITE BURST;SHMUPS PC; ; ; ; ;;;;;0;;;;;
Burst Fighter;Burst Fighter;SHMUPS PC; ; ; ; ;;;;;0;;;;;
