#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
2020 Super Baseball;2020 Super Baseball;SNK Neo Geo CD;;;;;;;;;;;;;;
3 Count Bout;3 Count Bout;SNK Neo Geo CD;;;;;;;;;;;;;;
ADK World;ADK World;SNK Neo Geo CD;;;;;;;;;;;;;;
Aero Fighters 2;Aero Fighters 2;SNK Neo Geo CD;;;;;;;;;;;;;;
Aero Fighters 3;Aero Fighters 3;SNK Neo Geo CD;;;;;;;;;;;;;;
Aggressors of Dark Kombat;Aggressors of Dark Kombat;SNK Neo Geo CD;;;;;;;;;;;;;;
Alpha Mission 2;Alpha Mission 2;SNK Neo Geo CD;;;;;;;;;;;;;;
Art of Fighting;Art of Fighting;SNK Neo Geo CD;;;;;;;;;;;;;;
Art of Fighting 2;Art of Fighting 2;SNK Neo Geo CD;;;;;;;;;;;;;;
Art of Fighting 3;Art of Fighting 3;SNK Neo Geo CD;;;;;;;;;;;;;;
Baseball Stars 2;Baseball Stars 2;SNK Neo Geo CD;;;;;;;;;;;;;;
Baseball Stars Professional;Baseball Stars Professional;SNK Neo Geo CD;;;;;;;;;;;;;;
Blue's Journey;Blue's Journey;SNK Neo Geo CD;;;;;;;;;;;;;;
Breakers;Breakers;SNK Neo Geo CD;;;;;;;;;;;;;;
Burning Fight;Burning Fight;SNK Neo Geo CD;;;;;;;;;;;;;;
Crossed Swords;Crossed Swords;SNK Neo Geo CD;;;;;;;;;;;;;;
Crossed Swords 2;Crossed Swords 2;SNK Neo Geo CD;;;;;;;;;;;;;;
Cyber Lip;Cyber Lip;SNK Neo Geo CD;;;;;;;;;;;;;;
Double Dragon;Double Dragon;SNK Neo Geo CD;;;;;;;;;;;;;;
Fatal Fury;Fatal Fury;SNK Neo Geo CD;;;;;;;;;;;;;;
Fatal Fury 2;Fatal Fury 2;SNK Neo Geo CD;;;;;;;;;;;;;;
Fatal Fury 3;Fatal Fury 3;SNK Neo Geo CD;;;;;;;;;;;;;;
Fatal Fury Special;Fatal Fury Special;SNK Neo Geo CD;;;;;;;;;;;;;;
Fighter's History Dynamite;Fighter's History Dynamite;SNK Neo Geo CD;;;;;;;;;;;;;;
Football Frenzy;Football Frenzy;SNK Neo Geo CD;;;;;;;;;;;;;;
Galaxy Fight;Galaxy Fight;SNK Neo Geo CD;;;;;;;;;;;;;;
Ghost Pilots;Ghost Pilots;SNK Neo Geo CD;;;;;;;;;;;;;;
Ironclad;Ironclad;SNK Neo Geo CD;;;;;;;;;;;;;;
Kabuki Klash - Far East of Eden;Kabuki Klash - Far East of Eden;SNK Neo Geo CD;;;;;;;;;;;;;;
King of Fighters 94;King of Fighters 94;SNK Neo Geo CD;;;;;;;;;;;;;;
King of Fighters 95;King of Fighters 95;SNK Neo Geo CD;;;;;;;;;;;;;;
King of Fighters 96;King of Fighters 96;SNK Neo Geo CD;;;;;;;;;;;;;;
King of Fighters 97;King of Fighters 97;SNK Neo Geo CD;;;;;;;;;;;;;;
King of Fighters 98;King of Fighters 98;SNK Neo Geo CD;;;;;;;;;;;;;;
King of Fighters 99;King of Fighters 99;SNK Neo Geo CD;;;;;;;;;;;;;;
King of the Monsters 2;King of the Monsters 2;SNK Neo Geo CD;;;;;;;;;;;;;;
