#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
2020bb;2020 Super Baseball;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
3countb;3 Count Bout;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
sonicwi2;Aero Fighters 2;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
sonicwi3;Aero Fighters 3;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
aodk;Aggressors of Dark Kombat;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
alpham2;Alpha Mission II;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
androdun;Andro Dunos;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
aof;Art of Fighting;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
aof2;Art of Fighting 2;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
aof3;Art of Fighting 3: The Path of the Warrior;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
bangbead;Bang Bead;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
bstars2;Baseball Stars 2;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
bstars;Baseball Stars Professional;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
blazstar;Blazing Star;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
bjourney;Blue's Journey;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
breakers;Breakers;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
breakrev;Breakers Revenge;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
burningf;Burning Fight;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
pbobble;Bust-A-Move;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
pbobble2;Bust-A-Move Again EX;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
ctomaday;Captain Tomaday;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
crsword;Crossed Swords;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
cyberlip;Cyber-Lip;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
doubledr;Double Dragon;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
eightman;Eightman;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
fatfury1;Fatal Fury;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
fatfury2;Fatal Fury 2;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
fatfury3;Fatal Fury 3;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
fatfursp;Fatal Fury Special;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
fightfev;Fight Fever;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
flipshot;Flip Shot;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
fbfrenzy;Football Frenzy;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
galaxyfg;Galaxy Fight;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
ganryu;Ganryu;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
garou;Garou: Mark of the Wolves;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
gpilots;Ghost Pilots;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
ghostlop;Ghostlop;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
goalx3;Goal! Goal! Goal!;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
gururin;Gururin;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
kabukikl;Kabuki Klash;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
karnovr;Karnov's Revenge;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
kotm;King of the Monsters;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
kotm2;King of the Monsters 2;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
kizuna;Kizuna Encounter: Super Tag Battle;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
lastblad;Last Blade;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
lastbld2;Last Blade 2;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
lresort;Last Resort;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
lbowling;League Bowling;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
legendos;Legend of Success Joe;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
magdrop2;Magical Drop 2;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
magdrop3;Magical Drop 3;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
maglord;Magician Lord;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
matrim;Matrimelee;SNK Neo Geo MVS;;1993;;;;;;;;;;;;
