#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
005;005;Sega Classics;;1981;Sega;Maze;;;;;0;;;;;
abcop;A.B. Cop;Sega Classics;;1990;Sega;Motorcycle;;;;;0;;;;;
aceattaca;Ace Attacker;Sega Classics;aceattac;1988;Sega;Sports - Volleyball;;;;;0;;;;;
afighter;Action Fighter;Sega Classics;;1986;Sega;Shoot-'Em-Up;;;;;0;;;;;
aburner;After Burner;Sega Classics;aburner2;1987;Sega;Shooter;;;;;0;;;;;
arescue;Air Rescue;Sega Classics;;1992;Sega;Shooter;;;;;0;;;;;
alexkidd;Alex Kidd: The Lost Stars;Sega Classics;;1986;Sega;Platform;;;;;0;;;;;
alibaba;Ali Baba and 40 Thieves;Sega Classics;;1982;Sega;Maze;;;;;0;;;;;
astorm;Alien Storm ;Sega Classics;;1990;Sega;Beat-'Em-Up;;;;;0;;;;;
aliensyn;Alien Syndrome;Sega Classics;;1987;Sega;Maze;;;;;0;;;;;
alien3;Alien3: The Gun;Sega Classics;;1993;Sega;Gun;;;;;0;;;;;
altbeast;Altered Beast;Sega Classics;;1988;Sega;Beat-'Em-Up;;;;;0;;;;;
angelkds;Angel Kids;Sega Classics;;1988;Sega - Nasco?;Climbing;;;;;0;;;;;
arabfgt;Arabian Fight;Sega Classics;;1991;Sega;Beat-'Em-Up;;;;;0;;;;;
mt_tgolf;Arnold Palmer Tournament Golf;Sega Classics;;1989;Sega;Sports - Golf;;;;;0;;;;;
mt_arrow;Arrow Flash;Sega Classics;;1990;Sega;Shoot-'Em-Up;;;;;0;;;;;
astrob;Astro Blaster;Sega Classics;;1981;Sega;Shoot-'Em-Up;;;;;0;;;;;
astrofl;Astro Flash;Sega Classics;transfrm;1986;Sega;Shoot-'Em-Up;;;;;0;;;;;
mt_astro;Astro Warrior;Sega Classics;;1986;Sega;Shoot-'Em-Up;;;;;0;;;;;
aurail;Aurail;Sega Classics;;1990;Sega - Westone;Shoot-'Em-Up;;;;;0;;;;;
bakubaku;Baku Baku Animal;Sega Classics;;1995;Sega;Puzzle;;;;;0;;;;;
mp_bio;Bio-hazard Battle;Sega Classics;;1993;Sega;Shoot-'Em-Up;;;;;0;;;;;
blockgal;Block Gal;Sega Classics;;1987;Sega - Vic Tokai;Breakout;;;;;0;;;;;
bloxeed;Bloxeed;Sega Classics;;1989;Sega;Puzzle;;;;;0;;;;;
bodyslam;Body Slam;Sega Classics;;1986;Sega;Sports - Wrestling;;;;;0;;;;;
bnzabros;Bonanza Bros;Sega Classics;;1990;Sega;Platform;;;;;0;;;;;
brdrline;Borderline;Sega Classics;;1981;Sega;Shooter;;;;;0;;;;;
borench;Borench;Sega Classics;;1990;Sega;Maze;;;;;0;;;;;
buckrog;Buck Rogers: Planet of Zoom;Sega Classics;;1982;Sega;Shooter;;;;;0;;;;;
bullet;Bullet;Sega Classics;;1987;Sega;Shooter;;;;;0;;;;;
brival;Burning Rival;Sega Classics;;1992;Sega;Fighter;;;;;0;;;;;
mt_calga;California Games;Sega Classics;;1991;Sega;Sports - Compilation;;;;;0;;;;;
calorie;Calorie Kun vs Moguranian;Sega Classics;;1986;Sega;Maze;;;;;0;;;;;
carnival;Carnival;Sega Classics;;1980;Sega;Shoot-'Em-Up;;;;;0;;;;;
