#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
102 Dalmatians - Puppies to the Rescue;102 Dalmatians - Puppies to the Rescue;Sega Dreamcast;;;;;;;;;;;;;;;;;;
18 Wheeler - American Pro Trucker;18 Wheeler - American Pro Trucker;Sega Dreamcast;;;;;;;;;;;;;;;;;;
4 Wheel Thunder;4 Wheel Thunder;Sega Dreamcast;;;;;;;;;;;;;;;;;;
4X4 Evo;4X4 Evo;Sega Dreamcast;;;;;;;;;;;;;;;;;;
90 Minutes - Sega Championship Football;90 Minutes - Sega Championship Football;Sega Dreamcast;;;;;;;;;;;;;;;;;;
AirForce Delta;AirForce Delta;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Alice Dreams Tournament;Alice Dreams Tournament;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Alien Front Online;Alien Front Online;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Alone in the Dark - The New Nightmare Disc 1;Alone in the Dark - The New Nightmare Disc 1;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Alone in the Dark - The New Nightmare Disc 2;Alone in the Dark - The New Nightmare Disc 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Aqua GT;Aqua GT;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Armada;Armada;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Army Men Sarges Heroes;Army Men Sarges Heroes;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Bang! Gunship Elite (USA);Bang! Gunship Elite (USA);Sega Dreamcast;;;;;;;;;;;;;;;;;;
Bangai-O;Bangai-O;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Blue Stinger;Blue Stinger;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Bomberman Online;Bomberman Online;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Border Down;Border Down;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Buggy Heat;Buggy Heat;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Buzz Lightyear of Star Command;Buzz Lightyear of Star Command;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Cannon Spike;Cannon Spike;Sega Dreamcast;;;;;;;;;;;;;;;;;;
