#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
5 in 1 Funpak (USA, Europe);5 in 1 Funpak;Sega Game Gear;;1994;Beam Software;Miscellaneous/Board Games;;;;;0;;;;;
Addams Family, The (USA, Europe);Addams Family, The;Sega Game Gear;;1994;Arc Developments;Action/Platformer;;;;;0;;;;;
Adventures of Batman & Robin, The (USA, Europe);Adventures of Batman & Robin, The;Sega Game Gear;;1995;Novotrade;Action/General;;;;;0;;;;;
Aerial Assault (World) (v1.1);Aerial Assault;Sega Game Gear;;1992;Sega;Action/Shooter;;;;;0;;;;;
Aladdin (USA, Europe);Aladdin;Sega Game Gear;;1994;Sims;Action/Platformer;;;;;0;;;;;
Alien 3 (USA, Europe);Alien 3;Sega Game Gear;;1994;Probe Entertainment;Action/Platformer;;;;;0;;;;;
Alien Syndrome (USA, Europe);Alien Syndrome;Sega Game Gear;;1992;Sims;Action/General;;;;;0;;;;;
Andre Agassi Tennis (USA, Europe);Andre Agassi Tennis;Sega Game Gear;;1994;Spidersoft;Sports/Tennis;;;;;0;;;;;
Arcade Classics (USA, Europe);Arcade Classics;Sega Game Gear;;1996;Sega;Miscellaneous/Compilation;;;;;0;;;;;
Arch Rivals (USA, Europe);Arch Rivals;Sega Game Gear;;1992;Arc Developments;Sports/Basketball;;;;;0;;;;;
Arena (USA, Europe);Arena;Sega Game Gear;;1996;Eden Entertainment Software;Action/Shooter;;;;;0;;;;;
Ariel the Little Mermaid (USA, Europe);Ariel the Little Mermaid;Sega Game Gear;;1992;Blue Sky Software;Action/General;;;;;0;;;;;
Asterix and the Great Rescue (USA);Asterix and the Great Rescue;Sega Game Gear;;1995;Core Design;Action/Platformer;;;;;0;;;;;
Ax Battler - A Legend of Golden Axe (USA, Europe) (v2.4);Ax Battler: A Legend of Golden Axe;Sega Game Gear;;1991;Aspect;Action/General;;;;;0;;;;;
Ayrton Senna's Super Monaco GP II (USA, Europe);Ayrton Senna's Super Monaco GP II;Sega Game Gear;;1992;Sega;Driving/Racing;;;;;0;;;;;
Baku Baku Animal (USA);Baku Baku Animal;Sega Game Gear;;1996;Minato Giken;Puzzle/Miscellaneous;;;;;0;;;;;
Bartman Meets Radioactive Man (USA, Europe);Bartman Meets Radioactive Man;Sega Game Gear;;1992;Imagineering;Action/Platformer;;;;;0;;;;;
