#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);Sega Genesis Multiplayer;;1994;Sony Imagesoft;Action;2;;;;;;;;;
Adventures of Batman & Robin, The (USA);Adventures of Batman & Robin, The (USA);Sega Genesis Multiplayer;;1995;Sega;Action;2;;;;;;;;;
Adventures of Mighty Max, The (USA);Adventures of Mighty Max, The (USA);Sega Genesis Multiplayer;;1994;Ocean;Action / Platform;;;;;;;;;;
Aerobiz (USA);Aerobiz (USA);Sega Genesis Multiplayer;;1992;Koei;Strategy;;;;;;;;;;
Aerobiz Supersonic (USA);Aerobiz Supersonic (USA);Sega Genesis Multiplayer;;1993;Koei;Construction and Management Simulation;4+;;;;;;;;;
Air Buster (USA);Air Buster (USA);Sega Genesis Multiplayer;;1991;Kaneko;Action / Shooter;2;;;;;;;;;
Alien Storm (World);Alien Storm (World);Sega Genesis Multiplayer;;1991;Sega;Action;2;;;;;;;;;
Altered Beast (USA, Europe);Altered Beast (USA, Europe);Sega Genesis Multiplayer;;1988;Sega;Action;2;;;;;;;;;
Arcade Classics (USA, Europe);Arcade Classics (USA, Europe);Sega Genesis Multiplayer;;1996;Sega;Action;2;;;;;;;;;
Arcus Odyssey (USA);Arcus Odyssey (USA);Sega Genesis Multiplayer;;1991;Renovation;Action / Role-Playing;2;;;;;;;;;
Battletoads & Double Dragon (USA);Battletoads & Double Dragon (USA);Sega Genesis Multiplayer;;1993;Tradewest;Action;2;;;;;;;;;
Battletoads (World);Battletoads (World);Sega Genesis Multiplayer;;1991;Tradewest;Action;2;;;;;;;;;
Battle Squadron (USA, Europe);Battle Squadron (USA, Europe);Sega Genesis Multiplayer;;1990;Electronic Arts;Shooter;2;;;;;;;;;
BattleTech - A Game of Armored Combat (USA);BattleTech - A Game of Armored Combat (USA);Sega Genesis Multiplayer;;1994;Extreme;Action;2;;;;;;;;;
Batman Forever (World);Batman Forever (World);Sega Genesis Multiplayer;;1995;Acclaim;Action / Fighting;2;;;;;;;;;
Beavis and Butt-Head (USA);Beavis and Butt-Head (USA);Sega Genesis Multiplayer;;1994;Viacom;Action;;;;;;;;;;
Berenstain Bears' Camping Adventure, The (USA);Berenstain Bears' Camping Adventure, The (USA);Sega Genesis Multiplayer;;1993;Sega;Action / Platform;1;;;;;;;;;
