#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);Sega Genesis;;1994;Sony Imagesoft;Action;2;;;;;;;;;
688 Attack Sub (USA, Europe);688 Attack Sub (USA, Europe);Sega Genesis;;1991;SEGA Enterprises Ltd.;Strategy;1;;;;;;;;;
AAAHH!!! Real Monsters (USA, Europe);AAAHH!!! Real Monsters (USA, Europe);Sega Genesis;;1995;Viacom;Platform;;;;;;;;;;
ATP Tour Championship Tennis (USA);ATP Tour Championship Tennis (USA);Sega Genesis;;1994;Sega;Sports;;;;;;;;;;
AWS Pro Moves Soccer (USA);AWS Pro Moves Soccer (USA);Sega Genesis;;;;;;;;;;;;;;
Aa Harimanada (Japan);Aa Harimanada (Japan);Sega Genesis;;1993;ASK;Fighting;2;;;;;;;;;
Action 52 (USA) (Unl);Action 52 (USA) (Unl);Sega Genesis;;1993;Active Enterprises;Action;2;;;;;;;;;
Addams Family Values (Europe) (En,Fr,De);Addams Family Values (Europe) (En,Fr,De);Sega Genesis;;1994;Ocean Software;Action / Role-Playing;1;;;;;;;;;
Addams Family, The (USA, Europe);Addams Family, The (USA, Europe);Sega Genesis;;1994;Flying Edge;Action;;;;;;;;;;
Advanced Busterhawk Gleylancer (Japan);Advanced Busterhawk Gleylancer (Japan);Sega Genesis;;1992;Masaya;Shooter;1;;;;;;;;;
Adventures of Batman & Robin, The (USA);Adventures of Batman & Robin, The (USA);Sega Genesis;;1995;Sega;Action;2;;;;;;;;;
Adventures of Mighty Max, The (USA);Adventures of Mighty Max, The (USA);Sega Genesis;;1994;Ocean;Action / Platform;;;;;;;;;;
Adventures of Rocky and Bullwinkle and Friends, The (USA);Adventures of Rocky and Bullwinkle and Friends, The (USA);Sega Genesis;;1993;Absolute Entertainment;Platform;;;;;;;;;;
Aero the Acro-Bat (USA);Aero the Acro-Bat (USA);Sega Genesis;;1993;Sunsoft;Action / Platform;1;;;;;;;;;
Aero the Acro-Bat 2 (USA);Aero the Acro-Bat 2 (USA);Sega Genesis;;1994;Sunsoft;Platform;;;;;;;;;;
Aerobiz (USA);Aerobiz (USA);Sega Genesis;;1992;Koei;Strategy;;;;;;;;;;
Aerobiz Supersonic (USA);Aerobiz Supersonic (USA);Sega Genesis;;1993;Koei;Construction and Management Simulation;4+;;;;;;;;;
After Burner II (USA, Europe);After Burner II (USA, Europe);Sega Genesis;;1990;Sega;Shooter;1;;;;;;;;;
Air Buster (USA);Air Buster (USA);Sega Genesis;;1991;Kaneko;Action / Shooter;2;;;;;;;;;
Air Diver (USA);Air Diver (USA);Sega Genesis;;1990;Seismic;Action / Shooter;1;;;;;;;;;
