#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Ace of Aces (UE) [!];Ace of Aces;Sega Master System;;1991;;;;;;;;;;;;
Action Fighter (UE) [!];Action Fighter;Sega Master System;;1986;;;;;;;;;;;;
Aerial Assault (UE) [!];Aerial Assault;Sega Master System;;1990;;;;;;;;;;;;
After Burner (UE) [!];After Burner;Sega Master System;;1988;;;;;;;;;;;;
Air Rescue (UE) [!];Air Rescue;Sega Master System;;1992;;;;;;;;;;;;
Aladdin (UE) [!];Aladdin;Sega Master System;;1994;;;;;;;;;;;;
Alex Kidd in Miracle World (UE) [o1];Alex Kidd in Miracle World;Sega Master System;;1987;;;;;;;;;;;;
Alex Kidd in Shinobi World (UE) [!];Alex Kidd in Shinobi World;Sega Master System;;1990;;;;;;;;;;;;
Alex Kidd - High-Tech World (USA, Europe);Alex Kidd: High-Tech World;Sega Master System;;1989;;;;;;;;;;;;
Alex Kidd - The Lost Stars (UE) [!];Alex Kidd: The Lost Stars;Sega Master System;;1988;;;;;;;;;;;;
alf (USA);ALF;Sega Master System;;1989;;;;;;;;;;;;
Alien 3 (UE) [!];Alien 3;Sega Master System;;1992;;;;;;;;;;;;
Alien Storm (UE) [!];Alien Storm;Sega Master System;;1991;;;;;;;;;;;;
Alien Syndrome (UE) [!];Alien Syndrome;Sega Master System;;1988;;;;;;;;;;;;
Altered Beast (UE) [!];Altered Beast;Sega Master System;;1989;;;;;;;;;;;;
Reggie Jackson Baseball (U) [!];American Baseball;Sega Master System;;1989;;;;;;;;;;;;
Walter Payton Football (U) [!];American Pro Football;Sega Master System;;1989;;;;;;;;;;;;
Arcade Smash Hits (UE) [!];Arcade Smash Hits;Sega Master System;;1992;;;;;;;;;;;;
Asterix (UE) [!];Astérix;Sega Master System;;1992;;;;;;;;;;;;
Asterix and the Secret Mission (UE) [!];Astérix and the Secret Mission;Sega Master System;;1994;;;;;;;;;;;;
Astro Warrior (UE) [b1][o1];Astro Warrior;Sega Master System;;1986;;;;;;;;;;;;
Ayrton Senna's Super Monaco GP II (E) [!];Ayrton Senna's Super Monaco GP II;Sega Master System;;1992;;;;;;;;;;;;
Aztec Adventure - The Golden Road to Paradise (UE) [!];Aztec Adventure: The Golden Road to Paradise;Sega Master System;;1988;;;;;;;;;;;;
Bank Panic (UE) [a1];Bank Panic;Sega Master System;;1987;;;;;;;;;;;;
Basket Ball Nightmare (UE) [!];Basket Ball Nightmare;Sega Master System;;1989;;;;;;;;;;;;
Batman Returns (UE) [!];Batman Returns;Sega Master System;;1993;;;;;;;;;;;;
Battle Out Run (UE) [!];Battle Out Run;Sega Master System;;1989;;;;;;;;;;;;
Black Belt (UE) [!];Black Belt;Sega Master System;;1987;;;;;;;;;;;;
Bomber Raid (UE) [!];Bomber Raid;Sega Master System;;1989;;;;;;;;;;;;
Bonanza Bros (UE) [!];Bonanza Bros.;Sega Master System;;1991;;;;;;;;;;;;
Bram Stoker's Dracula (UE) [!];Bram Stoker's Dracula;Sega Master System;;1993;;;;;;;;;;;;
Bubble Bobble (E) [!];Bubble Bobble;Sega Master System;;1991;;;;;;;;;;;;
Buggy Run (UE) [!];Buggy Run;Sega Master System;;1993;;;;;;;;;;;;
California Games (UE) [!];California Games;Sega Master System;;1989;;;;;;;;;;;;
California Games 2 (UE) [!];California Games II;Sega Master System;;1993;;;;;;;;;;;;
Captain Silver (E) [!];Captain Silver;Sega Master System;;1988;;;;;;;;;;;;
Casino Games (UE) [!];Casino Games;Sega Master System;;1989;;;;;;;;;;;;
Castle of Illusion Starring Mickey Mouse (U) (V1.1) [!];Castle of Illusion Starring Mickey Mouse;Sega Master System;;1991;;;;;;;;;;;;
Champions of Europe (UE) [!];Champions of Europe;Sega Master System;;1992;;;;;;;;;;;;
Championship Hockey (UE) [!];Championship Hockey;Sega Master System;;1995;;;;;;;;;;;;
Choplifter (UE) [!];Choplifter;Sega Master System;;1987;;;;;;;;;;;;
Chuck Rock (E) [!];Chuck Rock;Sega Master System;;1992;;;;;;;;;;;;
Chuck Rock II - Son of Chuck (E) [!];Chuck Rock II: Son of Chuck;Sega Master System;;1993;;;;;;;;;;;;
Cloud Master (JUE);Cloud Master;Sega Master System;;1989;;;;;;;;;;;;
Columns (UE) [!];Columns;Sega Master System;;1990;;;;;;;;;;;;
Cool Spot (UE) [!];Cool Spot;Sega Master System;;1993;;;;;;;;;;;;
Cosmic Spacehead (E) [!];Cosmic Spacehead;Sega Master System;;1993;;;;;;;;;;;;
Cyborg Hunter (UE) [!];Cyborg Hunter;Sega Master System;;1989;;;;;;;;;;;;
Daffy Duck in Hollywood (UE) [!];Daffy Duck in Hollywood;Sega Master System;;1994;;;;;;;;;;;;
Dead Angle (UE) [!];Dead Angle;Sega Master System;;1990;;;;;;;;;;;;
Desert Strike (UE) [!];Desert Strike;Sega Master System;;1992;;;;;;;;;;;;
Dick Tracy (UE) [!];Dick Tracy;Sega Master System;;1991;;;;;;;;;;;;
Double Dragon (UE) [!];Double Dragon;Sega Master System;;1988;;;;;;;;;;;;
Double Hawk (E) [!];Double Hawk;Sega Master System;;1990;;;;;;;;;;;;
Dr. Robotnik's Mean Bean Machine (UE) [!];Dr. Robotnik's Mean Bean Machine;Sega Master System;;1994;;;;;;;;;;;;
Dragon Crystal (E) [!];Dragon Crystal;Sega Master System;;1991;;;;;;;;;;;;
Dragon - The Bruce Lee Story (UE) [!];Dragon: The Bruce Lee Story;Sega Master System;;1994;;;;;;;;;;;;
Dynamite Duke (UE) [!];Dynamite Duke;Sega Master System;;1991;;;;;;;;;;;;
Dynamite Dux (UE) [!];Dynamite Dux;Sega Master System;;1989;;;;;;;;;;;;
E-SWAT - City Under Siege (UE) [!];E-SWAT;Sega Master System;;1990;;;;;;;;;;;;
Ecco the Dolphin (UE);Ecco the Dolphin;Sega Master System;;1994;;;;;;;;;;;;
Jungle Book, The (UE) [!];El Libro de la Selva;Sega Master System;;1993;;;;;;;;;;;;
Lion King, The (UE) [!];El Rey León;Sega Master System;;1994;;;;;;;;;;;;
Enduro Racer (UE) [!];Enduro Racer;Sega Master System;;1987;;;;;;;;;;;;
F-16 Fighting Falcon (UE) [!];F-16 Fighter;Sega Master System;;1987;;;;;;;;;;;;
F1  (Europe);F1;Sega Master System;;1993;;;;;;;;;;;;
Fantastic Dizzy (E) [!];Fantastic Dizzy;Sega Master System;;1993;;;;;;;;;;;;
Fantasy Zone (UE) [!];Fantasy Zone;Sega Master System;;1987;;;;;;;;;;;;
Fantasy Zone 2 - The Tears of Opa-Opa (UE) [!];Fantasy Zone II;Sega Master System;;1988;;;;;;;;;;;;
Fire & Forget 2 (E) [!];Fire & Forget II;Sega Master System;;1990;;;;;;;;;;;;
Forgotten Worlds (UE) [!];Forgotten Worlds;Sega Master System;;1991;;;;;;;;;;;;
G-Loc Air Battle (E) [!];G-LOC Air Battle;Sega Master System;;1991;;;;;;;;;;;;
Gain Ground (UE) [!];Gain Ground;Sega Master System;;1991;;;;;;;;;;;;
Galaxy Force (UE) [!];Galaxy Force;Sega Master System;;1989;;;;;;;;;;;;
Gangster Town (UE) [!];Gangster Town;Sega Master System;;1987;;;;;;;;;;;;
Gauntlet (UE) [!];Gauntlet;Sega Master System;;1990;;;;;;;;;;;;
George Foreman's KO Boxing (E) [!];George Foreman's KO Boxing;Sega Master System;;1992;;;;;;;;;;;;
Ghost House (UE) [o1];Ghost House;Sega Master System;;1987;;;;;;;;;;;;
Ghostbusters (UE) [!];Ghostbusters;Sega Master System;;1989;;;;;;;;;;;;
Ghouls'n Ghosts (USA, Europe);Ghouls'n Ghosts;Sega Master System;;1991;;;;;;;;;;;;
Global Defense (UE) [!];Global Defense;Sega Master System;;1988;;;;;;;;;;;;
Mick & Mack as The Global Gladiators (E) [!];Global Gladiators;Sega Master System;;1993;;;;;;;;;;;;
Golden Axe (UE) [!];Golden Axe;Sega Master System;;1989;;;;;;;;;;;;
Golden Axe Warrior (UE) [!];Golden Axe Warrior;Sega Master System;;1991;;;;;;;;;;;;
GP Rider (U) [!];GP Rider;Sega Master System;;1993;;;;;;;;;;;;
Great Baseball (UE) [!];Great Baseball;Sega Master System;;1987;;;;;;;;;;;;
Great Basketball (UEB) [!];Great Basketball;Sega Master System;;1987;;;;;;;;;;;;
Great Football (UE) [o1];Great Football;Sega Master System;;1987;;;;;;;;;;;;
Great Golf (UE) [o1];Great Golf;Sega Master System;;1986;;;;;;;;;;;;
Great Ice Hockey (Japan, USA);Great Ice Hockey;Sega Master System;;1987;;;;;;;;;;;;
Great Soccer (E);Great Soccer;Sega Master System;;1985;;;;;;;;;;;;
Great Volleyball (UE) [b1];Great Volleyball;Sega Master System;;1987;;;;;;;;;;;;
Hang-On (E) [!];Hang-On;Sega Master System;;1986;;;;;;;;;;;;
James 'Buster' Douglas Knockout Boxing (U) [!];Heavyweight Champ;Sega Master System;;1991;;;;;;;;;;;;
