#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
18wheelr;18wheelr;Sega Naomi;;;;;;;;;;;;;;
alienfnt;alienfnt;Sega Naomi;;;;;;;;;;;;;;
alpilot;alpilota;Sega Naomi;;;;;;;;;;;;;;
asndynmt;asndynmt;Sega Naomi;;;;;;;;;;;;;;
ausfache;ausfache;Sega Naomi;;;;;;;;;;;;;;
azumanga;azumanga;Sega Naomi;;;;;;;;;;;;;;
bdrdown;bdrdown;Sega Naomi;;;;;;;;;;;;;;
capsnk;capsnk;Sega Naomi;;;;;;;;;;;;;;
cfield;cfield;Sega Naomi;;;;;;;;;;;;;;
chocomk;chocomk;Sega Naomi;;;;;;;;;;;;;;
cleoftp;cleoftp;Sega Naomi;;;;;;;;;;;;;;
crackndj;crackndj;Sega Naomi;;;;;;;;;;;;;;
crzytaxi;crzytaxi;Sega Naomi;;;;;;;;;;;;;;
csmash;csmash;Sega Naomi;;;;;;;;;;;;;;
cspike;cspike;Sega Naomi;;;;;;;;;;;;;;
cvs2;cvs2;Sega Naomi;;;;;;;;;;;;;;
cvsgd;cvsgd;Sega Naomi;;;;;;;;;;;;;;
derbyo2k;derbyo2k;Sega Naomi;;;;;;;;;;;;;;
derbyoc;derbyoc;Sega Naomi;;;;;;;;;;;;;;
doa2;doa2;Sega Naomi;;;;;;;;;;;;;;
dybb99;dybb99;Sega Naomi;;;;;;;;;;;;;;
dybbnao;dybbnao;Sega Naomi;;;;;;;;;;;;;;
dygolf;dygolf;Sega Naomi;;;;;;;;;;;;;;
ggram2;ggram2;Sega Naomi;;;;;;;;;;;;;;
ggx;ggx;Sega Naomi;;;;;;;;;;;;;;
ggxx;ggxx;Sega Naomi;;;;;;;;;;;;;;
ggxxac;ggxxac;Sega Naomi;;;;;;;;;;;;;;
ggxxrl;ggxxrl;Sega Naomi;;;;;;;;;;;;;;
ggxxsla;ggxxsla;Sega Naomi;;;;;;;;;;;;;;
gram2000;gram2000;Sega Naomi;;;;;;;;;;;;;;
gundmgd;gundmgd;Sega Naomi;;;;;;;;;;;;;;
gundmxgd;gundmxgd;Sega Naomi;;;;;;;;;;;;;;
gunsur2;gunsur2;Sega Naomi;;;;;;;;;;;;;;
gwing2;gwing2;Sega Naomi;;;;;;;;;;;;;;
hmgeo;hmgeo;Sega Naomi;;;;;;;;;;;;;;
ikaruga;ikaruga;Sega Naomi;;;;;;;;;;;;;;
illvelo;illvelo;Sega Naomi;;;;;;;;;;;;;;
inunoos;inunoos;Sega Naomi;;;;;;;;;;;;;;
jambo;jambo;Sega Naomi;;;;;;;;;;;;;;
jingystm;jingystm;Sega Naomi;;;;;;;;;;;;;;
karous;karous;Sega Naomi;;;;;;;;;;;;;;
keyboard;keyboard;Sega Naomi;;;;;;;;;;;;;;
kurucham;kurucham;Sega Naomi;;;;;;;;;;;;;;
luptype;luptype;Sega Naomi;;;;;;;;;;;;;;
mamonoro;mamonoro;Sega Naomi;;;;;;;;;;;;;;
