#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
177 (1986) (Macadamia);177;Sharp X68000;;1986;;;;;;;;;;;;
15 Puzzle (1991)(Sygnas);15 Puzzle;Sharp X68000;;1991;;;;;;;;;;;;
2096 AD (1991)(Home Data)(Craig);2069 Ad;Sharp X68000;;1991;;;;;;;;;;;;
3 Danhenkei Meka Fuzzy (Craig);3 Danhenkei Meka Fuzzy;Sharp X68000;;1988;;;;;;;;;;;;
37 Degrees C Kai No Bouken (19xx)(68 Bank);37 Degrees C Kai No Bouken;Sharp X68000;;1991;;;;;;;;;;;;
38 Man Kilo No Kokuu (1989)(System Sacom)(Craig);38 Man Kilo No Kokuu;Sharp X68000;;1989;;;;;;;;;;;;
A-Jax (1989)(Craig);A-Jax;Sharp X68000;;1989;;;;;;;;;;;;
Aakushu Youen No Jidai Wo Koete (1990)(Wolf Team);Aakushu Youen No Jidai Wo Koete;Sharp X68000;;1990;;;;;;;;;;;;
Access Heat (1995)(Fox Factory);Access Heat;Sharp X68000;;1995;;;;;;;;;;;;
Active Shoot (Satou Kouji);Active Shoot;Sharp X68000;;1999;;;;;;;;;;;;
Afterburner II (Dempa) (Craig);Afterburner II;Sharp X68000;;1989;;;;;;;;;;;;
Aikoku Pro Uso-68K (1990)(Hazama Kuroo);Aikoku Pro Uso-68K;Sharp X68000;;1990;;;;;;;;;;;;
Air Hork (PCCM);Air Hork;Sharp X68000;;1990;;;;;;;;;;;;
Red Riding Hood Cha Cha Cha English Patched;Akazukin Cha Cha Cha;Sharp X68000;;1995;;;;;;;;;;;;
Akazukin Monogatari (199x)(Tera Tera Soft);Akazukin Monogatari;Sharp X68000;;1988;;;;;;;;;;;;
Akiko (Ides) (Craig);Akiko;Sharp X68000;;1993;;;;;;;;;;;;
Akumajou Dracula (1993)(Konami);Akumajou Dracula;Sharp X68000;;1993;;;;;;;;;;;;
Alfarne (Shilpheed Software);Alfarne;Sharp X68000;;1989;;;;;;;;;;;;
Algarna (MNM Software) (Craig);Algarna;Sharp X68000;;1991;;;;;;;;;;;;
Alien Syndrome (Dempa);Alien Syndrome;Sharp X68000;;1992;;;;;;;;;;;;
Alien Tennis Chikyuu No Kiki (19xx)(Killer);Alien Tennis Chikyuu No Kiki;Sharp X68000;;1990;;;;;;;;;;;;
Alshark (1991)(Right Stuff)(Craig);Alshark;Sharp X68000;;1991;;;;;;;;;;;;
Amamori Pro Uso-68K (1991)(Hazama Kuroo);Amamori Pro Uso-68K;Sharp X68000;;1991;;;;;;;;;;;;
Ambivalenz (1994)(Alice Soft)(Craig);Ambivalenz;Sharp X68000;;1994;;;;;;;;;;;;
Ame Game 0.90 (19xx)(Shin - Kisshin);Ame Game 0.90;Sharp X68000;;19XX;;;;;;;;;;;;
American Heroes BF 92 Extra Version (1992)(LTT - Kuma);American Heroes BF 92 Extra Version;Sharp X68000;;1992;;;;;;;;;;;;
AMS2;Ams2;Sharp X68000;;19XX;;;;;;;;;;;;
Angel Dive (Yamada Kikaku);Angel Dive;Sharp X68000;;1996;;;;;;;;;;;;
Ani Mahjongg V3 (1993)(Sogna)(Craig);Ani Mahjongg;Sharp X68000;;1993;;;;;;;;;;;;
Aoki Ookami To Shiroki Meshika Genghis Khan (1989)(Koei)(Craig);Aoki Ookami To Shiroki Meshika Genghis Khan;Sharp X68000;;1989;;;;;;;;;;;;
