#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1941;1941: Counter Attack;Shmups Collection;;1990;;;;;;;;;;;;
1942;1942;Shmups Collection;;1984;;;;;;;;;;;;
1943kai;1943 Kai;Shmups Collection;;1988;;;;;;;;;;;;
1943;1943: The Battle of Midway;Shmups Collection;;1987;;;;;;;;;;;;
1944;1944: The Loop Master;Shmups Collection;;2000;;;;;;;;;;;;
1945kiii;1945k III;Shmups Collection;;2000;;;;;;;;;;;;
19xx;19XX: The War Against Destiny;Shmups Collection;;1995;;;;;;;;;;;;
4dwarrio;4-D Warriors;Shmups Collection;;1985;;;;;;;;;;;;
aerofgt;Aero Fighters;Shmups Collection;;1992;;;;;;;;;;;;
aerofgts;Aero Fighters Special;Shmups Collection;;1992;;;;;;;;;;;;
aburner2;After Burner II;Shmups Collection;;1987;;;;;;;;;;;;
airattck;Air Attack;Shmups Collection;;1996;;;;;;;;;;;;
airbustr;Air Buster;Shmups Collection;;1990;;;;;;;;;;;;
airduel;Air Duel;Shmups Collection;;1990;;;;;;;;;;;;
agallet;Air Gallet;Shmups Collection;;1996;;;;;;;;;;;;
airwolf;Air Wolf;Arcade;;1987;;;;;;;;;;;;
ajax;Ajax;Shmups Collection;;1987;;;;;;;;;;;;
Akai Katana Shin;Akai Katana Shin;NESiCAxLive;;2012;;;;;;;;;;;;
alpham2;Alpha Mission II;Shmups Collection;;1991;;;;;;;;;;;;
androdun;Andro Dunos;Shmups Collection;;1992;;;;;;;;;;;;
arbalest;Arbalester;Shmups Collection;;1989;;;;;;;;;;;;
argus;Argus;Shmups Collection;;1986;;;;;;;;;;;;
armedf;Armed Formation;Shmups Collection;;1988;;;;;;;;;;;;
ashura;Ashura Blaster;Shmups Collection;;1990;;;;;;;;;;;;
aso;ASO - Armored Scrum Object;Shmups Collection;;1985;;;;;;;;;;;;
asuka;Asuka & Asuka;Shmups Collection;;1988;;;;;;;;;;;;
batrider;Batrider;Shmups Collection;;1998;;;;;;;;;;;;
batsugun;Batsugun;Shmups Collection;;1993;;;;;;;;;;;;
bbakraid;Battle Bakraid;Shmups Collection;;1999;;;;;;;;;;;;
bgaregga;Battle Garegga;Shmups Collection;;1996;;;;;;;;;;;;
bermudat;Bermuda Triangle;Shmups Collection;;1987;;;;;;;;;;;;
bioatack;Bio Attack;Shmups Collection;;1983;;;;;;;;;;;;
bioship;Bio-Ship Paladin;Shmups Collection;;1990;;;;;;;;;;;;
blastoff;Blast Off;Shmups Collection;;1989;;;;;;;;;;;;
blazeon;Blaze On;Shmups Collection;;1992;;;;;;;;;;;;
blazstar;Blazing Star;Shmups Collection;;1998;;;;;;;;;;;;
blswhstl;Blazing Star;Shmups Collection;;1998;;;;;;;;;;;;
bluehawk;Blue Hawk;Shmups Collection;;1993;;;;;;;;;;;;
brain;Brain;Shmups Collection;;1986;;;;;;;;;;;;
brvblade;Brave Blade;Shmups Collection;;1999;;;;;;;;;;;;
ctomaday;Captain Tomaday;Shmups Collection;;1999;;;;;;;;;;;;
cawing;Carrier Air Wing;Shmups Collection;;1990;;;;;;;;;;;;
