#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
19 Part 1 - Boot Camp (Europe);19 Part 1: Boot Camp;Sinclair ZX Spectrum;;1988;;;;;;;;;;;;
1942 Mission (Europe);1942 Mission;Sinclair ZX Spectrum;;1985;;;;;;;;;;;;
1943 - The Battle of Midway (Europe);1943: The Battle of Midway;Sinclair ZX Spectrum;;1988;;;;;;;;;;;;
1994 - Ten Years After (Europe);1994: Ten Years After;Sinclair ZX Spectrum;;1983;;;;;;;;;;;;
3-Deep Space (Europe);3-Deep Space;Sinclair ZX Spectrum;;1984;;;;;;;;;;;;
3D Interceptor (Spain);3D Interceptor;Sinclair ZX Spectrum;;1984;;;;;;;;;;;;
3D Monster Chase (Europe);3D Monster Chase;Sinclair ZX Spectrum;;1984;;;;;;;;;;;;
A Day in the Life (Europe);A Day in the Life;Sinclair ZX Spectrum;;1985;;;;;;;;;;;;
Aaargh! (Europe);Aaargh!;Sinclair ZX Spectrum;;1989;;;;;;;;;;;;
Abu Simbel Profanation (Europe);Abu Simbel Profanation;Sinclair ZX Spectrum;;1987;;;;;;;;;;;;
Academy - Tau Ceti II (Europe);Academy: Tau Ceti II;Sinclair ZX Spectrum;;1987;;;;;;;;;;;;
Accelerator (Europe);Accelerator;Sinclair ZX Spectrum;;1984;;;;;;;;;;;;
Action Fighter (Europe);Action Fighter;Sinclair ZX Spectrum;;1989;;;;;;;;;;;;
Action Force II (Europe);Action Force II;Sinclair ZX Spectrum;;1988;;;;;;;;;;;;
Action Reflex (Europe);Action Reflex;Sinclair ZX Spectrum;;1986;;;;;;;;;;;;
Ad Astra (Europe);Ad Astra;Sinclair ZX Spectrum;;1984;;;;;;;;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator;Sinclair ZX Spectrum;;1990;;;;;;;;;;;;
Adventure B - Inca Curse (Europe);Adventure B: Inca Curse;Sinclair ZX Spectrum;;1982;;;;;;;;;;;;
Adventure C - The Ship of Doom (Europe);Adventure C: The Ship of Doom;Sinclair ZX Spectrum;;1982;;;;;;;;;;;;
Adventure D - Espionage Island (Europe);Adventure D: Espionage Island;Sinclair ZX Spectrum;;1982;;;;;;;;;;;;
