#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
1000 Tiny Claws (USA);1000 Tiny Claws;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
20Q (Europe);20Q;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
3 2 1... Supercrash!;3, 2, 1 …Supercrash!;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
3D Twist & Match (USA);3D Twist and Match;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
4x4 Jam (USA);4×4 Jam;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
5-in-1 Arcade Hits (USA);5-in-1 Solitaire;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
A Space Shooter For 2 Bucks! (USA);A Space Shooter for Two Bucks!;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Ace Armstrong Vs. The Alien Scumbags! (USA);Ace Armstrong vs. the Alien Scumbags!;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Actual Crimes Jack The Ripper (USA);Actual Crimes Jack the Ripper;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Rocket Racing (USA);Aero Racer (AKA Rocket Racing);Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Age of Hammer Wars (USA);Age of Hammer Wars;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Age Of Zombies (USA);Age of Zombies;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Alien Havoc (USA);Alien Havoc;Sony PSP Minis;;2009;;;;;;;;;;;;;;;;
Alien Zombie Death (USA);Alien Zombie Death;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Alpha Mission (USA);Alpha Mission;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Ambassador Kane (Europe);Ambassador Kane;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Ancient Game Treasures - Mill (USA);Ancient Game Treasures: Mill;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Apache Overkill (USA);Apache Overkill;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Aquattack! (USA);Aquattack!;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Arcade Darts (USA);Arcade Darts;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Arcade Essentials (Europe);Arcade Essentials;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Arcade Essentials Evolution (Europe);Arcade Essentials Evolution;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Arcade Pool (USA);Arcade Pool;Sony PSP Minis;;2012;;;;;;;;;;;;;;;;
Archibalds Adventures (USA);Archibald's Adventures;Sony PSP Minis;;2010;;;;;;;;;;;;;;;;
Athena (USA);Athena;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
BABEL - The King of the Blocks (USA);Babel: The King of the Blocks;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Basha Baloot (Europe);Basha Baloot;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Basha Card Game Collection (Europe);Basha Card Game Collection;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Basha Tarneeb (Europe);Basha Tarneeb;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
Basha Trix (Europe);Basha Trix;Sony PSP Minis;;2011;;;;;;;;;;;;;;;;
