#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
From Russia with Love - 007;007: From Russia with Love;Sony PSP;;2006;;;;;;;;;;;;
300 - March to Glory;300: March to Glory;Sony PSP;;2007;;;;;;;;;;;;
50 Cent Bulletproof;50 Cent: Bulletproof G Unit Edition;Sony PSP;;2006;;;;;;;;;;;;
7 Wonders of The Ancient World;7 Wonders of the Ancient World;Sony PSP;;2009;;;;;;;;;;;;
After_Burner_Black_Falcon_USA;After Burner Black Falcon;Sony PSP;;2007;;;;;;;;;;;;
Air Conflicts - Aces of World War II;Air Conflicts: Aces of World War II;Sony PSP;;2009;;;;;;;;;;;;
Alien Syndrome;Alien Syndrome;Sony PSP;;2007;;;;;;;;;;;;
Aliens vs. Predator - Requiem (Europe);Aliens vs. Predator: Requiem;Sony PSP;;2007;;;;;;;;;;;;
Ape Escape - On the Loose;Ape Escape: On the Loose;Sony PSP;;2005;;;;;;;;;;;;
Ape Academy;Ape Escape Academy;Sony PSP;;2006;;;;;;;;;;;;
Ape Academy 2;Ape Escape Academy 2;Sony PSP;;2006;;;;;;;;;;;;
Ape Quest;Ape Quest;Sony PSP;;2008;;;;;;;;;;;;
Army of Two - The 40th Day (USA);Army of Two: The 40th Day;Sony PSP;;2010;;;;;;;;;;;;
Arthur And The Invisibles;Arthur and the Invisibles;Sony PSP;;2007;;;;;;;;;;;;
Asphalt - Urban GT 2 (Europe);Asphalt: Urban GT 2;Sony PSP;;2007;;;;;;;;;;;;
Assassins Creed Bloodlines;Assassin's Creed: Bloodlines;Sony PSP;;2009;;;;;;;;;;;;
Asterix & Obelix XXL 2;Asterix & Obelix XXL 2: Mission - Wifix;Sony PSP;;2006;;;;;;;;;;;;
Astro Boy - The Video Game (USA);Astro Boy: The Video Game;Sony PSP;;2009;;;;;;;;;;;;
ATV_Offroad_Fury_Pro_USA;ATV Offroad Fury Pro;Sony PSP;;2006;;;;;;;;;;;;
Avatar - The Last Airbender;Avatar: The Last Airbender;Sony PSP;;2006;;;;;;;;;;;;
BattleZone (Europe);Battlezone;Sony PSP;;2006;;;;;;;;;;;;
Ben 10 - Alien Force (USA);Ben 10: Alien Force;Sony PSP;;2008;;;;;;;;;;;;
Ben 10 - Protector of Earth;Ben 10: Protector of Earth;Sony PSP;;2007;;;;;;;;;;;;
Ben 10 Ultimate Alien Cosmic Destruction;Ben 10 Ultimate Alien: Cosmic Destruction;Sony PSP;;2010;;;;;;;;;;;;
Beowulf;Beowulf: The Game;Sony PSP;;2007;;;;;;;;;;;;
Bleach - Heat The Soul 1;Bleach: Heat the Soul;Sony PSP;;2005;;;;;;;;;;;;
Bleach - Heat The Soul 2;Bleach: Heat the Soul 2;Sony PSP;;2005;;;;;;;;;;;;
Bleach - Heat The Soul 3;Bleach: Heat the Soul 3;Sony PSP;;2006;;;;;;;;;;;;
Bleach - Heat The Soul 4;Bleach: Heat the Soul 4;Sony PSP;;2007;;;;;;;;;;;;
Bleach - Heat The Soul 5;Bleach: Heat the Soul 5;Sony PSP;;2008;;;;;;;;;;;;
Bleach - Heat The Soul 6;Bleach: Heat the Soul 6;Sony PSP;;2009;;;;;;;;;;;;
Bleach - Heat The Soul 7;Bleach: Heat the Soul 7;Sony PSP;;2010;;;;;;;;;;;;
Bleach - Soul Carnival;Bleach: Soul Carnival;Sony PSP;;2008;;;;;;;;;;;;
Bleach - Soul Carnival 2;Bleach: Soul Carnival 2;Sony PSP;;2009;;;;;;;;;;;;
Bomberman;Bomberman;Sony PSP;;2006;;;;;;;;;;;;
Bounty Hounds;Bounty Hounds;Sony PSP;;2006;;;;;;;;;;;;
Boxers Road 2 The Real;Boxer's Road 2: The Real;Sony PSP;;2006;;;;;;;;;;;;
Brandish - The Dark Revenant;Brandish: The Dark Revenant;Sony PSP;;2015;;;;;;;;;;;;
Bubble Bobble - Evolution;Bubble Bobble Evolution;Sony PSP;;2006;;;;;;;;;;;;
Burnout Dominator;Burnout Dominator;Sony PSP;;2007;;;;;;;;;;;;
Burnout Legends;Burnout Legends;Sony PSP;;2005;;;;;;;;;;;;
Bust-A-Move Deluxe;Bust-A-Move Deluxe;Sony PSP;;2006;;;;;;;;;;;;
Call of Duty - Roads to Victory;Call of Duty: Roads to Victory;Sony PSP;;2007;;;;;;;;;;;;
Canabalt;Canabalt;Sony PSP;;2012;;;;;;;;;;;;
Capcom Classics Collection - Reloaded;Capcom Classics Collection Reloaded;Sony PSP;;2006;;;;;;;;;;;;
Capcom Classics Collection - Remixed;Capcom Classics Collection Remixed;Sony PSP;;2006;;;;;;;;;;;;
Capcom Puzzle World;Capcom Puzzle World;Sony PSP;;2007;;;;;;;;;;;;
Carnage Heart EXA;Carnage Heart EXA;Sony PSP;;2013;;;;;;;;;;;;
Cart Kings;Cart Kings;Sony PSP;;2011;;;;;;;;;;;;
Castlevania Chronicles (USA);Castlevania Chronicles;Sony PSP;;2008;;;;;;;;;;;;
Chandragupta - Warrior Prince;Chandragupta: Warrior Prince;Sony PSP;;2009;;;;;;;;;;;;
Chili Con Carnage;Chili Con Carnage;Sony PSP;;2007;;;;;;;;;;;;
Cho Aniki Zero;Cho Aniki Zero;Sony PSP;;2010;;;;;;;;;;;;
CID The Dummy;CID: The Dummy;Sony PSP;;2009;;;;;;;;;;;;
Colin McRae Rally 2005 Plus;Colin McRae Rally 2005 Plus;Sony PSP;;2005;;;;;;;;;;;;
Crash Lucha de Titanes;Crash Lucha de Titanes;Sony PSP;;2007;;;;;;;;;;;;
Crash Mind Over Mutants;Crash Mind Over Mutants;Sony PSP;;2008;;;;;;;;;;;;
Crash Tag Team Racing;Crash Tag Team Racing;Sony PSP;;2005;;;;;;;;;;;;
Crisis Core Final Fantasy VII;Crisis Core: Final Fantasy VII;Sony PSP;;2008;;;;;;;;;;;;
Final fantasy - Crystal Defenders;Crystal Defenders;Sony PSP;;2009;;;;;;;;;;;;
Dante's Inferno;Dante's Inferno;Sony PSP;;2010;;;;;;;;;;;;
Darius Burst;Dariusburst;Sony PSP;;2009;;;;;;;;;;;;
Darkstalkers Chronicle - The Chaos Tower;Darkstalkers Chronicle: The Chaos Tower;Sony PSP;;2005;;;;;;;;;;;;
Dave Mirra bmx;Dave Mirra BMX Challenge;Sony PSP;;2006;;;;;;;;;;;;
Daxter;Daxter;Sony PSP;;2006;;;;;;;;;;;;
Dead Head Fred;Dead Head Fred;Sony PSP;;2007;;;;;;;;;;;;
