#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 Racing;007 Racing;Sony Playstation;;2000;;;;;;;;;;;;
007 - The World Is Not Enough;007: El mundo no es suficiente;Sony Playstation;;2000;;;;;;;;;;;;
007 - Tomorrow Never Dies;007: Tomorrow Never Dies;Sony Playstation;;1999;;;;;;;;;;;;
2Xtreme;2Xtreme;Sony Playstation;;1996;;;;;;;;;;;;
3Xtreme;3Xtreme;Sony Playstation;;1999;;;;;;;;;;;;
2002 FIFA World Cup;2002 FIFA World Cup;Sony Playstation;;2002;;;;;;;;;;;;
3, 2, 1, Smurf! My First Racing Game;3, 2, 1, ¡Pitufo! Mi primer juego de carreras;Sony Playstation;;2001;;;;;;;;;;;;
360 Three Sixty;360 Tres Sesenta;Sony Playstation;;1999;;;;;;;;;;;;
3D Baseball;Beisbol 3D;Sony Playstation;;1998;;;;;;;;;;;;
3D Lemmings;3D Lemmings;Sony Playstation;;1995;;;;;;;;;;;;
4-4-2 Soccer;4-4-2 Futbol;Sony Playstation;;2003;;;;;;;;;;;;
40 Winks;40 Winks;Sony Playstation;;1999;;;;;;;;;;;;
4x4 World Trophy;Trofeo mundial de 4x4;Sony Playstation;;1999;;;;;;;;;;;;
5 Star Racing;Carrera de 5 estrellas;Sony Playstation;;2000;;;;;;;;;;;;
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) CD 1;70's Robot Anime: Geppy-X - The Super Boosted Armor - Disc 1;Sony Playstation;;1999;;;;;;;;;;;;
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) CD 2;70's Robot Anime: Geppy-X - The Super Boosted Armor - Disc 2;Sony Playstation;;1999;;;;;;;;;;;;
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) CD 3;70's Robot Anime: Geppy-X - The Super Boosted Armor - Disc 3;Sony Playstation;;1999;;;;;;;;;;;;
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) CD 4;70's Robot Anime: Geppy-X - The Super Boosted Armor - Disc 4;Sony Playstation;;1999;;;;;;;;;;;;
A Sangre Fria - Disc 1;A Sangre Fria - Disc 1;Sony Playstation;;2000;;;;;;;;;;;;
A Sangre Fria - Disc 2;A Sangre Fria - Disc 2;Sony Playstation;;2000;;;;;;;;;;;;
Ace Combat 2;Ace Combat 2;Sony Playstation;;1997;;;;;;;;;;;;
Ace Combat 3 - Electrosphere;Ace Combat 3: Electrosfera;Sony Playstation;;1999;;;;;;;;;;;;
Aces of the Air;Ases del Aire;Sony Playstation;;1998;;;;;;;;;;;;
Action Man - Destruction X;Action Man: Destruccion X;Sony Playstation;;2000;;;;;;;;;;;;
Action Man - Operation Extreme;Action Man: Operación Extrema;Sony Playstation;;2000;;;;;;;;;;;;
Activision Classics;Clasicos de Activision;Sony Playstation;;1998;;;;;;;;;;;;
Actua Ice Hockey;Hockey sobre hielo Actua;Sony Playstation;;1996;;;;;;;;;;;;
Actua Ice Hockey 2;Hockey sobre hielo Actua 2;Sony Playstation;;1997;;;;;;;;;;;;
Actua Soccer 3;Actua Futbol 3;Sony Playstation;;1998;;;;;;;;;;;;
Adiboo & Paziral's Secret;Adiboo & Paziral's Secret;Sony Playstation;;1999;;;;;;;;;;;;
Adidas Power Soccer;Adidas Power Soccer;Sony Playstation;;1997;;;;;;;;;;;;
Adidas Power Soccer 2;Adidas Power Soccer 2;Sony Playstation;;2000;;;;;;;;;;;;
Adidas Power Soccer 98;Adidas Power Soccer 98;Sony Playstation;;1998;;;;;;;;;;;;
Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft;Advanced Dungeons & Dragons: Iron & Blood - Warriors of Ravenloft;Sony Playstation;;1996;;;;;;;;;;;;
Advanced V.G;Advanced V.G.;Sony Playstation;;1996;;;;;;;;;;;;
Advanced V.G 2;Advanced V.G. 2;Sony Playstation;;1998;;;;;;;;;;;;
Aeon Flux;Aeon Flux;Sony Playstation;;1997;;;;;;;;;;;;
Agent Armstrong;Agent Armstrong;Sony Playstation;;1997;;;;;;;;;;;;
Agile Warrior F-111X;Agile Warrior F-111X;Sony Playstation;;1995;;;;;;;;;;;;
Air Combat;Air Combat;Sony Playstation;;1995;;;;;;;;;;;;
Air Hockey;Air Hockey;Sony Playstation;;1995;;;;;;;;;;;;
Air Race;Air Race;Sony Playstation;;1996;;;;;;;;;;;;
Airgrave (Japan);Airgrave;Sony Playstation;;1998;;;;;;;;;;;;
Aironauts;Aironauts;Sony Playstation;;1999;;;;;;;;;;;;
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (v1.2);Akumajou Dracula X: Gekka no Yasoukyoku - Traducido;Sony Playstation;;1998;;;;;;;;;;;;
Akuji - The Heartless;Akuji: The Heartless;Sony Playstation;;1998;;;;;;;;;;;;
Alexi Lalas International Soccer;Alexi Lalas International Soccer;Sony Playstation;;1999;;;;;;;;;;;;
Alfred Chicken;Alfred Chicken;Sony Playstation;;1998;;;;;;;;;;;;
Alien Resurrection;Alien Resurrection;Sony Playstation;;2000;;;;;;;;;;;;
Alien Trilogy;Alien Trilogy;Sony Playstation;;1996;;;;;;;;;;;;
All Star Action - Disk 1;All Star Action - Disc 1;Sony Playstation;;2000;;;;;;;;;;;;
All Star Action - Disk 2;All Star Action - Disc 2;Sony Playstation;;2000;;;;;;;;;;;;
All-Star Baseball 97 featuring Frank Thomas;All-Star Baseball 97 featuring Frank Thomas;Sony Playstation;;1997;;;;;;;;;;;;
All Star Boxing;All Star Boxing;Sony Playstation;;2000;;;;;;;;;;;;
All Star Racing;All Star Racing;Sony Playstation;;2000;;;;;;;;;;;;
All Star Racing 2;All Star Racing 2;Sony Playstation;;2001;;;;;;;;;;;;
All Star Soccer;All Star Soccer;Sony Playstation;;1997;;;;;;;;;;;;
Super Slammin' Dodgeball;All Star Super Slammin' Dodgeball;Sony Playstation;;2000;;;;;;;;;;;;
All Star Tennis 2000;All Star Tennis 2000;Sony Playstation;;1999;;;;;;;;;;;;
Alone in the Dark - Jack Is Back;Alone in the Dark: Jack Is Back;Sony Playstation;;1996;;;;;;;;;;;;
Alone in the Dark - The New Nightmare Disc 1;Alone in the Dark: The New Nightmare - Disc 1;Sony Playstation;;2000;;;;;;;;;;;;
Alone in the Dark - The New Nightmare Disc 2;Alone in the Dark: The New Nightmare - Disc 2;Sony Playstation;;2000;;;;;;;;;;;;
Alundra;Alundra;Sony Playstation;;1997;;;;;;;;;;;;
Alundra 2 - A New Legend Begins;Alundra 2: A New Legend Begins;Sony Playstation;;2000;;;;;;;;;;;;
American Pool;American Pool;Sony Playstation;;1998;;;;;;;;;;;;
Amerzone - The Explorer's Legacy - Disk 1;Amerzone: The Explorer's Legacy - Disc 1;Sony Playstation;;1999;;;;;;;;;;;;
Amerzone - The Explorer's Legacy - Disk 2;Amerzone: The Explorer's Legacy - Disc 2;Sony Playstation;;1999;;;;;;;;;;;;
Andretti Racing;Andretti Racing;Sony Playstation;;1996;;;;;;;;;;;;
Animaniacs - Ten Pin Alley;Animaniacs: Ten Pin Alley;Sony Playstation;;1998;;;;;;;;;;;;
Animorphs - Shattered Reality;Animorphs: Shattered Reality;Sony Playstation;;2000;;;;;;;;;;;;
Ape Escape;Ape Escape;Sony Playstation;;1999;;;;;;;;;;;;
Apocalypse [U] [SLUS-00373];Apocalypse;Sony Playstation;;1998;;;;;;;;;;;;
Aqua GT;Aqua GT;Sony Playstation;;2000;;;;;;;;;;;;
Aquanaut's Holiday;Aquanaut's Holiday;Sony Playstation;;1996;;;;;;;;;;;;
