#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
1on1gov;1 on 1 Government;Arcade;;2000;;;;;;;;;;;;;;;;
10-Pin Bowling (USA);10-Pin Bowling;Nintendo Game Boy Color;;1999;;;;;;;;;;;;;;;;
10yard;10-Yard Fight;Arcade;;1983;;;;;;;;;;;;;;;;
10-Yard Fight (USA, Europe);10-Yard Fight;Nintendo Entertainment System;;1985;;;;;;;;;;;;;;;;
1080 Snowboarding (Japan, USA) (En,Ja);1080 Snowboarding;Nintendo 64;;1998;;;;;;;;;;;;;;;;
progolf;18 Holes Pro Golf;Arcade;;1981;;;;;;;;;;;;;;;;
spikes91;1991 Spikes;Arcade;pspikes;1991;;;;;;;;;;;;;;;;
openice;2 On 2 Open Ice Challenge;Arcade;;1995;;;;;;;;;;;;;;;;
2002 FIFA World Cup;2002 FIFA World Cup;Sony Playstation;;2002;;;;;;;;;;;;;;;;
2006 FIFA World Cup - Germany 2006 (USA, Europe) (En,Fr,De,Es,It);2006 FIFA World Cup: Germany 2006;Nintendo Game Boy Advance;;2006;;;;;;;;;;;;;;;;
2020bb;2020 Super Baseball;Arcade;;1991;;;;;;;;;;;;;;;;
2020 Super Baseball (USA);2020 Super Baseball;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;;;;;
2K Sports - Major League Baseball 2K7 (USA);2K Sports: Major League Baseball 2K7;Nintendo Game Boy Advance;;2007;;;;;;;;;;;;;;;;
2Xtreme;2Xtreme;Sony Playstation;;1996;;;;;;;;;;;;;;;;
3countb;3 Count Bout;Arcade;;1993;;;;;;;;;;;;;;;;
3on3dunk;3 On 3 Dunk Madness;Arcade;;1996;;;;;;;;;;;;;;;;
bowl3d;3-D Bowling;Arcade;;1978;;;;;;;;;;;;;;;;
3Xtreme;3Xtreme;Sony Playstation;;1999;;;;;;;;;;;;;;;;
4-4-2 Soccer;4-4-2 Futbol;Sony Playstation;;2001;;;;;;;;;;;;;;;;
720;720 Degrees;Arcade;;1986;;;;;;;;;;;;;;;;
720 (USA);720 Degrees;Nintendo Entertainment System;;1989;;;;;;;;;;;;;;;;
720 Degrees (USA, Europe);720 Degrees;Nintendo Game Boy Color;;1999;;;;;;;;;;;;;;;;
88games;88 Games;Arcade;;1988;;;;;;;;;;;;;;;;
9ballsht;9-Ball Shootout;Arcade;;1993;;;;;;;;;;;;;;;;
90 Minutes - European Prime Goal (Europe);90 Minutes: European Prime Goal;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;;;;;
90 Minutes - Sega Championship Football;90 Minutes: Sega Championship Football;Sega Dreamcast;;2001;;;;;;;;;;;;;;;;
qos;A Question of Sport;Arcade;;1992;;;;;;;;;;;;;;;;
Aa Harimanada (Japan);Aa Harimanada;Sega Genesis;;1993;;;;;;;;;;;;;;;;
ABC Monday Night Football (USA);ABC Monday Night Football;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;;;;;
