#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
All Night Nippon Super Mario Bros. (Japan);All Night Nippon Super Mario Bros. (Japan);Super Mario Collection;;1986;Nintendo;Platform;;;;;0;;;;;
Alleyway (World);Alleyway (World);Super Mario Collection;;1989;Nintendo;Action;;;;;0;;;;;
BS Super Mario Collection - Dai-2-shuu (Japan);BS Super Mario Collection: Week 2 (Japan);Super Mario Collection;;1998;Nintendo;Platform;;;;;0;;;;;
BS Super Mario Collection - Dai-3-shuu (Japan);BS Super Mario Collection: Week 3 (Japan);Super Mario Collection;;1998;Nintendo;Platform;;;;;0;;;;;
BS Super Mario USA - Power Challenge - Week 1 (Japan) (Translated En);BS Super Mario USA: Power Challenge Week 1 (Japan) (Translated En);Super Mario Collection;;1996;Nintendo;Platform;;;;;0;;;;;
BS Super Mario USA - Power Challenge - Week 2 (Japan) (Translated En);BS Super Mario USA: Power Challenge Week 2 (Japan) (Translated En);Super Mario Collection;;1996;Nintendo;Platform;;;;;0;;;;;
BS Super Mario USA - Power Challenge - Week 3 (Japan) (Translated En);BS Super Mario USA: Power Challenge Week 3 (Japan) (Translated En);Super Mario Collection;;1996;Nintendo;Platform;;;;;0;;;;;
BS Super Mario USA - Power Challenge - Week 4 (Japan) (Translated En);BS Super Mario USA: Power Challenge Week 4 (Japan) (Translated En);Super Mario Collection;;1996;Nintendo;Platform;;;;;0;;;;;
Dance Dance Revolution - Mario Mix (USA);Dance Dance Revolution - Mario Mix (USA);Super Mario Collection;;2005;Konami Computer Entertainment;Rhythm;;;;;0;;;;;
dkong;Donkey Kong (US set 1);Super Mario Collection;;1981;Nintendo of America;Platform;;;;;0;;;;;
Dr. Mario (Japan, USA) (Rev A);Dr. Mario (Japan, USA) (Rev A);Super Mario Collection;;1990;Nintendo;Puzzle;;;;;0;;;;;
Dr. Mario 64 (USA);Dr. Mario 64 (USA);Super Mario Collection;;2001;Nintendo;Puzzle;;;;;0;;;;;
Excitebike - Bunbun Mario Battle - Stadium 1 (Japan);Excitebike: Bunbun Mario Battle Stadium 1 (Japan);Super Mario Collection;;1997;Nintendo;Driving/Racing;;;;;0;;;;;
Excitebike - Bunbun Mario Battle - Stadium 2 (Japan);Excitebike: Bunbun Mario Battle Stadium 2 (Japan);Super Mario Collection;;1997;Nintendo;Driving/Racing;;;;;0;;;;;
Excitebike - Bunbun Mario Battle - Stadium 3 (Japan);Excitebike: Bunbun Mario Battle Stadium 3 (Japan);Super Mario Collection;;1997;Nintendo;Driving/Racing;;;;;0;;;;;
Excitebike - Bunbun Mario Battle - Stadium 4 (Japan);Excitebike: Bunbun Mario Battle Stadium 4 (Japan);Super Mario Collection;;1997;Nintendo;Driving/Racing;;;;;0;;;;;
Fortune Street (USA);Fortune Street (USA);Super Mario Collection;;2011;Square Enix;Board Game/Party;;;;;0;;;;;
Hotel Mario (USA);Hotel Mario (USA);Super Mario Collection;;1994;Philips Media;Puzzle;;;;;0;;;;;
Itadaki Street DS (USA);Itadaki Street DS (USA);Super Mario Collection;;2007;Square Enix;Board Game/Party;;;;;0;;;;;
Kaettekita Mario Bros. (Japan);Kaettekita Mario Bros. (Japan);Super Mario Collection;;1988;Nintendo;Platform;;;;;0;;;;;
Luigi's Mansion (USA);Luigi's Mansion (USA);Super Mario Collection;;2001;Nintendo;Action/Platform;;;;;0;;;;;
Luigi's Mansion - Dark Moon (USA);Luigi's Mansion - Dark Moon (USA);Super Mario Collection;;2013;Nintendo;Action/Platform;;;;;0;;;;;
Mario & Donkey Kong - Minis on the Move (USA);Mario & Donkey Kong - Minis on the Move (USA);Super Mario Collection;;2013;Nintendo;Puzzle;;;;;0;;;;;
Mario & Luigi - Bowser's Inside Story (USA);Mario & Luigi - Bowser's Inside Story (USA);Super Mario Collection;;2009;Nintendo;Role-Playing;;;;;0;;;;;
Mario & Luigi - Dream Team (USA);Mario & Luigi - Dream Team (USA);Super Mario Collection;;2013;Nintendo;Role-Playing;;;;;0;;;;;
Mario & Luigi - Paper Jam (USA);Mario & Luigi - Paper Jam (USA);Super Mario Collection;;2015;AlphaDream;Role-Playing;;;;;0;;;;;
Mario & Luigi - Partners in Time (USA);Mario & Luigi - Partners in Time (USA);Super Mario Collection;;2005;Nintendo;Role-Playing;;;;;0;;;;;
Mario & Luigi - Superstar Saga (USA, Australia);Mario & Luigi - Superstar Saga (USA, Australia);Super Mario Collection;;2003;Nintendo;Role-Playing;;;;;0;;;;;
Mario & Sonic at the London 2012 Olympic Games (USA);Mario & Sonic at the London 2012 Olympic Games (USA);Super Mario Collection;;2011;Nintendo;Sports;;;;;0;;;;;
Mario & Sonic at the London 2012 Olympic Games (USA) (3DS);Mario & Sonic at the London 2012 Olympic Games (USA) (3DS);Super Mario Collection;;2011;Nintendo;Sports;;;;;0;;;;;
Mario & Sonic at the Olympic Games (USA);Mario & Sonic at the Olympic Games (USA);Super Mario Collection;;2007;Nintendo;Sports;;;;;0;;;;;
Mario & Sonic at the Olympic Games (USA) (DS);Mario & Sonic at the Olympic Games (USA) (DS);Super Mario Collection;;2007;Nintendo;Sports;;;;;0;;;;;
Mario & Sonic at the Olympic Winter Games (USA);Mario & Sonic at the Olympic Winter Games (USA);Super Mario Collection;;2009;Nintendo;Sports;;;;;0;;;;;
Mario & Sonic at the Olympic Winter Games (USA) (DS);Mario & Sonic at the Olympic Winter Games (USA) (DS);Super Mario Collection;;2009;Nintendo;Sports;;;;;0;;;;;
Mario & Sonic at the Rio 2016 Olympic Games (USA);Mario & Sonic at the Rio 2016 Olympic Games (USA);Super Mario Collection;;2016;Nintendo;Sports;;;;;0;;;;;
Mario & Sonic at the Rio 2016 Olympic Games (USA) (3DS);Mario & Sonic at the Rio 2016 Olympic Games (USA) (3DS);Super Mario Collection;;2016;Nintendo;Sports;;;;;0;;;;;
Mario & Sonic at the Sochi 2014 Olympic Winter Games (USA);Mario & Sonic at the Sochi 2014 Olympic Winter Games (USA);Super Mario Collection;;2013;Nintendo;Sports;;;;;0;;;;;
Mario Bros II (Netherlands);Mario Bros II (Netherlands);Super Mario Collection;;1987;Thundersoft;Platform;;;;;0;;;;;
mario;Mario Bros. (US, Revision F);Super Mario Collection;;1983;Nintendo of America;Platform;;;;;0;;;;;
Mario Bros. (World);Mario Bros. (World);Super Mario Collection;;1986;Nintendo;Platform;;;;;0;;;;;
Mario Clash (Japan, USA);Mario Clash (Japan, USA);Super Mario Collection;;1995;Nintendo;Platform;;;;;0;;;;;
Mario Golf (USA);Mario Golf (USA);Super Mario Collection;;1999;Nintendo;Golf/Sports;;;;;0;;;;;
Mario Golf (USA) (GBC);Mario Golf (USA) (GBC);Super Mario Collection;;1999;Nintendo;Golf/Sports;;;;;0;;;;;
Mario Golf - Advance Tour (USA);Mario Golf - Advance Tour (USA);Super Mario Collection;;2004;Nintendo;Golf/Sports;;;;;0;;;;;
Mario Golf - Toadstool Tour (USA);Mario Golf - Toadstool Tour (USA);Super Mario Collection;;2003;Camelot Software Planning;Golf/Sports;;;;;0;;;;;
Mario Golf - World Tour (USA);Mario Golf - World Tour (USA);Super Mario Collection;;2014;Nintendo;Golf/Sports;;;;;0;;;;;
Mario Hoops 3 on 3 (USA);Mario Hoops 3 on 3 (USA);Super Mario Collection;;2006;Nintendo;Basketball/Sports;;;;;0;;;;;
Mario Is Missing! (USA);Mario Is Missing! (USA);Super Mario Collection;;1993;Software Toolworks;Action/Miscellaneous;;;;;0;;;;;
Mario Is Missing! (USA) (SNES);Mario Is Missing! (USA) (SNES);Super Mario Collection;;1993;Software Toolworks;Action/Miscellaneous;;;;;0;;;;;
Mario Kart - DS (USA);Mario Kart - DS (USA);Super Mario Collection;;2005;Nintendo;Driving/Racing;;;;;0;;;;;
Mario Kart - Double Dash!! (USA);Mario Kart - Double Dash!! (USA);Super Mario Collection;;2003;Nintendo;Driving/Racing;;;;;0;;;;;
Mario Kart - Super Circuit (USA);Mario Kart - Super Circuit (USA);Super Mario Collection;;2006;Nintendo;Driving/Racing;;;;;0;;;;;
Mario Kart 64 (USA);Mario Kart 64 (USA);Super Mario Collection;;1997;Nintendo;Driving/Racing;;;;;0;;;;;
