#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Battletoads & Double Dragon (USA);Battletoads & Double Dragon (USA);Super Nintendo Entertainment System Multiplayer;;1993;Tradewest;Platform;;;;;0;;;;;
Battletoads in Battlemaniacs (USA);Battletoads in Battlemaniacs (USA);Super Nintendo Entertainment System Multiplayer;;1993;Tradewest;Fighter;;;;;0;;;;;
Captain America and the Avengers (USA);Captain America and the Avengers (USA);Super Nintendo Entertainment System Multiplayer;;1993;Mindscape;Fighter;;;;;0;;;;;
Captain Commando (USA);Captain Commando (USA);Super Nintendo Entertainment System Multiplayer;;1995;Capcom;Fighter;;;;;0;;;;;
Combatribes, The (USA);Combatribes, The (USA);Super Nintendo Entertainment System Multiplayer;;1993;Technos;Action;;;;;0;;;;;
Contra III - The Alien Wars (USA);Contra III - The Alien Wars (USA);Super Nintendo Entertainment System Multiplayer;;1992;Konami;Shooter;;;;;0;;;;;
Darius Twin (USA);Darius Twin (USA);Super Nintendo Entertainment System Multiplayer;;1991;Taito;Shooter;;;;;0;;;;;
FIFA International Soccer (USA);FIFA International Soccer (USA);Super Nintendo Entertainment System Multiplayer;;1994;Victor Interactive Software;Sports/Soccer;;;;;0;;;;;
FIFA Soccer 96 (USA);FIFA Soccer 96 (USA);Super Nintendo Entertainment System Multiplayer;;1995;EA Sports;Sports/Soccer;;;;;0;;;;;
FIFA Soccer 97 - Gold Edition (USA);FIFA Soccer 97 - Gold Edition (USA);Super Nintendo Entertainment System Multiplayer;;1996;EA Sports;Sports/Soccer;;;;;0;;;;;
Final Fight (USA);Final Fight (USA);Super Nintendo Entertainment System Multiplayer;;1991;Capcom;Fighter;;;;;0;;;;;
Final Fight 2 (USA);Final Fight 2 (USA);Super Nintendo Entertainment System Multiplayer;;1993;Capcom;Fighter;;;;;0;;;;;
Final Fight 3 (USA);Final Fight 3 (USA);Super Nintendo Entertainment System Multiplayer;;1995;Capcom;Fighter;;;;;0;;;;;
Final Fight Guy (USA);Final Fight Guy (USA);Super Nintendo Entertainment System Multiplayer;;1992;Capcom;Fighter;;;;;0;;;;;
Firepower 2000 (USA);Firepower 2000 (USA);Super Nintendo Entertainment System Multiplayer;;1992;Sun Soft;Action;;;;;0;;;;;
Goof Troop (USA);Goof Troop (USA);Super Nintendo Entertainment System Multiplayer;;1993;Capcom;Action;;;;;0;;;;;
International Sensible Soccer - World Champions Limited Edition (Europe);International Sensible Soccer - World Champions Limited Edition (Europe);Super Nintendo Entertainment System Multiplayer;;1994;Sensible Software;Sports/Soccer;;;;;0;;;;;
International Superstar Soccer (USA);International Superstar Soccer (USA);Super Nintendo Entertainment System Multiplayer;;1995;Konami;Sports/Soccer;;;;;0;;;;;
International Superstar Soccer Deluxe (USA);International Superstar Soccer Deluxe (USA);Super Nintendo Entertainment System Multiplayer;;1995;Konami;Sports/Soccer;;;;;0;;;;;
Joe & Mac (USA);Joe & Mac (USA);Super Nintendo Entertainment System Multiplayer;;1992;Data East;Platform;;;;;0;;;;;
Joe & Mac 2 - Lost in the Tropics (USA);Joe & Mac 3 - Lost in the Tropics (USA);Super Nintendo Entertainment System Multiplayer;;1994;Data East;Platform;;;;;0;;;;;
Joe & Mac Caveman Ninja;Joe & Mac Caveman Ninja;Super Nintendo Entertainment System Multiplayer;;1992;Data East;Platform;;;;;0;;;;;
Jurassic Park II - The Chaos Continues (USA);Jurassic Park II - The Chaos Continues (USA);Super Nintendo Entertainment System Multiplayer;;1994;Ocean;Platform;;;;;0;;;;;
King of Dragons, The (USA);King of Dragons, The (USA);Super Nintendo Entertainment System Multiplayer;;1994;Capcom;Fighter;;;;;0;;;;;
Kirby's Dream Land 3 (USA);Kirby's Dream Land 3 (USA);Super Nintendo Entertainment System Multiplayer;;1998;Nintendo;Platform;;;;;0;;;;;
Knights of the Round (USA);Knights of the Round (USA);Super Nintendo Entertainment System Multiplayer;;1994;Capcom;Fighter;;;;;0;;;;;
