#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
2020 Super Baseball (USA);2020 Super Baseball;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
3 Ninjas Kick Back (USA);3 Ninjas Kick Back;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
90 Minutes - European Prime Goal (Europe);90 Minutes: European Prime Goal;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
A.S.P. - Air Strike Patrol (USA);A.S.P.: Air Strike Patrol;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Aaahh!!! Real Monsters (USA);Aaahh!!! Real Monsters;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
ABC Monday Night Football (USA);ABC Monday Night Football;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
ACME Animation Factory (USA);ACME Animation Factory;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
ActRaiser (USA);ActRaiser;Super Nintendo Entertainment System;;1991;;;;;;;;;;;;
ActRaiser 2 (USA);ActRaiser 2;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Addams Family Values (USA);Addams Family Values;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Adventures of Yogi Bear (USA);Adventures of Yogi Bear;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Aero Fighters (USA);Aero Fighters;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Aero the Acro-Bat (USA);Aero the Acro-Bat;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Aero the Acro-Bat 2 (USA);Aero the Acro-Bat 2;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Aerobiz (USA);Aerobiz;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Aerobiz Supersonic (USA);Aerobiz Supersonic;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Aguri Suzuki F-1 Super Driving (Europe);Aguri Suzuki F-1 Super Driving;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Air Cavalry (USA);Air Cavalry;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Al Unser Jr.'s Road to the Top (USA);Al Unser Jr.'s Road to the Top;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Aladdin (USA);Aladdin;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Alien 3 (USA);Alien 3;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Alien vs. Predator (USA);Alien vs. Predator;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
American Gladiators (USA);American Gladiators;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
American Tail, An - Fievel Goes West (USA);American Tail, An: Fievel Goes West;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
An SMW Central Production;An SMW Central Production;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Animaniacs (USA);Animaniacs;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Apocalypse II (Europe) (Proto);Apocalypse II;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Arcade's Greatest Hits - The Atari Collection 1 (USA);Arcade's Greatest Hits: The Atari Collection 1;Super Nintendo Entertainment System;;1997;;;;;;;;;;;;
Arcana (USA);Arcana;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
Archer Maclean's Super Dropzone (Europe);Archer Maclean's Super Dropzone;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Arcus Odyssey (USA) (Proto);Arcus Odyssey;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Ardy Lightfoot (USA);Ardy Lightfoot;Super Nintendo Entertainment System;;1996;;;;;;;;;;;;
Arkanoid - Doh It Again (USA);Arkanoid: Doh It Again;Super Nintendo Entertainment System;;1997;;;;;;;;;;;;
Art of Fighting (USA);Art of Fighting;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Art of Fighting 2 (USA);Art of Fighting 2;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Ashita no Joe;Ashita no Joe;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Asterix (Europe);Asterix;Super Nintendo Entertainment System;;1996;;;;;;;;;;;;
Asterix & Obelix (Europe);Asterix & Obelix;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Axelay (USA);Axelay;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
B.O.B. (USA);B.O.B.;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Ballz 3D - Fighting at Its Ballziest (USA);Ballz 3D: Fighting at Its Ballziest;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Barbie Super Model (USA);Barbie Super Model;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Barbie Vacation Adventure (USA) (Proto);Barbie Vacation Adventure;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Barkley Shut Up and Jam! (USA);Barkley Shut Up and Jam!;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
BASS Masters Classic (USA);BASS Masters Classic;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
BASS Masters Classic - Pro Edition (USA);BASS Masters Classic: Pro Edition;Super Nintendo Entertainment System;;1996;;;;;;;;;;;;
Bassin's Black Bass (USA);Bassin's Black Bass;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Bastard - ankoku no hakaishin;Bastard: ankoku no hakaishin;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
Batman Forever (USA);Batman Forever;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Batman Returns (USA);Batman Returns;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Batman - Revenge of the Joker (USA) (Proto);Batman: Revenge of the Joker;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
Battle Blaze (USA);Battle Blaze;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Battle Cars (USA);Battle Cars;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Battle Clash (USA);Battle Clash;Super Nintendo Entertainment System;;1992;;;;;;;;;;;;
Battle Grand Prix (USA);Battle Grand Prix;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
