#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
tmnt;Teenage Mutant Ninja Turtles;Arcade;;1989;Konami;;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA);Teenage Mutant Ninja Turtles;Nintendo Entertainment System;;1989;Konami;;;;;;0;;;;;
tmnt2;Teenage Mutant Ninja Turtles: Turtles in Time;Arcade;;1989;Konami;;;;;;0;;;;;
TeenageMutantHeroTurtlesCoinOp_v1.0_2301;Teenage Mutant Hero Turtles: The Coin Op!;Commodore Amiga;;1991;Konami;;;;;;0;;;;;
Teenage Mutant Ninja Turtles - Fall of the Foot Clan (USA);Teenage Mutant Hero Turtles: Fall of the Foot Clan;Nintendo Game Boy;;1990;Konami;;;;;;0;;;;;
TeenageMutantHeroTurtles_v1.2_0587;Teenage Mutant Hero Turtles;Commodore Amiga;;;Konami;;;;;;0;;;;;
TeenageMutantNinjaTurtles_v1.1;Teenage Mutant Ninja Turtles;Commodore Amiga;;;Konami;;;;;;0;;;;;
Teenage Mutant Ninja Turtles II - The Arcade Game (USA);Teenage Mutant Ninja Turtles IIL: The Arcade Game;Nintendo Entertainment System;;1990;Konami;;;;;;0;;;;;
Teenage Mutant Ninja Turtles III - The Manhattan Project (USA);Teenage Mutant Ninja Turtles III: The Manhattan Project;Nintendo Entertainment System;;1991;Konami;;;;;;0;;;;;
Teenage Mutant Ninja Turtles II - Back from the Sewers (USA);Teenage Mutant Hero Turtles II: Back from the Sewers;Nintendo Game Boy;;1991;Konami;;;;;;0;;;;;
Teenage Mutant Ninja Turtles - The Hyperstone Heist (USA);Teenage Mutant Ninja Turtles: The Hyperstone Heist;Sega Genesis;;1992;;;;;;;0;;;;;
Teenage Mutant Ninja Turtles IV - Turtles in Time (USA);Teenage Mutant Ninja Turtles IV: Turtles in Time;Super Nintendo Entertainment System;;1992;;;;;;;0;;;;;
Teenage Mutant Ninja Turtles III - Radical Rescue (USA);Teenage Mutant Hero Turtles III: Radical Rescue;Nintendo Game Boy;;1993;Konami;;;;;;0;;;;;
Teenage Mutant Ninja Turtles - Tournament Fighters (USA);Teenage Mutant Ninja Turtles: Mutant Warriors;Super Nintendo Entertainment System;;1993;;;;;;;0;;;;;
Teenage Mutant Ninja Turtles - Tournament Fighters (USA);Teenage Mutant Ninja Turtles: Tournament Fighters;Nintendo Entertainment System;;1993;;;;;;;0;;;;;
TMNT (USA) (En,Fr,Es);T.M.N.T: Teenage Mutant Ninja Turtles;Nintendo Game Boy Advance;;2003;Konami;;;;;;0;;;;;
TMNT2-Battle Nexus CD1;TMNT 2: Battle Nexus (Disc 1) Gamecube Version;Nintendo Gamecube;;2004;;;;;;;0;;;;;
TMNT2-Battle Nexus CD2;TMNT 2: Battle Nexus (Disc 2) Gamecube Version;Nintendo Gamecube;;2004;;;;;;;0;;;;;
Teenage Mutant Ninja Turtles 2 - Battle Nexus (Europe) (En,Fr,De,Es,It);TMNT 2: Battle Nexus;Nintendo Game Boy Advance;;2004;;;;;;;0;;;;;
Teenage Mutant Ninja Turtles 3 - Mutant Nightmare (USA);TMNT 3: Mutant Nightmare;Nintendo DS;;2005;;;;;;;0;;;;;
Teenage Mutant Ninja Turtles - Mutant Melee;TMNT: Mutant Melee Gamecube Version;Nintendo Gamecube;;2005;;;;;;;0;;;;;
Teenage Mutant Ninja Turtles 3 - Mutant Nightmare (USA) (Disc 1);TMNT 3: Mutant Nightmare Disc 1;Nintendo Gamecube;;2005;;;;;;;0;;;;;
Teenage Mutant Ninja Turtles 3 - Mutant Nightmare (USA) (Disc 2);TMNT 3: Mutant Nightmare Disc 2;Nintendo Gamecube;;2005;;;;;;;0;;;;;
Teenage Mutant Ninja Turtles - Arcade Attack (USA);TMNT: Arcade Attack;Nintendo DS;;2009;;;;;;;0;;;;;
