#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
koshien;Ah Eikou no Koshien (Japan);Taito Classics;;1990;Taito Corporation;Sports/Baseball;;;;;0;;;;;
alpine;Alpine Ski (set 1);Taito Classics;;1982;Taito Corporation;Sports/Skiing;;;;;0;;;;;
horshoes;American Horseshoes (US);Taito Classics;;1990;Taito America Corporation;Sports;;;;;0;;;;;
aquajack;Aqua Jack (World);Taito Classics;;1990;Taito Corporation Japan;Shooter;;;;;0;;;;;
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);Taito Classics;;1992;Taito Corporation Japan;Beat-'Em-Up;;;;;0;;;;;
arkanoid;Arkanoid (World);Taito Classics;;1986;Taito Corporation Japan;Breakout;;;;;0;;;;;
arknoid2;Arkanoid - Revenge of DOH (World);Taito Classics;;1987;Taito Corporation Japan;Breakout;;;;;0;;;;;
arkretrn;Arkanoid Returns (Ver 2.02O 1997/02/10);Taito Classics;;1997;Taito Corporation;Breakout;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);Taito Classics;scessjoe;1990;Taito Corporation / Wave;Sports/Boxing;;;;;0;;;;;
ashura;Ashura Blaster (World);Taito Classics;;1990;Taito Corporation Japan;Shoot-'Em-Up;;;;;0;;;;;
asuka;Asuka & Asuka (World);Taito Classics;;1988;Taito Corporation;Shoot-'Em-Up;;;;;0;;;;;
ballbomb;Balloon Bomber;Taito Classics;;1980;Taito;Shoot-'Em-Up;;;;;0;;;;;
bshark;Battle Shark (World);Taito Classics;;1989;Taito Corporation Japan;Shooter;;;;;0;;;;;
benberob;Ben Bero Beh (Japan);Taito Classics;;1984;Taito;Platform;;;;;0;;;;;
bigevglf;Big Event Golf (US);Taito Classics;;1986;Taito America Corporation;Sports/Golf;;;;;0;;;;;
bioatack;Bio Attack;Taito Classics;;1983;Taito Corporation (Fox Video Games license);Shoot-'Em-Up;;;;;0;;;;;
bking;Birdie King;Taito Classics;;1982;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking2;Birdie King 2;Taito Classics;;1983;Taito Corporation;Sports/Golf;;;;;0;;;;;
bking3;Birdie King 3;Taito Classics;;1984;Taito Corporation;Sports/Golf;;;;;0;;;;;
bonzeadv;Bonze Adventure (World, Newer);Taito Classics;;1988;Taito Corporation Japan;Platform;;;;;0;;;;;
bublbobl;Bubble Bobble (Japan, Ver 0.1);Taito Classics;;1986;Taito Corporation;Platform;;;;;0;;;;;
bublbob2;Bubble Bobble II (Ver 2.5O 1994/10/05);Taito Classics;;1994;Taito Corporation Japan;Platform;;;;;0;;;;;
bubblem;Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15);Taito Classics;;1995;Taito Corporation Japan;Platform;;;;;0;;;;;
bubsymphe;Bubble Symphony (Ver 2.5O 1994/10/05);Taito Classics;bublbob2;1994;Taito Corporation Japan;Platform;;;;;0;;;;;
