#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Crash 'n the Boys - Street Challenge (USA);Crash 'n the Boys: Street Challenge;Nintendo Entertainment System;Technos;1992;;;;;;;;;;;;
Double Dragon (USA);Double Dragon;Nintendo Entertainment System;Technos;1988;;;;;;;;;;;;
Double Dragon II - The Revenge (USA) (Rev A);Double Dragon II: The Revenge;Nintendo Entertainment System;Technos;1990;;;;;;;;;;;;
Double Dragon III - The Sacred Stones (USA);Double Dragon III: The Sacred Stones;Nintendo Entertainment System;Technos;1990;;;;;;;;;;;;
Downtown Nekketsu Koshinkyoku Soreyuku Daiundokai (J);Downtown Nekketsu Koshinkyoku: Soreyuku Daiundokai;Nintendo Entertainment System;Technos;1990;;;;;;;;;;;;
Downtown Special Kunio-kun no Jidaigeki dayo Zen'in Shugo (U) [!];Downtown Special: Kunio-kun no Jidaigeki dayo Zen'in Shugo;Nintendo Entertainment System;Technos;1991;;;;;;;;;;;;
Ike Ike! Nekketsu Hockey Bu Subette Koronde Dairanto (U) [!];Ike Ike! Nekketsu Hockey Bu: Subette Koronde Dairanto;Nintendo Entertainment System;Technos;1992;;;;;;;;;;;;
Kunio-kun no Nekketsu Soccer League (E) [!];Kunio-kun no Nekketsu Soccer League;Nintendo Entertainment System;Technos;1993;;;;;;;;;;;;
Nekketsu Kakuto Densetsu (E) [!];Nekketsu Kakuto Densetsu;Nintendo Entertainment System;Technos;1992;;;;;;;;;;;;
Nekketsu Koukou Dodgeball Bu - Soccer Hen (Japan);Nekketsu Koukou Dodgeball Bu Soccer Hen;Nintendo Entertainment System;Technos;1990;;;;;;;;;;;;
Nekketsu! Street Basket Ganbare Dunk Heroes (E) [!];Nekketsu! Street Basket: Ganbare Dunk Heroes;Nintendo Entertainment System;Technos;1993;;;;;;;;;;;;
Nintendo World Cup (USA);Nintendo World Cup;Nintendo Entertainment System;Technos;1990;;;;;;;;;;;;
Renegade (USA);Renegade;Nintendo Entertainment System;Technos;1988;;;;;;;;;;;;
River City Ransom (USA);River City Ransom;Nintendo Entertainment System;Technos;1989;;;;;;;;;;;;
River City Ransom EX (USA);River City Ransom EX;Nintendo Game Boy Advance;Technos;2004;;;;;;;;;;;;
River City Ransom Underground;River City Ransom Underground;PC Games;Technos;2017;;;;;;;;;;;;
Sugoro Quest (U) [!];Sugoro Quest: Dice no Senshi Tachi;Nintendo Entertainment System;Technos;1991;;;;;;;;;;;;
Super Dodge Ball (USA);Super Dodge Ball;Nintendo Entertainment System;Technos;1989;;;;;;;;;;;;
Super Spike V'Ball (USA);Super Spike V'Ball;Nintendo Entertainment System;Technos;1990;;;;;;;;;;;;
