#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
1-2-3 (1973);1-2-3 (1973);Visual Pinball;;;;;;;;;;;;;;;;;;
2001 (1971);2001 (1971);Visual Pinball;;;;;;;;;;;;;;;;;;
24 (2009);24 (2009);Visual Pinball;;;;;;;;;;;;;;;;;;
2in1 (1964);2in1 (1964);Visual Pinball;;;;;;;;;;;;;;;;;;
300 (1975);300 (1975);Visual Pinball;;;;;;;;;;;;;;;;;;
4 Square (1971);4 Square (1971);Visual Pinball;;;;;;;;;;;;;;;;;;
4-Queens (1970);4-Queens (1970);Visual Pinball;;;;;;;;;;;;;;;;;;
4X4 (1983);4X4 (1983);Visual Pinball;;;;;;;;;;;;;;;;;;
A Real American Hero;A Real American Hero;Visual Pinball;;;;;;;;;;;;;;;;;;
AC-DC (2012);AC-DC (2012);Visual Pinball;;;;;;;;;;;;;;;;;;
Abra Ca Dabra (1975);Abra Ca Dabra (1975);Visual Pinball;;;;;1;;;;;;;Abracadabra;;;;;;
Aces High (1965);Aces High (1965);Visual Pinball;;;;;;;;;;;;;;;;;;
Agents 777;Agents 777;Visual Pinball;;;;;;;;;;;;;;;;;;
Airborne Avenger (1977);Airborne Avenger (1977);Visual Pinball;;;;;;;;;;;;;;;;;;
Airport (1969);Airport (1969);Visual Pinball;;;;;;;;;;;;;;;;;;
Aladdin's Castle (1976);Aladdin's Castle (1976);Visual Pinball;;;;;;;;;;;;;;;;;;
Algar (1980);Algar (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Ali (1980);Ali (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Alien Poker (1980);Alien Poker (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Alive! (1978);Alive! (1978);Visual Pinball;;;;;;;;;;;;;;;;;;
Amazing Spider-man (1980);Amazing Spider-man (1980);Visual Pinball;;;;;1;;;;;;;The Amazing Spider-Man;;;;;;
Amazon Hunt (1983);Amazon Hunt (1983);Visual Pinball;;;;;;;;;;;;;;;;;;
America's Most Haunted (2014);America's Most Haunted (2014);Visual Pinball;;;;;;;;;;;;;;;;;;
Apache! (1978);Apache! (1978);Visual Pinball;;;;;;;;;;;;;;;;;;
Aqualand (1986);Aqualand (1986);Visual Pinball;;;;;;;;;;;;;;;;;;
Aquarius (1970);Aquarius (1970);Visual Pinball;;;;;;;;;;;;;;;;;;
Aspen (1979);Aspen (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Asteroid Annie (1980);Asteroid Annie (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Astral Defender 2;Astral Defender 2;Visual Pinball;;;;;;;;;;;;;;;;;;
Astro (1971);Astro (1971);Visual Pinball;;;;;;;;;;;;;;;;;;
Atleta (1991);Atleta (1991);Visual Pinball;;;;;;;;;;;;;;;;;;
Attack from Mars (1995);Attack from Mars (1995);Visual Pinball;;;;;;;;;;;;;;;;;;
Attila The Hun (1984);Attila The Hun (1984);Visual Pinball;;;;;;;;;;;;;;;;;;
Austin Powers (2001);Austin Powers (2001);Visual Pinball;;;;;;;;;;;;;;;;;;
Avatar (2010);Avatar (2010);Visual Pinball;;;;;;;;;;;;;;;;;;
Baby Pac-man (1982);Baby Pac-man (1982);Visual Pinball;;;;;;;;;;;;Baby Pac-Man;;;;;;
Back To The Future (1990);Back To The Future (1990);Visual Pinball;;;;;1;;;;;;;Back to the Future;;;;;;
Bad Cats (1989);Bad Cats (1989);Visual Pinball;;;;;;;;;;;;;;;;;;
Bad Girls (1988);Bad Girls (1988);Visual Pinball;;;;;;;;;;;;;;;;;;
Bad Santa Pinball (2016);Bad Santa Pinball (2016);Visual Pinball;;;;;;;;;;;;;;;;;;
Balls-A-Poppin (1956);Balls-A-Poppin (1956);Visual Pinball;;;;;;;;;;;;;;;;;;
Barracora (1981);Barracora (1981);Visual Pinball;;;;;;;;;;;;;;;;;;
Baseball (1970);Baseball (1970);Visual Pinball;;;;;2;;;;;;;Baseball;;;;;;
Batman (1991);Batman (1991);Visual Pinball;;;;;1;;;;;;;Batman;;;;;;
Big Bang Bar (1996);Big Bang Bar (1996);Visual Pinball;;;;;;;;;;;;;;;;;;
Big Brave (1974);Big Brave (1974);Visual Pinball;;;;;;;;;;;;;;;;;;
Big Game (1980);Big Game (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Black Hole (1981);Black Hole (1981);Visual Pinball;;;;;2;;;;;;;Black Hole;;;;;;
Black Jack (1976);Black Jack (1976);Visual Pinball;;;;;3;;;;;;;Blackjack;;;;;;
Black Knight 2000 (1989);Black Knight 2000 (1989);Visual Pinball;;;;;;;;;;;;;;;;;;
Black Pyramid (1984);Black Pyramid (1984);Visual Pinball;;;;;;;;;;;;;;;;;;
Black Rose (1992);Black Rose (1992);Visual Pinball;;;;;;;;;;;;;;;;;;
Blackout (1980);Blackout (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Bram Stoker's Dracula (1993);Bram Stoker's Dracula (1993);Visual Pinball;;;;;1;;;;;;;Bram Stoker's Dracula;;;;;;
Breakshot (1996);Breakshot (1996);Visual Pinball;;;;;;;;;;;;;;;;;;
Bumper (1977);Bumper (1977);Visual Pinball;;;;;;;;;;;;;;;;;;
Bumper Pool (1969);Bumper Pool (1969);Visual Pinball;;;;;;;;;;;;;;;;;;
CARtoons RC (2017);CARtoons RC (2017);Visual Pinball;;;;;;;;;;;;;;;;;;
Cactus Canyon (1998);Cactus Canyon (1998);Visual Pinball;;;;;;;;;;;;;;;;;;
Canasta 86 (1986);Canasta 86 (1986);Visual Pinball;;;;;;;;;;;;;;;;;;
Capersville (1966);Capersville (1966);Visual Pinball;;;;;;;;;;;;;;;;;;
Captain Fantastic (1976);Captain Fantastic (1976);Visual Pinball;;;;;;;;;;;;;;;;;;
Car Hop (1991);Car Hop (1991);Visual Pinball;;;;;;;;;;;;;;;;;;
Card Whiz (1976);Card Whiz (1976);Visual Pinball;;;;;;;;;;;;;;;;;;
Cavaleiro Negro (1981);Cavaleiro Negro (1981);Visual Pinball;;;;;;;;;;;;;;;;;;
Centaur (1981);Centaur (1981);Visual Pinball;;;;;;;;;;;;;;;;;;
Centigrade 37 (1977);Centigrade 37 (1977);Visual Pinball;;;;;;;;;;;;;;;;;;
Champ (1976);Champ (1976);Visual Pinball;;;;;;;;;;;;;;;;;;
Champion Pub (1998);Champion Pub (1998);Visual Pinball;;;;;;;;;;;;;;;;;;
Charlie's Angels (1978);Charlie's Angels (1978);Visual Pinball;;;;;;;;;;;;Charlie's Angels;;;;;;
Check Mate (1977);Check Mate (1977);Visual Pinball;;;;;2;;;;;;;Check Mate;;;;;;
Cheetah (1980);Cheetah (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Circus (1980);Circus (1980);Visual Pinball;;;;;2;;;;;;;Circus;;;;;;
Cirqus Voltaire (1997);Cirqus Voltaire (1997);Visual Pinball;;;;;;;;;;;;;;;;;;
Close Encounters (1978);Close Encounters (1978);Visual Pinball;;;;;;;;;;;;;;;;;;
Congo (1995);Congo (1995);Visual Pinball;;;;;1;;;;;;;Congo;;;;;;
Cosmic Gunfight (1982);Cosmic Gunfight (1982);Visual Pinball;;;;;;;;;;;;;;;;;;
Count-Down (1979);Count-Down (1979);Visual Pinball;;;;;1;;;;;;;Countdown;;;;;;
Creature From The Black Lagoon (1992);Creature From The Black Lagoon (1992);Visual Pinball;;;;;;;;;;;;;;;;;;
Cueball Wizard (1992);Cueball Wizard (1992);Visual Pinball;;;;;;;;;;;;;;;;;;
Cyclone (1988);Cyclone (1988);Visual Pinball;;;;;;;;;;;;Cyclone;;;;;;
Deadly Weapon (1990);Deadly Weapon (1990);Visual Pinball;;;;;;;;;;;;;;;;;;
Demolition Man (1994);Demolition Man (1994);Visual Pinball;;;;;1;;;;;;;Demolition Man;;;;;;
Diablo Pinball (2017);Diablo Pinball (2017);Visual Pinball;;;;;;;;;;;;;;;;;;
Diamond Lady (1976);Diamond Lady (1976);Visual Pinball;;;;;;;;;;;;;;;;;;
Diner (1990);Diner (1990);Visual Pinball;;;;;1;;;;;;;Diner;;;;;;
Dirty Harry (1995);Dirty Harry (1995);Visual Pinball;;;;;1;;;;;;;Dirty Harry;;;;;;
Doctor Who (1992);Doctor Who (1992);Visual Pinball;;;;;;;;;;;;;;;;;;
Dolly Parton (1979);Dolly Parton (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Dr Dude (1990);Dr Dude (1990);Visual Pinball;;;;;;;;;;;;;;;;;;
Dragon (1978);Dragon (1978);Visual Pinball;;;;;1;;;;;;;The Dragon;;;;;;
Drakor (1979);Drakor (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Drop A Card (1971);Drop A Card (1971);Visual Pinball;;;;;;;;;;;;;;;;;;
Eight Ball Deluxe (1980);Eight Ball Deluxe (1980);Visual Pinball;;;;;2;;;;;;;Eight Ball Deluxe;;;;;;
El Bueno el Feo y el Malo (2015);El Bueno el Feo y el Malo (2015);Visual Pinball;;;;;;;;;;;;;;;;;;
Elvira and the Party Monsters (1989);Elvira and the Party Monsters (1989);Visual Pinball;;;;;;;;;;;;;;;;;;
Elvis (2004);Elvis (2004);Visual Pinball;;;;;;;;;;;;;;;;;;
Embryon (1980);Embryon (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Escape from New York (1981);Escape from New York (1981);Visual Pinball;;;;;;;;;;;;;;;;;;
F-14 Tomcat (1987);F-14 Tomcat (1987);Visual Pinball;;;;;;;;;;;;F-14 Tomcat;;;;;;
FJ (1978);FJ (1978);Visual Pinball;;;;;;;;;;;;;;;;;;
Faeton (1985);Faeton (1985);Visual Pinball;;;;;;;;;;;;;;;;;;
Far Out (1974);Far Out (1974);Visual Pinball;;;;;;;;;;;;;;;;;;
Farfalla (1983);Farfalla (1983);Visual Pinball;;;;;;;;;;;;;;;;;;
Fathom (1981);Fathom (1981);Visual Pinball;;;;;;;;;;;;Fathom;;;;;;
Fire Action deLuxe (1983);Fire Action deLuxe (1983);Visual Pinball;;;;;;;;;;;;;;;;;;
Fire! (1987);Fire! (1987);Visual Pinball;;;;;;;;;;;;;;;;;;
Fireball II (1981);Fireball II (1981);Visual Pinball;;;;;;;;;;;;;;;;;;
Firepower (1983);Firepower (1983);Visual Pinball;;;;;2;;;;;;;Firepower;;;;;;
Flash (1979);Flash (1979);Visual Pinball;;;;;1;;;;;;;The Flash;;;;;;
Flash Gordon (1981);Flash Gordon (1981);Visual Pinball;;;;;;;;;;;;Flash Gordon;;;;;;
Flash, The (Original 2018);Flash, The (Original 2018);Visual Pinball;;;;;;;;;;;;;;;;;;
Flight 2000 (1980);Flight 2000 (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Frankenstein (1995);Frankenstein (1995);Visual Pinball;;;;;;;;;;;;Frankenstein (1987);;;;;;
Freddy A Nightmare On Elm Street (1994);Freddy A Nightmare On Elm Street (1994);Visual Pinball;;;;;;;;;;;;;;;;;;
Freedom (1976);Freedom (1976);Visual Pinball;;;;;;;;;;;;;;;;;;
Freefall (1981);Freefall (1981);Visual Pinball;;;;;;;;;;;;Free Fall;;;;;;
Funhouse (1990);Funhouse (1990);Visual Pinball;;;;;1;;;;;;;Fun House;;;;;;
Future Spa (1979);Future Spa (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Galaxy (1980);Galaxy (1980);Visual Pinball;;;;;1;;;;;;;Galaxy;;;;;;
Gargamel Park (2016);Gargamel Park (2016);Visual Pinball;;;;;;;;;;;;;;;;;;
Genesis (1986);Genesis (1986);Visual Pinball;;;;;2;;;;;;;Genesis;;;;;;
Genie (1979);Genie (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Getaway, The - High Speed II (1992);Getaway, The - High Speed II (1992);Visual Pinball;;;;;1;;;;;;;The Getaway: High Speed II;;;;;;
Ghostbusters Slimer (2016);Ghostbusters Slimer (2016);Visual Pinball;;;;;;;;;;;;;;;;;;
Gilligan's Island (1991);Gilligan's Island (1991);Visual Pinball;;;;;;;;;;;;;;;;;;
Gorgar (Williams 1979);Gorgar (Williams 1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Gork (1980);Gork (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
