#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Alchemist Marie & Elie - Futari no Atelier (Japan);Alchemist Marie & Elie: Futari no Atelier;WonderSwan Color;;2001;;;;;;;;;;;;
Another Heaven - Memory of those Days (Japan);Another Heaven: Memory of Those Days;WonderSwan Color;;2000;;;;;;;;;;;;
Arc the Lad - Kishin Fukkatsu (Japan);Arc the Lad: Kijin Fukkatsu;WonderSwan Color;;2002;;;;;;;;;;;;
Blue Wing Blitz (Japan);Blue Wing Blitz;WonderSwan Color;;2001;;;;;;;;;;;;
Dark Eyes - Battle Gate (Japan);Dark Eyes: Battle Gate;WonderSwan Color;;2001;;;;;;;;;;;;
Dicing Knight. (Japan);Dicing Knight.;WonderSwan Color;;2004;;;;;;;;;;;;
Digimon Adventure 02 - D1 Tamers (Japan);Digimon Adventure 02: D1 Tamers;WonderSwan Color;;2000;;;;;;;;;;;;
Digimon - Anode Tamer & Cathode Tamer (Asia);Digimon Anode & Cathode Tamer;WonderSwan Color;;2001;;;;;;;;;;;;
Digimon Tamers - Brave Tamer (Japan);Digimon Tamers: Brave Tamer;WonderSwan Color;;2001;;;;;;;;;;;;
Digimon Tamers - Digimon Medley (Japan);Digimon Tamers: Digimon Medley;WonderSwan Color;;2001;;;;;;;;;;;;
Battle Spirit - Digimon Frontier (Japan);Digimon: Battle Spirit;WonderSwan Color;;2002;;;;;;;;;;;;
Digimon Tamers - Battle Spirit (Japan) (En,Ja);Digimon: Battle Spirit;WonderSwan Color;;2002;;;;;;;;;;;;
Digital Monster - D-Project (Japan);Digital Monster: D-Project;WonderSwan Color;;2002;;;;;;;;;;;;
Digital Monster Card Game - Ver. WonderSwan Color (Japan);Digital Monster Card Game: Ver. WonderSwan Color;WonderSwan Color;;2002;;;;;;;;;;;;
Dokodemo Hamster 3 - Odekake Saffron (Japan);Dokodemo Hamster 3: O-Dekake Safuran;WonderSwan Color;;2000;;;;;;;;;;;;
Dragon Ball (Japan);Dragon Ball;WonderSwan Color;;2003;;;;;;;;;;;;
Final Fantasy (Japan);Final Fantasy;WonderSwan Color;;2000;;;;;;;;;;;;
Final Fantasy II (Japan);Final Fantasy II;WonderSwan Color;;2001;;;;;;;;;;;;
Final Fantasy IV (Japan);Final Fantasy IV;WonderSwan Color;;2002;;;;;;;;;;;;
Final Lap Special - GT & Formula Machine (Japan);Final Lap Special: GT & Formula Machine;WonderSwan Color;;2001;;;;;;;;;;;;
Flash Koibito-kun (Japan);Flash Koibito-kun;WonderSwan Color;;2000;;;;;;;;;;;;
From TV Animation One Piece - Chopper no Daibouken (Japan);From TV Animation One Piece: Chopper no Daibouken;WonderSwan Color;;2003;;;;;;;;;;;;
From TV Animation One Piece - Grand Battle Swan Colosseum (Japan);From TV Animation One Piece: Grand Battle Swan Co;WonderSwan Color;;2002;;;;;;;;;;;;
From TV Animation One Piece - Niji no Shima Densetsu (Japan);From TV Animation One Piece: Niji no Shima Denset;WonderSwan Color;;2001;;;;;;;;;;;;
From TV Animation One Piece - Treasure Wars (Japan);From TV Animation One Piece: Treasure Wars;WonderSwan Color;;2002;;;;;;;;;;;;
From TV Animation One Piece - Treasure Wars 2 - Buggy Land e Youkoso (Japan);From TV Animation One Piece: Treasure Wars 2 - Bu;WonderSwan Color;;2002;;;;;;;;;;;;
Front Mission (Japan);Front Mission;WonderSwan Color;;2002;;;;;;;;;;;;
Gekitou! Crash Gear Turbo - Gear Champion League (Japan);Gekitou! Crash Gear Turbo: Gear Champion League;WonderSwan Color;;2002;;;;;;;;;;;;
Gensou Maden Saiyuuki Retribution - Hi no Ataru Basho de (Japan);Gensou Maden Saiyuuki Retribution: Hi no Ataru Ba;WonderSwan Color;;2001;;;;;;;;;;;;
Golden Axe (Japan);Golden Axe;WonderSwan Color;;2002;;;;;;;;;;;;
Gransta Chronicle (Japan);Gransta Chronicle;WonderSwan Color;;2002;;;;;;;;;;;;
Guilty Gear Petit (Japan);Guilty Gear Petit;WonderSwan Color;;2001;;;;;;;;;;;;
Guilty Gear Petit 2 (Japan);Guilty Gear Petit 2;WonderSwan Color;;2001;;;;;;;;;;;;
GunPey EX (Japan);GunPey EX;WonderSwan Color;;2000;;;;;;;;;;;;
Hanjuku Hero - Ah, Sekai yo Hanjuku Nare...!! (Japan);Hanjuku Hero: Ah, Sekai yo Hanjuku Nare...!!;WonderSwan Color;;2002;;;;;;;;;;;;
