#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Anchorz Field (Japan);Anchorz Field;Wonderswan;;1999;;;;;;;;;;;;
Armored Unit (Japan);Armored Unit;Wonderswan;;1999;;;;;;;;;;;;
Bakusou Dekotora Densetsu for WonderSwan (Japan);Bakusou Dekotora Densetsu for WonderSwan;Wonderswan;;1999;;;;;;;;;;;;
Beatmania for WonderSwan (Japan);Beatmania for WonderSwan;Wonderswan;;1999;;;;;;;;;;;;
Buffers Evolution (Japan);Buffers Evolution;Wonderswan;;1999;;;;;;;;;;;;
Cardcaptor Sakura - Sakura to Fushigi na Clow Card (Japan);Cardcaptor Sakura: Sakura to Fushigi na Clow Card;Wonderswan;;1999;;;;;;;;;;;;
Chaos Gear - Michibikareshi Mono (Japan);Chaos Gear: Michibikareshi Mono;Wonderswan;;1999;;;;;;;;;;;;
Chocobo no Fushigi na Dungeon for WonderSwan (Japan);Chocobo no Fushigi na Dungeon for WonderSwan;Wonderswan;;1999;;;;;;;;;;;;
Chou Aniki - Otoko no Tamafuda (Japan);Chou Aniki: Otoko no Tamafuda;Wonderswan;;2000;;;;;;;;;;;;
Chou Denki Card Game - Youfu Makai - Kikuchi Shuukou (Japan);Chou Denki Card Game: Youfu Makai - Kikuchi Shuukou;Wonderswan;;1999;;;;;;;;;;;;
Clock Tower for WonderSwan (Japan);Clock Tower for WonderSwan;Wonderswan;;1999;;;;;;;;;;;;
Crazy Climber (Japan);Crazy Climber;Wonderswan;;1999;;;;;;;;;;;;
D's Garage 21 Koubo Game - Tane o Maku Tori (Japan);D's Garage 21 Koubo Game: Tane o Maku Tori;Wonderswan;;1999;;;;;;;;;;;;
Densha de Go! (Japan);Densha de Go!;Wonderswan;;1999;;;;;;;;;;;;
Densha de Go! 2 (Japan);Densha de Go! 2;Wonderswan;;1999;;;;;;;;;;;;
Digimon Adventure - Anode Tamer (Japan);Digimon Adventure: Anode Tamer;Wonderswan;;1999;;;;;;;;;;;;
Digimon Adventure - Cathode Tamer (Japan);Digimon Adventure: Cathode Tamer;Wonderswan;;2000;;;;;;;;;;;;
Digimon Adventure 02 - Tag Tamers (Japan);Digimon Adventure 02: Tag Tamers;Wonderswan;;2000;;;;;;;;;;;;
Digital Monster - Ver. WonderSwan (Japan);Digital Monster: Ver. WonderSwan;Wonderswan;;1999;;;;;;;;;;;;
Digital Partner (Japan);Digital Partner;Wonderswan;;2000;;;;;;;;;;;;
Dokodemo Hamster (Japan);Dokodemo Hamster;Wonderswan;;2000;;;;;;;;;;;;
Engacho! for WonderSwan (Japan);Engacho! for WonderSwan;Wonderswan;;1999;;;;;;;;;;;;
Fever - Sankyo Koushiki Pachinko Simulation for WonderSwan (Japan);Fever: Sankyo Koushiki Pachinko Simulation for WonderSwan;Wonderswan;;1999;;;;;;;;;;;;
Final Lap 2000 (Japan);Final Lap 2000;Wonderswan;;2000;;;;;;;;;;;;
Fire Pro Wrestling for WonderSwan (Japan);Fire Pro Wrestling for WonderSwan;Wonderswan;;2000;;;;;;;;;;;;
