#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
198X;198X;PC Games;;2019;;;;;;;;;;;;
300 - March to Glory;300: March to Glory;Sony PSP;;2007;;;;;;;;;;;;
64street;64th. Street: A Detective Story;Final Burn Alpha;;1991;;;;;;;;;;;;
9 Monkeys of Shaolin;9 Monkeys of Shaolin;PC Games;;2020;;;;;;;;;;;;
astorm;Alien Storm;Final Burn Alpha;;1990;;;;;;;;;;;;
Alien Storm (World);Alien Storm;Sega Genesis;;1990;;;;;;;;;;;;
avsp;Alien vs. Predator;Final Burn Alpha;;1994;;;;;;;;;;;;
Alien vs. Predator (USA);Alien vs. Predator;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
altbeast;Altered Beast;Final Burn Alpha;;1988;;;;;;;;;;;;
Altered Beast (USA, Europe);Altered Beast;Sega Genesis;;1988;;;;;;;;;;;;
arabfgt;Arabian Fight;Arcade;;1992;;;;;;;;;;;;
arabianm;Arabian Magic;Final Burn Alpha;;1992;;;;;;;;;;;;
armwar;Armored Warriors;Final Burn Alpha;;1994;;;;;;;;;;;;
aoh;Art Of Fighting;Arcade;;1992;;;;;;;;;;;;
asndynmt;Asian Dynamite;Sega Naomi;;2007;;;;;;;;;;;;
asterix;Asterix;Final Burn Alpha;;1992;;;;;;;;;;;;
Asterix & Obelix Slap them All!;Asterix & Obelix Slap them All!;PC Games;;2021;;;;;;;;;;;;
avengers;Avengers;Final Burn Alpha;;1987;;;;;;;;;;;;
brapboys;B.Rap Boys;Final Burn Alpha;;1992;;;;;;;;;;;;
Bad Dudes (USA);Bad Dudes;Nintendo Entertainment System;;1990;;;;;;;;;;;;
BadDudesVsDragonNinja_v1.2_0098;Bad Dudes Vs Dragon Ninja;Commodore Amiga;;1989;;;;;;;;;;;;
baddudes;Bad Dudes vs. Dragonninja;Final Burn Alpha;;1988;;;;;;;;;;;;
Bad Street Brawler (USA);Bad Street Brawler;Nintendo Entertainment System;;1987;;;;;;;;;;;;
Barbarian2_v1.1_Psygnosis_0611;Barbarian 2;Commodore Amiga;;1991;;;;;;;;;;;;
batman;Batman;Arcade;;1990;;;;;;;;;;;;
Batman (USA);Batman;Sega Genesis;;1990;;;;;;;;;;;;
batmanfr;Batman Forever;Arcade;;1996;;;;;;;;;;;;
Batman Forever (USA);Batman Forever;Super Nintendo Entertainment System;;1995;;;;;;;;;;;;
Batman Forever - The Arcade Game;Batman Forever: The Arcade Game;Sony Playstation;;1996;;;;;;;;;;;;
BatmanReturns_v1.0;Batman Returns;Commodore Amiga;;1992;;;;;;;;;;;;
Batman Returns (USA);Batman Returns;Nintendo Entertainment System;;1993;;;;;;;;;;;;
Batman Returns (World);Batman Returns;Sega Genesis;;1992;;;;;;;;;;;;
Batman Returns (USA);Batman Returns;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Batman Rise Of Sin Tzu;Batman Rise Of Sin Tzu;Nintendo Gamecube;;2003;;;;;;;;;;;;
batcir;Battle Circuit;Final Burn Alpha;;1997;;;;;;;;;;;;
battlcry;Battlecry;Arcade;;1991;;;;;;;;;;;;
btoads;Battletoads;Arcade;;1994;;;;;;;;;;;;
Battletoads_v1.2_CD32;Battletoads;Commodore Amiga;;1991;;;;;;;;;;;;
Battletoads (USA);Battletoads;Nintendo Entertainment System;;1991;;;;;;;;;;;;
Battletoads;Battletoads;PC Games;;2020;;;;;;;;;;;;
Battletoads (World);Battletoads;Sega Genesis;;1991;;;;;;;;;;;;
Battletoads & Double Dragon (USA);Battletoads & Double Dragon;Sega Genesis;;1993;;;;;;;;;;;;
Battletoads & Double Dragon (USA);Battletoads & Double Dragon;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Battletoads & Double Dragon - The Ultimate Team (USA);Battletoads & Double Dragon: The Ultimate Team;Nintendo Entertainment System;;1993;;;;;;;;;;;;
Battletoads in Battlemaniacs (USA);Battletoads in Battlemaniacs;Super Nintendo Entertainment System;;1993;;;;;;;;;;;;
Beastlord_v1.01_2452;Beastlord;Commodore Amiga;;1991;;;;;;;;;;;;
Bebe's Kids (USA);Bebe's Kids;Super Nintendo Entertainment System;;1994;;;;;;;;;;;;
berabohm;Beraboh Man;Final Burn Alpha;;1988;;;;;;;;;;;;
bmaster;Blade Master;Final Burn Alpha;;1991;;;;;;;;;;;;
Bloody Zombies;Bloody Zombies;PC Games;;2017;;;;;;;;;;;;
